Name	Coefficient	Coefficient_std_error	Coefficient_P_value
geneExpr.M12_tan	3.1661069045216205e-09	2.4617631670996155e-09	0.0992017222941341
geneExpr.M21_darkred	2.445268734764476e-09	1.9846582016605857e-09	0.10895856027166034
geneExpr.M10_purple	1.7886601403208248e-09	1.753698244616717e-09	0.1538793846625719
geneExpr.M2_blue	1.0545502317064925e-09	1.0421360474789374e-09	0.15579000599923848
geneExpr.M23_darkturquoise	1.779871082995263e-09	1.8909238405105947e-09	0.1732830937103057
geneExpr.M5_green	1.2789373840871274e-09	1.5029729099620065e-09	0.19740178230119054
geneExpr.M6_red	1.566439638318721e-09	1.8593913501594386e-09	0.19976875070487526
geneExpr.M11_greenyellow	2.354716352321854e-09	3.09824604105372e-09	0.22362253084427125
geneExpr.M9_magenta	8.293780807903772e-10	1.5021729579428959e-09	0.2904334469397468
geneExpr.M8_pink	4.846394592615607e-10	1.430265479248283e-09	0.3673629460451783
geneExpr.M20_royalblue	2.621865599926195e-10	2.0062166857448775e-09	0.44801143466205884
geneExpr.M15_midnightblue	1.4462129358569493e-10	1.832284576485499e-09	0.46854435199420863
geneExpr.M0_grey	1.8663002553336753e-11	6.346695742050173e-10	0.4882704509259157
geneExpr.M22_darkgreen	-5.742664506723048e-10	2.203102498185976e-09	0.6028236494227279
geneExpr.M13_salmon	-7.334164254894967e-10	1.8395561446288448e-09	0.6549399398173275
geneExpr.M14_cyan	-7.226042396434401e-10	1.7603018097614376e-09	0.659280470487169
geneExpr.M19_lightyellow	-1.1498750636752866e-09	1.9956186377020483e-09	0.7177599304425522
geneExpr.M4_yellow	-7.825534517546872e-10	1.30828352088838e-09	0.7251310090223292
geneExpr.M16_lightcyan	-1.1518983153554161e-09	1.855927883606153e-09	0.732587989300676
geneExpr.M7_black	-1.24734894477019e-09	1.2257423180549573e-09	0.8455724650110679
geneExpr.M3_brown	-1.5684293822524772e-09	1.4456411909534124e-09	0.8610251845056274
geneExpr.M1_turquoise	-1.3945313972397295e-09	1.0137306149310164e-09	0.9155339023432509
geneExpr.M17_grey60	-2.3114169562254516e-09	1.6742819677404515e-09	0.9162901212620351
geneExpr.M18_lightgreen	-4.5451804762770365e-09	1.4358298400670981e-09	0.9992260299422271
