Name	Coefficient	Coefficient_std_error	Coefficient_P_value
geneExpr.M5_green	1.2405817429595894e-08	4.739759121515412e-09	0.004430199206358198
geneExpr.M12_tan	9.263824815828012e-09	4.629415285354209e-09	0.022691948923466047
geneExpr.M11_greenyellow	7.122268787109937e-09	7.037468574734045e-09	0.15575711726832864
geneExpr.M17_grey60	4.675729326943076e-09	5.284290570300415e-09	0.18812260646092105
geneExpr.M14_cyan	2.170119449897101e-09	5.394080800769159e-09	0.34372611980522083
geneExpr.M23_darkturquoise	2.4932872735555174e-09	7.3044887593188885e-09	0.36642520627567254
geneExpr.M6_red	1.922738388301915e-10	3.2449499497009093e-09	0.47637519736303996
geneExpr.M16_lightcyan	1.2802879029457484e-10	6.678956338273197e-09	0.4923531511273978
geneExpr.M10_purple	-1.2396723474073331e-09	4.47643672582154e-09	0.6090841631709187
geneExpr.M9_magenta	-1.5485026160283778e-09	4.3401919758836215e-09	0.6393725146466203
geneExpr.M22_darkgreen	-2.0360381886093745e-09	5.572287758155705e-09	0.6425885057978259
geneExpr.M18_lightgreen	-2.539532411743035e-09	5.8084210986574826e-09	0.6690225073500392
geneExpr.M0_grey	-6.825980752521832e-10	1.488033011974005e-09	0.6767842023545668
geneExpr.M2_blue	-1.1260798668704967e-09	2.2889106246382254e-09	0.6886304201811967
geneExpr.M15_midnightblue	-2.7583514323182205e-09	4.974289459040495e-09	0.7103890695145099
geneExpr.M4_yellow	-3.2641554003063122e-09	5.2095912399512995e-09	0.7345282865180726
geneExpr.M3_brown	-2.4343884488637246e-09	3.880956631417756e-09	0.7347572448805717
geneExpr.M13_salmon	-2.7900361514400553e-09	3.775175939908241e-09	0.7700610683605305
geneExpr.M8_pink	-3.025913609411514e-09	3.1954893394484794e-09	0.8281634839319731
geneExpr.M20_royalblue	-4.6946071746053175e-09	4.392910903637808e-09	0.8573926026763699
geneExpr.M1_turquoise	-2.7678993660597022e-09	2.3341007403300976e-09	0.8821597370491205
geneExpr.M7_black	-5.146801664438399e-09	3.3573800403544614e-09	0.9373597997853628
geneExpr.M21_darkred	-8.736766105385509e-09	5.6745800059538505e-09	0.9381749841784331
geneExpr.M19_lightyellow	-8.10632758505762e-09	4.929652958613089e-09	0.9499533285010635
