Name	Coefficient	Coefficient_std_error	Coefficient_P_value
geneExpr.M22_darkgreen	4.1842713455589724e-07	1.9141969839624743e-07	0.014410922907349244
geneExpr.M1_turquoise	1.2278753660440612e-07	7.579874536855959e-08	0.05262525159201444
geneExpr.M4_yellow	1.7008231959844674e-07	1.3373333647898509e-07	0.10172174600815115
geneExpr.M18_lightgreen	2.3280944072800013e-07	1.881938627013242e-07	0.10803009538524144
geneExpr.M21_darkred	2.3671621831732145e-07	2.635576896382982e-07	0.18455089226543098
geneExpr.M10_purple	8.379473177533814e-08	9.734430227713584e-08	0.19467196240913093
geneExpr.M9_magenta	9.687376504700325e-08	1.1728266523037121e-07	0.2044061968914111
geneExpr.M5_green	5.056408218552202e-08	8.686110119714832e-08	0.2802409966451561
geneExpr.M20_royalblue	7.742159867840732e-08	1.3694831438863268e-07	0.2859231536896163
geneExpr.M15_midnightblue	7.270680712600463e-08	1.3841629547492277e-07	0.2996955461493408
geneExpr.M16_lightcyan	6.570720236473253e-08	1.2731318229195724e-07	0.30288990051342507
geneExpr.M8_pink	3.7928696771170814e-08	9.689283715348607e-08	0.3477323365879984
geneExpr.M19_lightyellow	4.722999145264652e-08	1.3755910384788196e-07	0.3656701190775787
geneExpr.M12_tan	2.9068912981695892e-08	8.78358223813793e-08	0.3703426421493422
geneExpr.M2_blue	1.3647837106928503e-08	6.02416085853959e-08	0.4103861879104692
geneExpr.M7_black	9.411032567500657e-09	7.98915215826774e-08	0.453114000417476
geneExpr.M14_cyan	-2.9895257490385092e-09	9.855390936692579e-08	0.512099624974129
geneExpr.M3_brown	-7.052170865393596e-09	1.0869642714824817e-07	0.5258650323220099
geneExpr.M17_grey60	-2.510121695705627e-08	1.1158032263998101e-07	0.5889951789820688
geneExpr.M11_greenyellow	-3.837173014661366e-08	1.0467769243399921e-07	0.6430302066904416
geneExpr.M0_grey	-2.0057082851226116e-08	3.7032943958315735e-08	0.7059533299570234
geneExpr.M6_red	-3.6887384857069614e-08	6.336127781377877e-08	0.719775769626479
geneExpr.M23_darkturquoise	-1.6829110165732407e-07	1.3395335894585041e-07	0.8955038249607714
geneExpr.M13_salmon	-1.2656509446086787e-07	8.295113038177727e-08	0.9364675464005742
