Name	Coefficient	Coefficient_std_error	Coefficient_P_value
geneExpr.M5_green	3.861090173380605e-08	1.1888402038911638e-08	0.0005815479874142616
geneExpr.M6_red	3.280829716068442e-08	1.1552848927344504e-08	0.0022567748531566495
geneExpr.M8_pink	2.515558069661821e-08	1.120224192692608e-08	0.012365317508624993
geneExpr.M22_darkgreen	2.811209224893621e-08	3.5075517171913824e-08	0.21142883314499356
geneExpr.M10_purple	1.2365373982607764e-08	1.6272701500808343e-08	0.22366180748841202
geneExpr.M12_tan	7.29326893358988e-09	1.0142060590761102e-08	0.2360362165203142
geneExpr.M20_royalblue	9.858397948661031e-09	1.7604232318077946e-08	0.28773917930239384
geneExpr.M18_lightgreen	1.1574891008850291e-08	2.245520377846791e-08	0.30311375891781844
geneExpr.M23_darkturquoise	9.776122083556083e-09	1.9376090183289906e-08	0.30693899454899404
geneExpr.M17_grey60	7.800184565097362e-09	1.6302236513570123e-08	0.31615669410170794
geneExpr.M4_yellow	7.899329461120591e-09	1.988666962449134e-08	0.3456036083540699
geneExpr.M13_salmon	1.5417191348744705e-09	1.5463048001565373e-08	0.46028988327068876
geneExpr.M1_turquoise	7.514003313675819e-10	9.84844534530692e-09	0.46959166893574633
geneExpr.M21_darkred	1.0767423497144792e-10	3.173740511544757e-08	0.4986465269520525
geneExpr.M11_greenyellow	-7.781851294089098e-10	2.0407327129067615e-08	0.5152090338374128
geneExpr.M2_blue	-5.391788869310576e-10	1.0410102219703798e-08	0.5206535072478553
geneExpr.M7_black	-3.2399507962401717e-09	1.3929802100367585e-08	0.591960608647471
geneExpr.M14_cyan	-5.362636082107817e-09	1.6619495062093038e-08	0.6265279508246437
geneExpr.M15_midnightblue	-1.0650981965254548e-08	2.5515036837481743e-08	0.661821483718145
geneExpr.M16_lightcyan	-9.807891277812767e-09	1.4833683959925739e-08	0.7457549314230765
geneExpr.M9_magenta	-1.3416649389298848e-08	1.915035682969322e-08	0.7582221840465024
geneExpr.M0_grey	-4.510014307228496e-09	5.430487076056781e-09	0.7968716550067446
geneExpr.M3_brown	-1.0357052226175022e-08	1.0933591769014333e-08	0.8282491310883574
geneExpr.M19_lightyellow	-3.2271344364521485e-08	1.7052625378104953e-08	0.9707848791020287
