Name	Coefficient	Coefficient_std_error	Coefficient_P_value
geneExpr.M5_green	1.216089606634203e-07	4.321346143802334e-08	0.002445355628088702
geneExpr.M6_red	9.978726050481764e-08	4.42992367706594e-08	0.012143045525060424
geneExpr.M8_pink	6.439434675543479e-08	4.2517647822674557e-08	0.06494545652458271
geneExpr.M1_turquoise	4.7056412063017094e-08	3.588489261231878e-08	0.09487561496093128
geneExpr.M17_grey60	7.620845147622756e-08	7.063871792463991e-08	0.1403277088695567
geneExpr.M22_darkgreen	1.4995676386447554e-07	1.390193343644903e-07	0.1403661833580963
geneExpr.M20_royalblue	6.10373391038545e-08	6.553999306866564e-08	0.17584942365889672
geneExpr.M18_lightgreen	4.313428165906143e-08	7.531293949421053e-08	0.28341240382481914
geneExpr.M14_cyan	3.290125798084821e-08	6.26189937054811e-08	0.2996457025793138
geneExpr.M12_tan	1.857455253737383e-08	4.08219384972796e-08	0.3245495921518511
geneExpr.M15_midnightblue	3.4337245487014676e-08	8.404282668617864e-08	0.34142820249871786
geneExpr.M13_salmon	1.2073488036817887e-08	4.96086093656202e-08	0.40385751112721635
geneExpr.M23_darkturquoise	1.228209524305077e-08	9.16377235388309e-08	0.4466898955505561
geneExpr.M2_blue	3.162721758493865e-09	3.684588361354093e-08	0.46579819461695693
geneExpr.M11_greenyellow	-2.9627761924269535e-09	7.421707692556032e-08	0.515921710659847
geneExpr.M16_lightcyan	-5.278155603203457e-09	4.564057463338821e-08	0.5460334972046179
geneExpr.M0_grey	-2.6921694138266044e-09	1.8013454109179605e-08	0.559402005323722
geneExpr.M4_yellow	-1.0987123608906044e-08	6.203670304645013e-08	0.5702877600765514
geneExpr.M21_darkred	-4.837933228270625e-08	8.438385404632919e-08	0.7167875055532152
geneExpr.M7_black	-3.316180148205768e-08	4.8457842068233234e-08	0.7531208072014782
geneExpr.M9_magenta	-4.258517726577257e-08	5.632818858692053e-08	0.7751810790781135
geneExpr.M10_purple	-4.885708601062971e-08	4.764926951031789e-08	0.8474005065683472
geneExpr.M3_brown	-4.816480965551687e-08	3.837762101170451e-08	0.8952648542528325
geneExpr.M19_lightyellow	-1.0971729261157547e-07	6.064061730153544e-08	0.9647980819277813
