Name	Coefficient	Coefficient_std_error	Coefficient_P_value
geneExpr.M20_royalblue	5.147828539962469e-09	3.0713700125984243e-09	0.046862323891076516
geneExpr.M10_purple	4.8991036654055165e-09	3.1672865523796053e-09	0.0609578410716516
geneExpr.M12_tan	3.831879973820263e-09	2.5649225904795973e-09	0.06759363745748247
geneExpr.M13_salmon	3.526104288024698e-09	3.3098985851924094e-09	0.14336535889953794
geneExpr.M16_lightcyan	2.543372373790597e-09	2.4956983018057128e-09	0.15407715417546852
geneExpr.M17_grey60	2.7476630615605995e-09	3.3014653398625293e-09	0.20263233942325998
geneExpr.M14_cyan	2.136416876142869e-09	2.9772126599529543e-09	0.23650518245513308
geneExpr.M5_green	1.0919609995427434e-09	2.4899302727946207e-09	0.3304935141213012
geneExpr.M3_brown	5.369597591781647e-10	2.279229958846231e-09	0.40687610249762673
geneExpr.M18_lightgreen	2.6219078434445175e-10	3.636353608147439e-09	0.47126010287676284
geneExpr.M0_grey	-2.1314732871210293e-11	1.0432079806169492e-09	0.5081505861668535
geneExpr.M1_turquoise	-3.3718758096433287e-10	1.9736613144626827e-09	0.5678266626348162
geneExpr.M8_pink	-3.599866682116362e-10	2.016815070986341e-09	0.5708319538357464
geneExpr.M7_black	-6.512907354767127e-10	2.1371924024669873e-09	0.6197183941367614
geneExpr.M22_darkgreen	-3.844999140033275e-09	4.695783157058082e-09	0.7935553177991976
geneExpr.M11_greenyellow	-3.1409976947005097e-09	3.2404688860524897e-09	0.8338030976036002
geneExpr.M6_red	-3.0469385560232097e-09	2.061408929546689e-09	0.9303075466788484
geneExpr.M2_blue	-2.2975129446645874e-09	1.5499501919904425e-09	0.930871624065144
geneExpr.M21_darkred	-6.2646093047874366e-09	3.825562620053495e-09	0.9492438159350299
geneExpr.M9_magenta	-5.302574755053461e-09	3.092611726951172e-09	0.9567901921095285
geneExpr.M23_darkturquoise	-6.530112518220503e-09	3.1625650746673785e-09	0.9805297566620429
geneExpr.M4_yellow	-5.087230088310627e-09	2.315273952039606e-09	0.9859986154124032
geneExpr.M15_midnightblue	-8.363828542845346e-09	2.905151730101148e-09	0.9980050834454833
geneExpr.M19_lightyellow	-8.055284543252346e-09	2.7556524813992455e-09	0.9982676521678341
