Name	Coefficient	Coefficient_std_error	Coefficient_P_value
isoExpr.M47_bisque4	8.095570789284766e-08	4.157856133312983e-08	0.025764125140617263
isoExpr.M10_purple	5.64121618591401e-08	3.1758326177600446e-08	0.03784213825456454
isoExpr.M14_cyan	4.2762647643046873e-08	2.5041338403554042e-08	0.043847664147628404
isoExpr.M15_midnightblue	3.992703463455188e-08	2.4423279620567915e-08	0.051046103824505445
isoExpr.M27_white	3.889578439451238e-08	2.4042956560110136e-08	0.0528569363032381
isoExpr.M23_darkturquoise	3.603004709337666e-08	2.770652097148455e-08	0.0967289430366261
isoExpr.M36_yellowgreen	2.4089461471264108e-08	2.051238848202181e-08	0.12012022895038232
isoExpr.M16_lightcyan	2.0382869739175417e-08	2.1439738149512917e-08	0.17087703342440552
isoExpr.M3_brown	1.0113541654987028e-08	1.1798162429973189e-08	0.19566350895649653
isoExpr.M32_violet	3.2724274947699574e-08	3.8911464011698987e-08	0.20017588410214032
isoExpr.M33_darkolivegreen	2.385358154402954e-08	2.8388909351295772e-08	0.20038608472406183
isoExpr.M48_darkslateblue	2.5350826964818094e-08	3.1052799927192895e-08	0.20714194839714029
isoExpr.M39_orangered4	1.9493275809762485e-08	2.5824581454665687e-08	0.22517425241901967
isoExpr.M2_blue	7.289388750396579e-09	1.0342357953777734e-08	0.24046449980327278
isoExpr.M42_lightcyan1	1.534445161101389e-08	2.240517859661457e-08	0.24671555722890903
isoExpr.M46_brown4	2.1152326195236136e-08	3.3541621612383445e-08	0.26414149898700595
isoExpr.M12_tan	1.0460387052589711e-08	1.7136857197259227e-08	0.2707974791512746
isoExpr.M6_red	6.716110828433027e-09	1.1359345698482043e-08	0.27717947994652226
isoExpr.M20_royalblue	8.087863386562054e-09	1.834230396684301e-08	0.32962806188638516
isoExpr.M19_lightyellow	9.589425271138994e-09	2.3755651217053753e-08	0.34322798724457426
isoExpr.M8_pink	6.10118789735697e-09	1.5205082595135684e-08	0.3441144408607652
isoExpr.M21_darkred	1.0607776902311308e-08	2.9656346769319913e-08	0.36028768113212417
isoExpr.M38_plum1	1.0078263092227861e-08	3.143148824951047e-08	0.3742407582038938
isoExpr.M41_lightsteelblue1	5.280570780295552e-09	2.995254087446673e-08	0.430029946375971
isoExpr.M34_darkmagenta	3.2655153914351994e-09	2.923197538438085e-08	0.45552652015377415
isoExpr.M30_steelblue	2.0267441688214626e-09	1.9889860666516263e-08	0.45941867613312437
isoExpr.M49_plum2	2.5678100432093378e-09	2.530189366843597e-08	0.4595819892027317
isoExpr.M37_skyblue3	2.371357067044123e-09	2.36120588434748e-08	0.46000151046781657
isoExpr.M45_darkorange2	2.491094526709715e-09	2.6697119255961732e-08	0.462828847350156
isoExpr.M1_turquoise	5.536854079857959e-10	7.17748789623313e-09	0.46925531081277877
isoExpr.M17_grey60	1.7816913310275512e-10	1.7969457991181018e-08	0.49604450864996547
isoExpr.M52_salmon4	-2.53262408167147e-09	3.9256018619034717e-08	0.5257201416621252
isoExpr.M51_thistle1	-4.499211775469771e-09	2.9920116423324697e-08	0.5597652787171702
isoExpr.M7_black	-2.1163095005709585e-09	1.2312754643733357e-08	0.5682338488075046
isoExpr.M22_darkgreen	-4.779104461658389e-09	2.3653631338246053e-08	0.5800593353885736
isoExpr.M43_ivory	-8.759248859086033e-09	3.53795883075251e-08	0.5977699827853241
isoExpr.M40_mediumpurple3	-4.4884607279640845e-09	1.617763007346249e-08	0.6092821637715968
isoExpr.M44_floralwhite	-7.701246931723905e-09	2.7091739365304235e-08	0.6118965398395645
isoExpr.M53_palevioletred3	-1.0382789961136673e-08	3.311468386534772e-08	0.6230649194548699
isoExpr.M0_grey	-4.556620360749391e-09	1.3848323111365008e-08	0.6289364030008772
isoExpr.M9_magenta	-6.8550739944859764e-09	1.7416901537782e-08	0.653057178618349
isoExpr.M4_yellow	-6.376594643150698e-09	1.1949538052423646e-08	0.7032001445220827
isoExpr.M18_lightgreen	-9.964991521386368e-09	1.7709656121158515e-08	0.7131759472766861
isoExpr.M25_orange	-1.293699758935445e-08	2.2501014010788518e-08	0.7173380384118813
isoExpr.M24_darkgrey	-1.2048307285272982e-08	1.783124544655487e-08	0.7503797085107479
isoExpr.M50_thistle2	-2.304251984958159e-08	2.979485026508661e-08	0.7803490399279005
isoExpr.M29_saddlebrown	-2.0886818231132334e-08	2.679899245790229e-08	0.782124460756227
isoExpr.M11_greenyellow	-1.3153875413499965e-08	1.554036271422529e-08	0.8013443746451885
isoExpr.M28_skyblue	-1.8518983836140438e-08	1.895455829809603e-08	0.8357203912860238
isoExpr.M35_sienna3	-1.854720395663703e-08	1.772967149550202e-08	0.8522451009429486
isoExpr.M13_salmon	-1.930899064304826e-08	1.639789990371608e-08	0.880507638837257
isoExpr.M26_darkorange	-2.9488294773519696e-08	1.805338440740896e-08	0.9488069500547651
isoExpr.M5_green	-1.7616104837796156e-08	9.435531007081522e-09	0.9690489725832537
isoExpr.M31_paleturquoise	-3.4234024938733186e-08	1.7449387627712626e-08	0.9751131741634118
