Name	Coefficient	Coefficient_std_error	Coefficient_P_value
isoExpr.M3_brown	1.668725230534324e-09	9.09314609535325e-10	0.03324201665930014
isoExpr.M1_turquoise	1.7392163551307515e-09	1.2169688938919003e-09	0.07648230276662155
isoExpr.M7_black	1.6382003177293815e-09	1.4458998492373046e-09	0.12860773823987343
isoExpr.M34_darkmagenta	2.604922196803815e-09	2.4184310482206644e-09	0.1407150153523432
isoExpr.M21_darkred	1.0111647948298821e-08	1.1817344057530704e-08	0.1960924832095201
isoExpr.M51_thistle1	1.7499487654801727e-09	2.1008874930423417e-09	0.20243451433569548
isoExpr.M36_yellowgreen	1.5324737098991164e-09	2.14222422871102e-09	0.23719155420513383
isoExpr.M20_royalblue	3.9551697717307276e-10	5.711507713269636e-10	0.24431440343667876
isoExpr.M38_plum1	5.608938248716933e-10	8.555229503547555e-10	0.256035881048532
isoExpr.M0_grey	3.5942443191178864e-10	5.529088445290284e-10	0.2578264358588127
isoExpr.M53_palevioletred3	8.034983171546879e-10	1.6014702617217167e-09	0.3079303453745323
isoExpr.M22_darkgreen	5.738787615806164e-10	1.2518403163313008e-09	0.3233224583030036
isoExpr.M11_greenyellow	5.788217827879231e-10	1.3502492550207958e-09	0.3340788855370833
isoExpr.M41_lightsteelblue1	7.877240510466137e-10	1.9491260105548377e-09	0.3430540815426507
isoExpr.M50_thistle2	8.233189748211925e-10	2.4783329443181532e-09	0.36986656719140343
isoExpr.M24_darkgrey	5.417372021865278e-10	1.7431023969640574e-09	0.3779804832973022
isoExpr.M16_lightcyan	5.321280428767847e-10	1.764017874174107e-09	0.3814568397165312
isoExpr.M45_darkorange2	5.006376652208493e-10	2.2224527959373173e-09	0.41088711664757377
isoExpr.M28_skyblue	-1.1240130514942557e-10	9.609929053678474e-10	0.5465555983472408
isoExpr.M19_lightyellow	-2.363740752369313e-10	1.377631559669129e-09	0.5681161489322001
isoExpr.M5_green	-1.41789985293154e-10	6.897698616848818e-10	0.5814331926372163
isoExpr.M48_darkslateblue	-1.9809503992139546e-10	9.045535856001466e-10	0.5866740308375122
isoExpr.M37_skyblue3	-5.050901210607215e-10	2.090384038795258e-09	0.5954648253657651
isoExpr.M40_mediumpurple3	-3.7422736639680655e-10	1.3641788655715871e-09	0.6080822811351871
isoExpr.M10_purple	-3.638154626494793e-10	1.2950803903812994e-09	0.6106145579271617
isoExpr.M27_white	-4.4992842682440353e-10	1.3639990669538535e-09	0.6292470410303598
isoExpr.M35_sienna3	-3.410731864271373e-10	1.0234821907512391e-09	0.6305263797826532
isoExpr.M12_tan	-6.092592909730711e-10	1.7894124639971325e-09	0.6332524875707713
isoExpr.M13_salmon	-6.57799075546628e-10	1.3301400268292226e-09	0.6895353455592863
isoExpr.M4_yellow	-9.162055005214746e-10	1.6681176242257036e-09	0.7085813853989643
isoExpr.M15_midnightblue	-7.850278411494585e-10	1.36488531840607e-09	0.7174085532498619
isoExpr.M42_lightcyan1	-9.686213893548755e-10	1.630397798829673e-09	0.7237778064673259
isoExpr.M17_grey60	-1.2264685966300434e-09	2.010922951554715e-09	0.729037075449137
isoExpr.M23_darkturquoise	-6.928813895847528e-10	1.1345602510332927e-09	0.7293024856602943
isoExpr.M18_lightgreen	-1.1771813779795326e-09	1.6859636241180515e-09	0.757481646522416
isoExpr.M26_darkorange	-9.627704181616062e-10	1.2378999923078856e-09	0.781640294618162
isoExpr.M43_ivory	-2.0842304967873055e-09	2.1167318552547287e-09	0.8376008842063514
isoExpr.M14_cyan	-2.8366153873406387e-09	2.7687345655176573e-09	0.8472044065308169
isoExpr.M49_plum2	-1.1602092894216113e-09	1.1227164793431684e-09	0.8492903933933873
isoExpr.M39_orangered4	-9.194470653872464e-10	8.53092246213572e-10	0.8594343677443554
isoExpr.M8_pink	-1.1518717403480228e-09	1.0387965005425712e-09	0.8662530170587435
isoExpr.M25_orange	-1.5844409489400794e-09	1.41678064434714e-09	0.8682888667935098
isoExpr.M2_blue	-9.61637457810468e-10	7.855496005274657e-10	0.88955383636722
isoExpr.M33_darkolivegreen	-2.848090770445528e-09	2.287437229538351e-09	0.8934527179114153
isoExpr.M44_floralwhite	-1.4134360007958369e-09	1.0320965178962967e-09	0.9145754286589138
isoExpr.M30_steelblue	-1.0126681648989458e-09	7.309044813250958e-10	0.9170501850051642
isoExpr.M46_brown4	-2.5499653833977678e-09	1.8295231543424427e-09	0.9183090155606644
isoExpr.M29_saddlebrown	-1.6543794408446168e-09	1.1338977693294818e-09	0.9277201884395565
isoExpr.M9_magenta	-1.7962586202342441e-09	1.1187659872870407e-09	0.9458159380650135
isoExpr.M32_violet	-3.40779407205737e-09	1.994510343287807e-09	0.9562362435234923
isoExpr.M52_salmon4	-3.3553813985937674e-09	1.8558563375940956e-09	0.9646964620674601
isoExpr.M6_red	-2.4483842885380865e-09	1.3209475295730625e-09	0.9680950728504076
isoExpr.M47_bisque4	-5.5469279653100454e-09	2.8938614663769794e-09	0.9723677633187296
isoExpr.M31_paleturquoise	-2.8450714538196674e-09	1.1081384370743876e-09	0.9948772741575058
