Name	Coefficient	Coefficient_std_error	Coefficient_P_value
isoExpr.M3_brown	3.4979852586275984e-08	1.1826487338319365e-08	0.001549441362072356
isoExpr.M49_plum2	5.3946517244676447e-08	2.6843224159124916e-08	0.02223208718675557
isoExpr.M6_red	2.547754453774752e-08	1.536854609410889e-08	0.04868175308250267
isoExpr.M43_ivory	4.061745092330441e-08	2.4892808032103847e-08	0.05137195941132623
isoExpr.M53_palevioletred3	4.4104563742589166e-08	2.74002088379202e-08	0.053737870178728914
isoExpr.M22_darkgreen	3.5848493575144e-08	2.3135241701662247e-08	0.060628519484157824
isoExpr.M51_thistle1	4.490344020647711e-08	2.9455523325618943e-08	0.06369830599003823
isoExpr.M50_thistle2	3.809857445632772e-08	2.6578551085925267e-08	0.07586705463942009
isoExpr.M32_violet	3.554020110696336e-08	2.502272390203588e-08	0.07775770148496611
isoExpr.M10_purple	2.151508446493088e-08	1.5661382814663682e-08	0.08475707818983402
isoExpr.M45_darkorange2	3.06939884995343e-08	2.2974477905874176e-08	0.09077402477567759
isoExpr.M16_lightcyan	2.4726247317238676e-08	2.1003803594612372e-08	0.11955243245284125
isoExpr.M11_greenyellow	1.5894216358022628e-08	1.4078410454414697e-08	0.1294535470285132
isoExpr.M47_bisque4	4.0851639211747955e-08	3.6521138691863e-08	0.13166070891508608
isoExpr.M14_cyan	2.123844328034958e-08	1.8998867435971512e-08	0.1318092436958393
isoExpr.M48_darkslateblue	3.019818730273025e-08	2.7723315182349452e-08	0.13801732544733553
isoExpr.M12_tan	1.466762880914384e-08	1.5097690084716322e-08	0.16564600251832984
isoExpr.M19_lightyellow	1.863901163482995e-08	1.923249343009029e-08	0.16623724387250194
isoExpr.M40_mediumpurple3	2.1700222694305635e-08	2.2754371649411084e-08	0.17012467553751515
isoExpr.M21_darkred	2.601472634452824e-08	3.088178369747164e-08	0.1997828459569122
isoExpr.M52_salmon4	1.7861001134801668e-08	2.3183656744510866e-08	0.22052733673321528
isoExpr.M30_steelblue	2.019117583657263e-08	2.8046432044450056e-08	0.2357872530553093
isoExpr.M13_salmon	1.1287080735989215e-08	1.793728451721629e-08	0.2645918886905295
isoExpr.M29_saddlebrown	1.5838397868722493e-08	2.5561281134870085e-08	0.2677524929098267
isoExpr.M24_darkgrey	9.830152652991458e-09	2.0517024569877406e-08	0.3159260098484526
isoExpr.M35_sienna3	8.599262263594439e-09	1.8897699865808258e-08	0.3245392238270697
isoExpr.M37_skyblue3	8.070274139319776e-09	2.0697663171015055e-08	0.3483006868517007
isoExpr.M28_skyblue	5.6773618512557715e-09	1.518357699256168e-08	0.3542339089465426
isoExpr.M8_pink	5.582962107830126e-09	1.6205079424267925e-08	0.36522790393193044
isoExpr.M2_blue	1.9963634402001355e-09	7.718402314329861e-09	0.397952716479871
isoExpr.M1_turquoise	1.6033977106363304e-09	6.258983781352778e-09	0.398907699192244
isoExpr.M9_magenta	3.856778875256122e-09	1.5561316036963933e-08	0.40212755326559396
isoExpr.M23_darkturquoise	5.906078831336639e-09	2.7044393293990677e-08	0.4135647342991768
isoExpr.M31_paleturquoise	1.1483044550324347e-09	1.861033199154637e-08	0.4753998649984367
isoExpr.M42_lightcyan1	-4.6020224754466325e-11	2.0862049544516124e-08	0.5008800381035954
isoExpr.M34_darkmagenta	-1.0464163008830586e-09	2.233061035309415e-08	0.5186876653800742
isoExpr.M33_darkolivegreen	-1.7048234942315886e-09	2.0962841577338546e-08	0.5324086406495977
isoExpr.M17_grey60	-1.876869488594937e-09	1.8834824588582667e-08	0.5396884634586206
isoExpr.M44_floralwhite	-3.040324545480981e-09	2.0809339905145542e-08	0.5580802939359699
isoExpr.M15_midnightblue	-2.756341795474139e-09	1.7078197990662957e-08	0.5641089868183257
isoExpr.M39_orangered4	-5.3335789900353e-09	1.8603868861062592e-08	0.612825889740953
isoExpr.M0_grey	-4.268330202584415e-09	1.0329067734297285e-08	0.6602827017399652
isoExpr.M26_darkorange	-7.54363307711441e-09	1.727844188596818e-08	0.6687964423551198
isoExpr.M5_green	-5.377861220564582e-09	9.091674370286385e-09	0.7229122760865404
isoExpr.M4_yellow	-6.709980570638457e-09	1.0495104849067606e-08	0.738700360668765
isoExpr.M18_lightgreen	-1.1276141754079087e-08	1.4039629262242957e-08	0.7890603739203246
isoExpr.M41_lightsteelblue1	-1.637601102583604e-08	1.999177068980371e-08	0.7936460436277593
isoExpr.M36_yellowgreen	-1.8299081856276737e-08	2.211378317874978e-08	0.7960221945395893
isoExpr.M25_orange	-1.608719817570793e-08	1.7993291228927662e-08	0.8143568330966342
isoExpr.M7_black	-1.0244779349491069e-08	1.0474963945206552e-08	0.8359690848258936
isoExpr.M38_plum1	-1.6380997795997345e-08	1.6133353428563294e-08	0.8450304524220693
isoExpr.M46_brown4	-2.8893117590666488e-08	2.8088940507678288e-08	0.8481731347885914
isoExpr.M20_royalblue	-1.576737842434146e-08	1.2960139971248628e-08	0.8881228379883569
isoExpr.M27_white	-2.211514627378549e-08	1.6567224017718742e-08	0.9090411037202251
