Name	Coefficient	Coefficient_std_error	Coefficient_P_value
isoExpr.M47_bisque4	3.6319141402061365e-08	1.391886165623903e-08	0.004535758683190442
isoExpr.M1_turquoise	4.61863961686424e-09	2.500999725082717e-09	0.03239405696544758
isoExpr.M19_lightyellow	1.1019530375254634e-08	7.2828028136703456e-09	0.06512849967382574
isoExpr.M9_magenta	1.1069451849707127e-08	7.334806632173785e-09	0.0656279905960718
isoExpr.M27_white	3.122009431162516e-08	2.1625331373533115e-08	0.07441427122255051
isoExpr.M43_ivory	1.495113695771498e-08	1.1598179550230915e-08	0.09868280518592887
isoExpr.M6_red	5.648683378876597e-09	4.573987706510797e-09	0.10842304063665104
isoExpr.M20_royalblue	1.2122587562569144e-08	1.0057330477401991e-08	0.11403440922326646
isoExpr.M3_brown	4.8693118489554295e-09	4.459078652621987e-09	0.13741665111912782
isoExpr.M10_purple	1.6628729813703087e-08	1.536404340104834e-08	0.13955636119186565
isoExpr.M11_greenyellow	5.519900824217731e-09	6.077939570877968e-09	0.18188992773293483
isoExpr.M15_midnightblue	6.101041950485403e-09	6.939984862324912e-09	0.1896695737282409
isoExpr.M0_grey	3.5249522688576295e-09	4.590405852255281e-09	0.2212746179645228
isoExpr.M14_cyan	4.862105711683152e-09	6.46292446372081e-09	0.2259331181119142
isoExpr.M16_lightcyan	5.9709723158760754e-09	8.057378709220533e-09	0.22932961238701327
isoExpr.M5_green	2.8497224450443174e-09	4.6040811630279735e-09	0.26797275965831624
isoExpr.M42_lightcyan1	6.4193044820232615e-09	1.169195026485326e-08	0.2914902878559019
isoExpr.M49_plum2	2.605666033793423e-09	5.202370189929089e-09	0.3082343608886433
isoExpr.M37_skyblue3	3.754303502363243e-09	8.057306203034533e-09	0.32062557072491527
isoExpr.M44_floralwhite	3.050929459652638e-09	7.78270335715493e-09	0.34752389747278356
isoExpr.M32_violet	3.97133249019856e-09	1.0363756119551133e-08	0.35078784419004494
isoExpr.M17_grey60	2.5545295271306366e-09	6.8240639335702435e-09	0.3540751738301635
isoExpr.M25_orange	1.7593094911519363e-09	6.533007475100072e-09	0.39385114877533095
isoExpr.M29_saddlebrown	4.729042838671578e-09	2.059887232352273e-08	0.4092099475416535
isoExpr.M34_darkmagenta	1.5985284014051263e-09	7.89347467615856e-09	0.41975798862248936
isoExpr.M4_yellow	1.7935048171295526e-10	3.808312189270807e-09	0.4812189634442285
isoExpr.M30_steelblue	2.373857756678679e-10	5.745049990460916e-09	0.48352037298273665
isoExpr.M40_mediumpurple3	-1.0651526179403412e-09	9.08385990686753e-09	0.546672082162022
isoExpr.M22_darkgreen	-1.1609747159388731e-09	6.983907452840047e-09	0.5660142655336382
isoExpr.M39_orangered4	-9.858090413542615e-10	5.6923296632583766e-09	0.5687458144991898
isoExpr.M12_tan	-1.0228819143576645e-09	5.628736117757876e-09	0.5721007163417127
isoExpr.M51_thistle1	-1.91503635242741e-09	8.509308900997985e-09	0.5890305602343517
isoExpr.M45_darkorange2	-2.8553543093358356e-09	1.1516405498359627e-08	0.5979088030840469
isoExpr.M7_black	-1.1726750133552894e-09	4.435379797879707e-09	0.6042607216609758
isoExpr.M24_darkgrey	-2.1374721525888536e-09	5.9173173398497606e-09	0.641033690248723
isoExpr.M21_darkred	-2.7789185818922737e-09	7.158179267153323e-09	0.6510718442365506
isoExpr.M53_palevioletred3	-3.4629225252184173e-09	8.753166856056023e-09	0.6538070843969641
isoExpr.M31_paleturquoise	-2.9021584166273566e-09	6.410616019340479e-09	0.6746216850783991
isoExpr.M2_blue	-2.1223410469653285e-09	3.4728752866981295e-09	0.7294396917908548
isoExpr.M46_brown4	-6.46327559231872e-09	1.0256247590722781e-08	0.7357113807215888
isoExpr.M18_lightgreen	-4.0850618237033515e-09	6.373599539131405e-09	0.7392174815536179
isoExpr.M26_darkorange	-4.162090151646542e-09	5.800848686730223e-09	0.7634661832847351
isoExpr.M28_skyblue	-8.311306295735364e-09	8.876005501521683e-09	0.8254609899059895
isoExpr.M13_salmon	-4.315157752076269e-09	4.597662647866988e-09	0.8260202823702854
isoExpr.M23_darkturquoise	-8.124092672561968e-09	8.46551859731113e-09	0.8313889930157303
isoExpr.M41_lightsteelblue1	-9.909553386661232e-09	7.97122756271989e-09	0.8930965339034576
isoExpr.M48_darkslateblue	-8.828653370563686e-09	7.001196760382647e-09	0.8963492881422843
isoExpr.M35_sienna3	-9.75857223663758e-09	7.1358645293392294e-09	0.9142717714894666
isoExpr.M33_darkolivegreen	-1.2031044035082422e-08	7.164044219507374e-09	0.9534595201798094
isoExpr.M36_yellowgreen	-1.185050175901076e-08	6.8912385306196e-09	0.9572517403855964
isoExpr.M8_pink	-8.955631240959955e-09	5.1083455334533225e-09	0.9602107812715711
isoExpr.M38_plum1	-9.136059170735093e-09	5.011891686731662e-09	0.9658389449239675
isoExpr.M52_salmon4	-1.2300045597881174e-08	6.633198574570995e-09	0.9681530108005512
isoExpr.M50_thistle2	-1.3202982742337237e-08	5.509460022820251e-09	0.9917219568927597
