Name	Coefficient	Coefficient_std_error	Coefficient_P_value
isoExpr.M1_turquoise	1.7575435609651494e-08	5.579427690377966e-09	0.0008162329342117433
isoExpr.M37_skyblue3	6.271818625345901e-08	2.062416069081661e-08	0.0011789475878411868
isoExpr.M47_bisque4	8.508431256026054e-08	3.090363446294908e-08	0.0029506672496837838
isoExpr.M17_grey60	4.500850273568385e-08	1.7650095342719982e-08	0.005385481092975791
isoExpr.M12_tan	3.5805208960345047e-08	1.5127917338971794e-08	0.00897058525867312
isoExpr.M27_white	4.695354801810745e-08	2.019619434931651e-08	0.010039427598348178
isoExpr.M25_orange	4.1985588784395976e-08	2.1897943564500863e-08	0.02759799700889899
isoExpr.M40_mediumpurple3	4.4097610902498435e-08	2.3752759001398624e-08	0.03168932156125054
isoExpr.M6_red	1.858677449855637e-08	1.009588205812803e-08	0.0328089241390011
isoExpr.M30_steelblue	3.307696657228766e-08	1.9840279544242105e-08	0.047741065969177154
isoExpr.M31_paleturquoise	2.5752033572853135e-08	1.5598018838030172e-08	0.04937122185132462
isoExpr.M14_cyan	2.3082690001028337e-08	1.6263382809524513e-08	0.07790515193379803
isoExpr.M15_midnightblue	1.9216557089610322e-08	1.4733759066777119e-08	0.09607357905707503
isoExpr.M45_darkorange2	1.9501138088367078e-08	1.5013991242893638e-08	0.09699524173775576
isoExpr.M3_brown	8.841628611544356e-09	6.886466867410664e-09	0.09958609038320959
isoExpr.M7_black	1.3054993695246348e-08	1.034378231142653e-08	0.10345455845472151
isoExpr.M50_thistle2	3.8967561088816266e-08	3.1134169802409416e-08	0.10535762727504566
isoExpr.M35_sienna3	1.7579884880373427e-08	1.498083088993682e-08	0.12029928587448485
isoExpr.M34_darkmagenta	2.3446640346906687e-08	2.0841263101801765e-08	0.13029228711694635
isoExpr.M21_darkred	2.2057056894731485e-08	2.084771517151643e-08	0.1450258160090474
isoExpr.M52_salmon4	3.7320008323567104e-08	3.6980174043692143e-08	0.15644184843059755
isoExpr.M8_pink	8.75784679739085e-09	1.0711918008903622e-08	0.20679860916732157
isoExpr.M16_lightcyan	1.2070102348583086e-08	1.6220969589049102e-08	0.2284065188613313
isoExpr.M43_ivory	1.232896137583893e-08	1.6609774842530886e-08	0.22896144813526298
isoExpr.M20_royalblue	9.532054115000131e-09	1.3339487459642605e-08	0.23743608343762362
isoExpr.M53_palevioletred3	1.0467580527235593e-08	1.5260357362785287e-08	0.24637772470194408
isoExpr.M39_orangered4	1.2596055713986127e-08	1.904426274387502e-08	0.2541748774374478
isoExpr.M11_greenyellow	7.223966879982186e-09	1.1250907361078377e-08	0.2604110740358913
isoExpr.M29_saddlebrown	1.0132950750039037e-08	1.696338832627223e-08	0.2751394076259309
isoExpr.M51_thistle1	1.218894273390991e-08	2.0478606612422762e-08	0.27585365366295156
isoExpr.M36_yellowgreen	1.110538575123948e-08	2.1356968500487863e-08	0.3015356689878419
isoExpr.M0_grey	3.797977556847326e-09	8.471839703238008e-09	0.3269661434818145
isoExpr.M22_darkgreen	5.675548352961674e-09	1.4598975499824414e-08	0.3487255635019499
isoExpr.M49_plum2	8.295610943059812e-09	2.176178394245701e-08	0.35152710229017387
isoExpr.M23_darkturquoise	6.771018103185138e-09	1.910457101715293e-08	0.36151254393312826
isoExpr.M42_lightcyan1	5.859255122714006e-09	1.7680467709245797e-08	0.37017229043647415
isoExpr.M2_blue	1.2641596052697691e-09	7.329114658191101e-09	0.4315282732061042
isoExpr.M4_yellow	1.1523736503927745e-09	7.515802534074742e-09	0.4390702994238987
isoExpr.M10_purple	1.0811958092375544e-09	1.1394055966619491e-08	0.46220061740516694
isoExpr.M41_lightsteelblue1	-1.0621750162367454e-09	1.6807647098659338e-08	0.5251947601554781
isoExpr.M48_darkslateblue	-1.3676804409949776e-09	1.7447817448948287e-08	0.5312398558457876
isoExpr.M24_darkgrey	-2.478175796806576e-09	1.6212210927168604e-08	0.5607451060562441
isoExpr.M19_lightyellow	-4.06638645173441e-09	1.5790943081784072e-08	0.6016089351539842
isoExpr.M32_violet	-5.400651639073151e-09	1.7005206455455636e-08	0.6246013086152277
isoExpr.M18_lightgreen	-4.992170911910308e-09	1.3919057263807596e-08	0.6400742465219786
isoExpr.M9_magenta	-4.511330113724599e-09	9.921122572932671e-09	0.6753445553003246
isoExpr.M46_brown4	-9.183959316147924e-09	1.6894912674660854e-08	0.7066392732193516
isoExpr.M38_plum1	-1.0868300420794333e-08	1.9091275990585008e-08	0.7154172658880493
isoExpr.M13_salmon	-1.1245018667315677e-08	1.337555916576721e-08	0.7997458874480228
isoExpr.M28_skyblue	-1.1622498084067126e-08	1.3198450474942153e-08	0.810731643247457
isoExpr.M33_darkolivegreen	-1.6886717555226643e-08	1.4784167592604028e-08	0.8733179437844201
isoExpr.M5_green	-8.473968414405446e-09	7.194536597067575e-09	0.8805685655364446
isoExpr.M44_floralwhite	-1.7027485703742078e-08	1.3830164860788633e-08	0.8908730811925754
isoExpr.M26_darkorange	-1.72073437191859e-08	1.3177033015325701e-08	0.904199699843909
