Name	Coefficient	Coefficient_std_error	Coefficient_P_value
isoExpr.M11_greenyellow	6.88233918203341e-08	2.700262500845876e-08	0.005405229399930875
isoExpr.M27_white	3.298201000647866e-08	1.8705709610133792e-08	0.03893291851842015
isoExpr.M19_lightyellow	3.351224644684473e-08	1.9595249859170143e-08	0.04361232467672484
isoExpr.M8_pink	3.0700388795796515e-08	2.13456690645181e-08	0.07518169765233507
isoExpr.M38_plum1	3.059508343002446e-08	2.2495449306267835e-08	0.08690601287989652
isoExpr.M12_tan	3.388832872566108e-08	2.7979434435037327e-08	0.11291186189247682
isoExpr.M5_green	1.072374237988493e-08	9.82879406528387e-09	0.13762462150547689
isoExpr.M23_darkturquoise	2.0873777992320522e-08	2.0874821033704664e-08	0.1586673446595368
isoExpr.M48_darkslateblue	2.4936770024093634e-08	2.5682678517446444e-08	0.16578490854760375
isoExpr.M40_mediumpurple3	2.2583008013226456e-08	2.3859804047876493e-08	0.17194997896978803
isoExpr.M37_skyblue3	2.069597758603219e-08	2.2115524865600133e-08	0.1746849490413619
isoExpr.M26_darkorange	1.9832403820336687e-08	2.1410655209166913e-08	0.17714851917698243
isoExpr.M39_orangered4	2.22193118685865e-08	2.486593715482321e-08	0.18577754726557932
isoExpr.M7_black	1.0614724650983753e-08	1.2121049925609231e-08	0.19058936719868685
isoExpr.M22_darkgreen	1.731675422998183e-08	2.0558803124710738e-08	0.19980901353086022
isoExpr.M30_steelblue	1.5975073074048354e-08	1.9145580560493288e-08	0.2020277990008712
isoExpr.M45_darkorange2	2.2638318812448747e-08	2.855166516217086e-08	0.21392106904209035
isoExpr.M28_skyblue	1.2212284768405092e-08	1.7144304653325067e-08	0.23813235181884868
isoExpr.M51_thistle1	2.7350451275511007e-08	3.880747942361618e-08	0.24047585644320219
isoExpr.M20_royalblue	9.300722846348916e-09	1.3197533101428377e-08	0.24048854137944659
isoExpr.M41_lightsteelblue1	1.916600550022638e-08	2.878112219537858e-08	0.2527302229483618
isoExpr.M47_bisque4	2.1668893011894916e-08	3.6015215009184366e-08	0.27370043696273544
isoExpr.M36_yellowgreen	1.8166902308852494e-08	3.039453701158288e-08	0.27501910171394706
isoExpr.M4_yellow	7.607204283123776e-09	1.3306010120045961e-08	0.2837585866906974
isoExpr.M24_darkgrey	1.4123642829560958e-08	2.4885462915973683e-08	0.28517167033323143
isoExpr.M3_brown	6.935994960698936e-09	1.3123855632566254e-08	0.2985751885597091
isoExpr.M2_blue	3.275510476880576e-09	9.347190223567008e-09	0.3630090268698848
isoExpr.M0_grey	4.2408621969533015e-09	1.4318708771096713e-08	0.3835477232573904
isoExpr.M9_magenta	4.3222467904016806e-09	1.575941987628123e-08	0.39194074580622396
isoExpr.M49_plum2	1.9564794322921973e-09	1.833843393774519e-08	0.4575184981990617
isoExpr.M10_purple	-3.7553257518928786e-10	1.7642711572846306e-08	0.5084910139372996
isoExpr.M44_floralwhite	-4.942363876142273e-10	1.755245745183964e-08	0.5112318027495372
isoExpr.M21_darkred	-1.7368746015013374e-09	2.554226032225999e-08	0.5271071968751545
isoExpr.M33_darkolivegreen	-3.7126559550018526e-09	3.131634915894962e-08	0.5471853598778611
isoExpr.M35_sienna3	-3.423464857847031e-09	2.1458346425129767e-08	0.5633782817251348
isoExpr.M34_darkmagenta	-3.742315508699536e-09	2.0611221598509112e-08	0.5720386845573535
isoExpr.M15_midnightblue	-6.584371421849018e-09	3.036931892188884e-08	0.5858217829028634
isoExpr.M32_violet	-1.4833108577336548e-08	5.70129759559204e-08	0.6026339662492178
isoExpr.M13_salmon	-6.109740575062751e-09	1.814583732849401e-08	0.6318292399896732
isoExpr.M14_cyan	-1.2883549760210017e-08	2.4770818883124223e-08	0.6985065335881142
isoExpr.M50_thistle2	-1.8563543765902944e-08	2.8427048830671112e-08	0.7431295813511969
isoExpr.M25_orange	-1.2813986881961701e-08	1.8876058699164237e-08	0.7513831162570528
isoExpr.M18_lightgreen	-1.4497415081100925e-08	2.097346724429238e-08	0.7552883744183461
isoExpr.M16_lightcyan	-1.4760617056729965e-08	2.1052418292417945e-08	0.7583910561790588
isoExpr.M42_lightcyan1	-1.8156950201079202e-08	2.423340580097248e-08	0.7731476126318848
isoExpr.M43_ivory	-2.3491752925979684e-08	2.994062757774402e-08	0.783659231019515
isoExpr.M6_red	-1.2874986616719658e-08	1.1935455522193537e-08	0.8596431940423639
isoExpr.M1_turquoise	-8.029351551352325e-09	6.7896804259748665e-09	0.8815125078025403
isoExpr.M31_paleturquoise	-2.4310042414581038e-08	1.9456934433012724e-08	0.8942457488352074
isoExpr.M46_brown4	-2.4295062447287934e-08	1.9260823615999082e-08	0.8964125634241119
isoExpr.M29_saddlebrown	-3.054050009367058e-08	2.2586343096916777e-08	0.9118389966207563
isoExpr.M17_grey60	-3.1890766003972104e-08	2.0704336578726936e-08	0.9382556506904085
isoExpr.M53_palevioletred3	-3.4232581501313924e-08	2.154822059537167e-08	0.943930287903634
isoExpr.M52_salmon4	-8.32902092503359e-08	2.735452737214317e-08	0.9988359864703016
