Name	Coefficient	Coefficient_std_error	Coefficient_P_value
isoExpr.M4_yellow	2.621963037479003e-08	1.546311279043901e-08	0.04497852289702934
isoExpr.M26_darkorange	4.7147840625199606e-08	3.2501012536142446e-08	0.0734376147103261
isoExpr.M5_green	1.8825824014566504e-08	1.3864531203804437e-08	0.08725712709638672
isoExpr.M12_tan	2.7696804577814226e-08	2.2728483954643393e-08	0.11149907684294502
isoExpr.M11_greenyellow	2.4667068077372496e-08	2.3355593175746062e-08	0.1454492744338977
isoExpr.M40_mediumpurple3	2.374128840804202e-08	2.2923744668682793e-08	0.1501795499001558
isoExpr.M14_cyan	4.7673449945619906e-08	4.622269825966829e-08	0.15117989088928308
isoExpr.M34_darkmagenta	2.776353403193866e-08	2.8917343710069232e-08	0.16850251092870622
isoExpr.M23_darkturquoise	2.7520592607816107e-08	2.972614341105764e-08	0.1772738354392901
isoExpr.M7_black	1.936630417587483e-08	2.1220078475813964e-08	0.1807158090682171
isoExpr.M1_turquoise	7.807889147159324e-09	8.578794966169982e-09	0.18137481123992655
isoExpr.M3_brown	1.1660497956056235e-08	1.647315322036521e-08	0.23951965020887983
isoExpr.M0_grey	1.113775942001262e-08	1.5982547048342645e-08	0.24294204052260926
isoExpr.M22_darkgreen	1.8538578228749896e-08	2.91839414808018e-08	0.262638505193485
isoExpr.M6_red	8.37342843636354e-09	1.4423130730632822e-08	0.2807700224512808
isoExpr.M20_royalblue	1.2441658448938553e-08	2.152400273207241e-08	0.28161975027957215
isoExpr.M45_darkorange2	1.665722640481013e-08	2.9095418755466228e-08	0.28349048872091365
isoExpr.M50_thistle2	2.847626389092696e-08	5.538447612063024e-08	0.3035714436745527
isoExpr.M29_saddlebrown	1.460756266978961e-08	3.129507382063747e-08	0.3203326659727722
isoExpr.M38_plum1	1.6686316613507373e-08	3.616181140849024e-08	0.3222433604136231
isoExpr.M37_skyblue3	1.4018461405233218e-08	3.3792811245892374e-08	0.3391311252877679
isoExpr.M24_darkgrey	1.0977165527194806e-08	2.7264430516260487e-08	0.34361442994704594
isoExpr.M30_steelblue	9.967829977853826e-09	2.4984770706761672e-08	0.3449627271716516
isoExpr.M2_blue	4.253781960829995e-09	1.0756441298899036e-08	0.3462503569731644
isoExpr.M52_salmon4	1.1506133143791618e-08	3.613120684982377e-08	0.3750702303592964
isoExpr.M31_paleturquoise	1.002913684965123e-08	3.380145085696411e-08	0.38334499582932613
isoExpr.M32_violet	8.67142550219906e-09	3.243397374337358e-08	0.3945974416435789
isoExpr.M8_pink	4.42946120359663e-09	1.9581983786310906e-08	0.4105226082160551
isoExpr.M35_sienna3	5.219214492058124e-09	3.282958111204741e-08	0.4368427032874055
isoExpr.M16_lightcyan	4.143761495864267e-09	2.9438988832094356e-08	0.4440307188026693
isoExpr.M49_plum2	3.9140536768159945e-09	3.140095779742171e-08	0.45040127585673445
isoExpr.M25_orange	1.934508341549952e-09	2.3908775665318e-08	0.46775594362245354
isoExpr.M43_ivory	1.3002208117065977e-09	3.108493376839667e-08	0.48331790429356974
isoExpr.M48_darkslateblue	-1.1109728686628116e-11	3.304460748092506e-08	0.5001341259815523
isoExpr.M17_grey60	-3.3543818692408095e-09	2.6910334550028922e-08	0.5495998061132047
isoExpr.M42_lightcyan1	-1.0927248433668232e-08	3.4521463923124075e-08	0.6242017335797129
isoExpr.M15_midnightblue	-1.1733690189290519e-08	2.5927987057669098e-08	0.6745633125082653
isoExpr.M47_bisque4	-2.1582923153323565e-08	4.438603997881116e-08	0.6866067242860925
isoExpr.M46_brown4	-1.6054290536785457e-08	2.721684951058569e-08	0.7223597103549827
isoExpr.M33_darkolivegreen	-3.015920551499178e-08	4.024810448225076e-08	0.7731715339043802
isoExpr.M51_thistle1	-3.537217350403816e-08	4.663371649597366e-08	0.7759273486547953
isoExpr.M36_yellowgreen	-2.374635921052611e-08	3.108746395126158e-08	0.7775235976293638
isoExpr.M27_white	-1.559206101122299e-08	2.0141744931844077e-08	0.780569107121909
isoExpr.M13_salmon	-2.191783470422763e-08	2.392455018313184e-08	0.820198851198451
isoExpr.M41_lightsteelblue1	-3.17420132221302e-08	2.864630113977594e-08	0.8660835009019389
isoExpr.M21_darkred	-3.276307179120962e-08	2.5720258129019255e-08	0.898637030250726
isoExpr.M53_palevioletred3	-4.2825948387540006e-08	3.249694513510405e-08	0.9062222902114639
isoExpr.M39_orangered4	-3.670854374892865e-08	2.7788290357600294e-08	0.9067505909040714
isoExpr.M10_purple	-2.93254044192607e-08	1.8048970056453424e-08	0.9478940902111879
isoExpr.M9_magenta	-2.7348438067254934e-08	1.667424153206799e-08	0.9495141358574399
isoExpr.M28_skyblue	-3.325197076412309e-08	1.9069106881543926e-08	0.9593996400721788
isoExpr.M19_lightyellow	-4.02044834960044e-08	1.7744610731246477e-08	0.9882660171310521
isoExpr.M44_floralwhite	-5.5193534293162975e-08	2.373564693733842e-08	0.9899732022037593
isoExpr.M18_lightgreen	-7.154156699115423e-08	1.8765587420433216e-08	0.9999311827215349
