Name	Coefficient	Coefficient_std_error	Coefficient_P_value
isoExpr.M1_turquoise	3.415783374550726e-09	1.096596626257086e-09	0.000920051921858032
isoExpr.M47_bisque4	1.3065758783472093e-08	5.429199562620758e-09	0.008051518253065505
isoExpr.M27_white	4.338366737311855e-09	2.2762704227784602e-09	0.028330936694644402
isoExpr.M43_ivory	7.250019192793832e-09	3.880670389404922e-09	0.03086439279310348
isoExpr.M17_grey60	5.964953439517637e-09	3.2600869592960103e-09	0.03364804038629588
isoExpr.M29_saddlebrown	8.123229311772193e-09	4.483852677991661e-09	0.03501915376431367
isoExpr.M30_steelblue	6.028263643367045e-09	3.3543031685940078e-09	0.03615406661555804
isoExpr.M7_black	2.8369210133499896e-09	1.776341643225668e-09	0.0551263656553555
isoExpr.M10_purple	4.2159352401174494e-09	2.808240983446845e-09	0.06664253455372782
isoExpr.M20_royalblue	4.414307078929788e-09	3.037015938693417e-09	0.07304228831363192
isoExpr.M6_red	2.6329980235374124e-09	1.8571695582711102e-09	0.07813220708798556
isoExpr.M12_tan	3.1239809079413186e-09	2.225126782265667e-09	0.08016592186750265
isoExpr.M8_pink	3.300862916307674e-09	2.359208139508569e-09	0.0808854744283426
isoExpr.M39_orangered4	5.661358621675712e-09	4.198112921396231e-09	0.08874102599174394
isoExpr.M23_darkturquoise	1.0005081446113672e-08	7.762949546886348e-09	0.0987295111899455
isoExpr.M53_palevioletred3	4.0461422557023525e-09	3.2597241973346657e-09	0.10725616103742164
isoExpr.M40_mediumpurple3	2.8505697570317238e-09	2.438979789636523e-09	0.12125118329477752
isoExpr.M0_grey	1.516564168677233e-09	1.3036109493214062e-09	0.12234246141758043
isoExpr.M24_darkgrey	2.3991089759966646e-09	2.2942557445821905e-09	0.14784920327989037
isoExpr.M9_magenta	3.0381128686232883e-09	2.9066151812068715e-09	0.14795583819847263
isoExpr.M25_orange	3.810329204275358e-09	4.027823573578983e-09	0.17207378002492107
isoExpr.M37_skyblue3	2.597205261875673e-09	2.7866100504892283e-09	0.17566040917954934
isoExpr.M32_violet	3.326014987427331e-09	3.575018072803719e-09	0.17609517151682413
isoExpr.M3_brown	1.239380036891303e-09	1.5090041907422136e-09	0.20573111961032003
isoExpr.M35_sienna3	2.5231374233642198e-09	3.3164771512531766e-09	0.22339172502709764
isoExpr.M15_midnightblue	2.2589707946785473e-09	3.066127634950788e-09	0.23063707229438773
isoExpr.M33_darkolivegreen	1.930316190132077e-09	2.7600616634016513e-09	0.24215907270428388
isoExpr.M50_thistle2	4.1132100386809425e-09	6.075349249707262e-09	0.24919260712953645
isoExpr.M11_greenyellow	1.6985391790581327e-09	2.7622173089107915e-09	0.2693041940621701
isoExpr.M34_darkmagenta	1.2591079255392562e-09	2.257207581750103e-09	0.2884848029498695
isoExpr.M19_lightyellow	1.5642261710048369e-09	2.9471524818669557e-09	0.2977930778004733
isoExpr.M14_cyan	1.2555820143671439e-09	2.4780528105357935e-09	0.30618936909705297
isoExpr.M26_darkorange	1.4199560320370752e-09	3.336617867222247e-09	0.33521152325437364
isoExpr.M2_blue	5.899270173344013e-10	1.896835496503101e-09	0.37789807086532595
isoExpr.M4_yellow	4.55181767664558e-10	1.6748195837839377e-09	0.3928957525558492
isoExpr.M42_lightcyan1	9.370948559371162e-10	3.611830718703112e-09	0.39764345366240034
isoExpr.M13_salmon	4.883889193354676e-10	2.196343792177114e-09	0.4120150671169023
isoExpr.M21_darkred	4.0406933977389616e-10	2.5688327355094796e-09	0.43750544485794907
isoExpr.M16_lightcyan	5.849387292712505e-10	3.94182064432211e-09	0.4410162981983811
isoExpr.M22_darkgreen	8.280873896152637e-11	2.3884871979021883e-09	0.48617146026316677
isoExpr.M45_darkorange2	-2.640717852337791e-10	3.436636864196075e-09	0.5306246557447605
isoExpr.M36_yellowgreen	-3.074897405139339e-10	2.7004871715838454e-09	0.5453274137667277
isoExpr.M5_green	-2.1064381800861165e-10	1.4598589426910224e-09	0.5573644712979446
isoExpr.M28_skyblue	-5.04800089454468e-10	3.316515948420547e-09	0.5604885375855162
isoExpr.M49_plum2	-1.0807717713999749e-09	4.533705381241962e-09	0.5942091273378284
isoExpr.M38_plum1	-7.704918755080189e-10	3.105255884449301e-09	0.5979811857279942
isoExpr.M48_darkslateblue	-8.049959717919251e-10	3.229212298158925e-09	0.5984300469531438
isoExpr.M44_floralwhite	-1.1287285742623175e-09	3.89584053170964e-09	0.6139872919606248
isoExpr.M31_paleturquoise	-8.927166552639717e-10	2.678325967502581e-09	0.6305503934188841
isoExpr.M46_brown4	-1.1752247541257044e-09	2.3945274818545505e-09	0.6882146663424935
isoExpr.M18_lightgreen	-3.0309812628779016e-09	2.5852421826672363e-09	0.8794851130265064
isoExpr.M51_thistle1	-4.725372012895583e-09	3.253858226259965e-09	0.9267820856410885
isoExpr.M41_lightsteelblue1	-5.610034475345613e-09	3.2092854872483504e-09	0.9597734744598966
isoExpr.M52_salmon4	-7.27421514678922e-09	4.033267101936613e-09	0.9643493761488601
