Name	Coefficient	Coefficient_std_error	Coefficient_P_value
isoExpr.M1_turquoise	1.3883970052771682e-09	4.915599581005734e-10	0.0023679342997789386
isoExpr.M47_bisque4	5.1324583628706315e-09	2.0429186953236082e-09	0.005997073076747053
isoExpr.M29_saddlebrown	4.126893003748702e-09	2.013798242349394e-09	0.02021599967157907
isoExpr.M27_white	2.061487769361882e-09	1.0635953760654532e-09	0.026297853341858978
isoExpr.M30_steelblue	2.866121746695777e-09	1.4869326923338452e-09	0.026956204775661022
isoExpr.M39_orangered4	3.36170965112889e-09	1.8621025851454316e-09	0.035511529279965565
isoExpr.M8_pink	1.741813988798735e-09	9.726869019694702e-10	0.03666878095269507
isoExpr.M20_royalblue	2.0258990353760216e-09	1.2294679195047987e-09	0.049698379086389785
isoExpr.M17_grey60	2.064358550837621e-09	1.2896851841543926e-09	0.0547251720359435
isoExpr.M24_darkgrey	1.893748101977669e-09	1.1907406868772399e-09	0.05587289197263177
isoExpr.M12_tan	1.5344878106820626e-09	9.762186142865235e-10	0.05799046362081822
isoExpr.M6_red	1.218436350134479e-09	8.014294026029322e-10	0.0642141563856484
isoExpr.M40_mediumpurple3	1.6737805023616328e-09	1.1195283038285426e-09	0.0674472339266442
isoExpr.M10_purple	1.7146120539379672e-09	1.1516168269061573e-09	0.06826030966933436
isoExpr.M0_grey	7.852250345399779e-10	5.34763059324397e-10	0.07100314190311964
isoExpr.M7_black	1.0176301973825894e-09	7.49238250705295e-10	0.08719698109415491
isoExpr.M43_ivory	1.9741969316956427e-09	1.4822571294727555e-09	0.0914488912071359
isoExpr.M23_darkturquoise	5.558770239091608e-09	4.518645405904564e-09	0.10931389956869131
isoExpr.M9_magenta	1.332867889340668e-09	1.1926294466129436e-09	0.13187158206793426
isoExpr.M25_orange	1.8289812361395437e-09	1.8009789274712635e-09	0.15492224793079573
isoExpr.M50_thistle2	3.269856500909217e-09	3.3166955524372676e-09	0.16209654200016793
isoExpr.M15_midnightblue	1.6335719417818588e-09	1.6738157438281312e-09	0.16454292382386304
isoExpr.M53_palevioletred3	1.1716243632025444e-09	1.2285671308516437e-09	0.17013014689653627
isoExpr.M11_greenyellow	8.632104839279577e-10	1.1538621723034808e-09	0.22719830249576906
isoExpr.M19_lightyellow	8.739674085170616e-10	1.1715376771116872e-09	0.22783362981564714
isoExpr.M37_skyblue3	9.651822327612345e-10	1.3439290352856553e-09	0.23632331958359526
isoExpr.M21_darkred	8.115339327335907e-10	1.1943769178797881e-09	0.24842253466621717
isoExpr.M14_cyan	7.25963860763194e-10	1.088152882051441e-09	0.25233738030023883
isoExpr.M42_lightcyan1	7.98120588796883e-10	1.4101869622082616e-09	0.2857077925272743
isoExpr.M26_darkorange	1.026791920603572e-09	1.831159419385882e-09	0.28748970804372437
isoExpr.M3_brown	3.3336054423018454e-10	6.082810667506906e-10	0.2918332412043577
isoExpr.M35_sienna3	7.137141836745118e-10	1.38297280216498e-09	0.30290189903325115
isoExpr.M2_blue	4.5842334817683653e-10	9.99908124544315e-10	0.32330903240872083
isoExpr.M32_violet	3.8424330668299036e-10	1.43854847925942e-09	0.3946942084574198
isoExpr.M16_lightcyan	4.363106019817692e-10	1.712309418249442e-09	0.3994355934470729
isoExpr.M33_darkolivegreen	1.550885590891082e-10	1.0689186923911939e-09	0.4423202221832647
isoExpr.M5_green	7.452025800613279e-11	6.309212586285216e-10	0.45298890116056834
isoExpr.M4_yellow	7.281385432128005e-11	7.373034209138437e-10	0.4606656158425206
isoExpr.M36_yellowgreen	6.054860947438126e-11	1.1980089548817238e-09	0.4798456259974314
isoExpr.M13_salmon	4.52354588494733e-11	9.561622942623916e-10	0.48113332050984614
isoExpr.M34_darkmagenta	2.6034954199264946e-11	8.90797155350303e-10	0.488341941311524
isoExpr.M22_darkgreen	1.7889341062665206e-11	1.054114652448193e-09	0.4932298901894813
isoExpr.M45_darkorange2	1.8975743857134645e-11	1.5401966464598685e-09	0.49508502045281433
isoExpr.M38_plum1	-3.045723246824783e-11	1.3909724815365507e-09	0.5087346853120528
isoExpr.M49_plum2	-2.877835872529026e-10	2.0785664404215818e-09	0.5550587611003119
isoExpr.M28_skyblue	-3.0838044014014013e-10	1.357817342250283e-09	0.5898327694514552
isoExpr.M48_darkslateblue	-3.542695041178034e-10	1.4439055958425845e-09	0.5969092280026567
isoExpr.M44_floralwhite	-4.6055034049976716e-10	1.6198655772333857e-09	0.6119150922212395
isoExpr.M31_paleturquoise	-5.031612021124841e-10	9.507060176285056e-10	0.7016839975806523
isoExpr.M18_lightgreen	-1.0513945447925095e-09	1.408396867234866e-09	0.7723229187082453
isoExpr.M46_brown4	-9.039425643832735e-10	1.0733859686023173e-09	0.8001455433049727
isoExpr.M52_salmon4	-2.4457238328532e-09	1.7042100006263013e-09	0.924371706421521
isoExpr.M41_lightsteelblue1	-2.452403130448255e-09	1.2860222062347098e-09	0.9717376310474795
isoExpr.M51_thistle1	-2.350124514226503e-09	1.1878515044301714e-09	0.9760619529277847
