Name	Coefficient	Coefficient_std_error	Coefficient_P_value
isoExpr.M22_darkgreen	6.52701615185847e-08	4.5016052113618545e-08	0.0735389053910164
isoExpr.M21_darkred	4.353965676350252e-08	3.271487050849791e-08	0.09161379734569458
isoExpr.M29_saddlebrown	4.4486834102570336e-08	4.364660515512473e-08	0.15404197447291385
isoExpr.M50_thistle2	4.066951417106986e-08	4.7805125076561416e-08	0.19745816550519812
isoExpr.M27_white	2.2366387838640248e-08	3.1180239831683935e-08	0.23658657184798731
isoExpr.M41_lightsteelblue1	6.540087956523965e-08	9.264887153369212e-08	0.24012502567313343
isoExpr.M45_darkorange2	2.854083280872606e-08	4.288193333721462e-08	0.25284370596325734
isoExpr.M2_blue	9.43391256226906e-09	1.4319809134712665e-08	0.2550116034901209
isoExpr.M11_greenyellow	1.2890302670652734e-08	1.9865755888026128e-08	0.25821104659535443
isoExpr.M46_brown4	4.4635697666546614e-08	7.211012822655073e-08	0.26796033412624065
isoExpr.M7_black	1.2626810076672817e-08	2.1128519769688776e-08	0.275047009329702
isoExpr.M15_midnightblue	3.905023655418159e-08	6.561343836956752e-08	0.27586957373387777
isoExpr.M10_purple	1.802501420809724e-08	3.368977770799558e-08	0.29631483917084245
isoExpr.M32_violet	1.8442320537025506e-08	3.6078698183201075e-08	0.3046162796851238
isoExpr.M33_darkolivegreen	2.255368257122427e-08	6.965700058837619e-08	0.37305154446411604
isoExpr.M24_darkgrey	7.106967716450568e-09	2.866781658103258e-08	0.4021029752389588
isoExpr.M40_mediumpurple3	8.430708393272051e-09	3.6365776383571284e-08	0.4083347023209976
isoExpr.M49_plum2	6.281906739886536e-09	3.035480544051815e-08	0.41802471410177244
isoExpr.M37_skyblue3	6.779938683925569e-09	3.453406675287888e-08	0.4221774665546409
isoExpr.M12_tan	-1.6684808591791445e-11	3.2237326157729986e-08	0.5002064772759978
isoExpr.M3_brown	-4.270313317157642e-10	1.7156623043231223e-08	0.50992871756495
isoExpr.M19_lightyellow	-3.9640640755973966e-09	2.3257672633076826e-08	0.5676683870671114
isoExpr.M36_yellowgreen	-9.614450472434849e-09	3.701587347937533e-08	0.6024672850285028
isoExpr.M47_bisque4	-1.1038769454665213e-08	3.914084915941517e-08	0.611038529644251
isoExpr.M14_cyan	-8.123101754871865e-09	2.624327376731756e-08	0.6215411099959423
isoExpr.M18_lightgreen	-1.5238963172281227e-08	3.358389243918704e-08	0.6749985273346946
isoExpr.M48_darkslateblue	-1.134666288561078e-08	2.443394633450533e-08	0.6788126358164227
isoExpr.M0_grey	-5.9156491389767054e-09	1.2306715602447207e-08	0.6846296746869235
isoExpr.M13_salmon	-1.3939769625256093e-08	2.8439081944318586e-08	0.6879905194377364
isoExpr.M17_grey60	-1.2385680623682831e-08	2.4221449092589992e-08	0.6954476163334451
isoExpr.M51_thistle1	-2.506184961203505e-08	4.684381297088038e-08	0.7036780950721063
isoExpr.M43_ivory	-1.6695952723984826e-08	2.9467485196629968e-08	0.7145032720808873
isoExpr.M9_magenta	-1.1138871802281723e-08	1.8944017743653485e-08	0.7217301220803658
isoExpr.M53_palevioletred3	-1.793821576352175e-08	2.549583267707358e-08	0.7591510778663909
isoExpr.M23_darkturquoise	-1.7633002049375827e-08	2.4916820979032722e-08	0.7604263319331734
isoExpr.M20_royalblue	-1.2103905034054303e-08	1.4215636454563096e-08	0.8027403133774429
isoExpr.M5_green	-1.0550152249675239e-08	1.1268092050511835e-08	0.8254369181095405
isoExpr.M16_lightcyan	-2.2762118091454965e-08	2.1611556500888784e-08	0.8538840955467679
isoExpr.M26_darkorange	-3.373818107859516e-08	3.022500141281023e-08	0.8678390563066325
isoExpr.M25_orange	-2.2352844168576873e-08	1.9420993861564453e-08	0.8751262585894051
isoExpr.M39_orangered4	-2.275616418752313e-08	1.7076645110321317e-08	0.9086667833900903
isoExpr.M4_yellow	-1.9332650311236803e-08	1.3734998744241101e-08	0.9203673102821182
isoExpr.M28_skyblue	-2.8605369550566528e-08	1.9285955716267713e-08	0.9309923894231643
isoExpr.M8_pink	-2.2108231093320978e-08	1.4889473961094955e-08	0.9312046207551762
isoExpr.M38_plum1	-2.6716335800406093e-08	1.7592072734637415e-08	0.9355756538307286
isoExpr.M42_lightcyan1	-4.5121901766376985e-08	2.857074825537321e-08	0.9428668467046255
isoExpr.M31_paleturquoise	-3.439031320748684e-08	1.695494523124188e-08	0.978736978579982
isoExpr.M34_darkmagenta	-4.867696759362721e-08	2.1665401807766926e-08	0.9876723292153952
isoExpr.M44_floralwhite	-3.181285308229637e-08	1.338355803518668e-08	0.991273195702381
isoExpr.M6_red	-2.537317500086611e-08	1.0351731911370697e-08	0.9928790668085313
isoExpr.M1_turquoise	-2.0475814054586037e-08	7.820630212268055e-09	0.9955799860766302
isoExpr.M30_steelblue	-3.632189810789242e-08	1.3479423122158187e-08	0.9964765330347628
isoExpr.M35_sienna3	-4.916797109402267e-08	1.6455439138497654e-08	0.9985957062394141
isoExpr.M52_salmon4	-6.995449872404179e-08	2.2201724619924294e-08	0.9991860440689835
