Name	Coefficient	Coefficient_std_error	Coefficient_P_value
isoExpr.M8_pink	9.156116959627125e-08	2.6712239548692126e-08	0.0003043745598750018
isoExpr.M10_purple	6.243013154996549e-08	2.8196240875104645e-08	0.013409932456950402
isoExpr.M45_darkorange2	7.41167008923919e-08	3.825489018624474e-08	0.026345556744524008
isoExpr.M15_midnightblue	6.912400305005958e-08	4.920874364842564e-08	0.08005379943716279
isoExpr.M24_darkgrey	4.0339482570112224e-08	3.063665976062999e-08	0.09396854743365257
isoExpr.M34_darkmagenta	4.48388283391775e-08	3.73258082761774e-08	0.11482088024400222
isoExpr.M26_darkorange	4.184080659929346e-08	3.8121288736104077e-08	0.13619601344052895
isoExpr.M5_green	1.7967748531806984e-08	1.65757592879703e-08	0.1391874087053354
isoExpr.M11_greenyellow	3.8168218023331355e-08	3.863553909207725e-08	0.16159974178654918
isoExpr.M49_plum2	4.82019137408567e-08	5.1292665597986775e-08	0.17367474996705057
isoExpr.M33_darkolivegreen	5.390531264653688e-08	5.759391496185459e-08	0.17464817883394052
isoExpr.M27_white	2.6131371210136642e-08	2.9533703083564104e-08	0.18813270477512345
isoExpr.M43_ivory	5.210575270319458e-08	5.948952207292881e-08	0.19054731625654348
isoExpr.M20_royalblue	1.4784358639475549e-08	1.7976052253318585e-08	0.20541113681012396
isoExpr.M6_red	1.4153742283928247e-08	1.9458150696743732e-08	0.23349231109938928
isoExpr.M23_darkturquoise	2.164059709114843e-08	3.04365532657891e-08	0.23854000335373288
isoExpr.M28_skyblue	2.2770562581547995e-08	3.351504342710922e-08	0.24843804726804586
isoExpr.M3_brown	1.09703640094937e-08	1.646173843713555e-08	0.25257265555309943
isoExpr.M50_thistle2	4.377865089258326e-08	6.640560075091908e-08	0.2548639548205125
isoExpr.M38_plum1	1.9990312276645208e-08	3.177447602381945e-08	0.26463160312984524
isoExpr.M44_floralwhite	1.56822467686566e-08	3.100093901951271e-08	0.306476201753623
isoExpr.M51_thistle1	3.214789454073371e-08	6.424150210630946e-08	0.3083887988792941
isoExpr.M1_turquoise	4.847112009186801e-09	1.1306524370164645e-08	0.334070619014042
isoExpr.M41_lightsteelblue1	1.5549974406473604e-08	4.22313117951038e-08	0.3563584764833103
isoExpr.M32_violet	2.0348225218168387e-08	6.104500520304838e-08	0.36944201927707376
isoExpr.M7_black	6.854164120067554e-09	2.165870616428034e-08	0.3758258153782308
isoExpr.M25_orange	1.0747850424870505e-08	3.573853681743839e-08	0.3818080587182897
isoExpr.M19_lightyellow	7.734611387976061e-09	2.8291328174296895e-08	0.3922761057706402
isoExpr.M37_skyblue3	3.7622631460265325e-11	3.199997776021495e-08	0.499530960457408
isoExpr.M40_mediumpurple3	-2.7101242127253435e-10	3.6015304892831436e-08	0.5030019818888889
isoExpr.M30_steelblue	-1.6192650827790571e-09	2.4878880828989202e-08	0.5259472083306671
isoExpr.M12_tan	-2.7862597589829054e-09	3.901339879333927e-08	0.5284674664781723
isoExpr.M17_grey60	-2.863732097766022e-09	3.350035558817567e-08	0.5340615465375111
isoExpr.M47_bisque4	-8.86157089543613e-09	5.585380057436703e-08	0.5630302608477807
isoExpr.M22_darkgreen	-6.31586421484272e-09	3.4826521397821796e-08	0.5719544090194839
isoExpr.M48_darkslateblue	-1.3824010339120703e-08	3.4737898814678344e-08	0.6546671525369566
isoExpr.M0_grey	-8.454273010076089e-09	2.0537367815408957e-08	0.6597031808954148
isoExpr.M13_salmon	-1.2511050093342187e-08	3.025821833415769e-08	0.6603710850883036
isoExpr.M42_lightcyan1	-1.921423468390422e-08	4.437934173138944e-08	0.6674760789686162
isoExpr.M35_sienna3	-1.482121810540785e-08	3.3596972948138596e-08	0.6704468640081475
isoExpr.M2_blue	-8.008720021100397e-09	1.4481689739950268e-08	0.7098764654363147
isoExpr.M31_paleturquoise	-1.3837857746199073e-08	2.202271993059373e-08	0.7351108986483501
isoExpr.M9_magenta	-1.5463406972805804e-08	2.3727518075915028e-08	0.7427051329050423
isoExpr.M14_cyan	-2.7760826876762084e-08	3.485325702842827e-08	0.7871309930316771
isoExpr.M18_lightgreen	-2.720029061992808e-08	3.332254536792562e-08	0.7928279637553681
isoExpr.M21_darkred	-3.287981831922004e-08	3.851883674821097e-08	0.8033376727499324
isoExpr.M36_yellowgreen	-3.3915242437054145e-08	3.8766573641187694e-08	0.8091743803324372
isoExpr.M29_saddlebrown	-3.479985047901701e-08	2.9639348884107867e-08	0.8798244789867817
isoExpr.M39_orangered4	-4.860741081464465e-08	3.5622075788710706e-08	0.9137996776731736
isoExpr.M4_yellow	-2.9051990764493045e-08	2.045402936301348e-08	0.9222478778279769
isoExpr.M16_lightcyan	-4.2665453240536804e-08	2.9994164961896865e-08	0.922553396552684
isoExpr.M53_palevioletred3	-6.339595857215748e-08	3.864762100001741e-08	0.9495346889580709
isoExpr.M46_brown4	-6.880336957881922e-08	3.5211119760656245e-08	0.9746508046432678
isoExpr.M52_salmon4	-1.1357756510207985e-07	3.584339420928376e-08	0.9992344324403586
