Name	Coefficient	Coefficient_std_error	Coefficient_P_value
isoExpr.M27_white	3.233249096342562e-08	1.4040566515001747e-08	0.010645301057713998
isoExpr.M1_turquoise	8.472536724215301e-09	3.7002447512125904e-09	0.011018680124530314
isoExpr.M25_orange	2.1208314603526097e-08	9.900705706485353e-09	0.016092665505389535
isoExpr.M8_pink	1.728070556699656e-08	8.09373845466685e-09	0.016377608995019173
isoExpr.M40_mediumpurple3	2.6085775390144835e-08	1.4164703021538313e-08	0.03276653925507057
isoExpr.M51_thistle1	3.416369425181027e-08	2.1487419048975432e-08	0.055924232190828864
isoExpr.M23_darkturquoise	5.3746369054210796e-08	3.4701310467053306e-08	0.06071150944212096
isoExpr.M39_orangered4	1.535604078420178e-08	1.0586928928069831e-08	0.07346351290967978
isoExpr.M10_purple	1.508183212570863e-08	1.0544824988163394e-08	0.07632133128723169
isoExpr.M19_lightyellow	1.2330063404038417e-08	8.856327031675724e-09	0.08192605198873348
isoExpr.M45_darkorange2	1.7229109754748718e-08	1.378347077277202e-08	0.10565280442219926
isoExpr.M37_skyblue3	1.547461493498364e-08	1.246854366605009e-08	0.10728580614550648
isoExpr.M29_saddlebrown	1.47830926238866e-08	1.1913052045946593e-08	0.10731845691224834
isoExpr.M5_green	6.298225538220859e-09	5.436519323368897e-09	0.12332935432145398
isoExpr.M6_red	6.2066405276734665e-09	5.551991242207147e-09	0.1318021783747671
isoExpr.M0_grey	5.008887772966831e-09	4.565929065454236e-09	0.13631765210429841
isoExpr.M12_tan	1.0445561364438234e-08	9.574688033529514e-09	0.13764616781693234
isoExpr.M20_royalblue	7.782637234010185e-09	7.781836040558626e-09	0.15863034266642156
isoExpr.M17_grey60	9.288039635728177e-09	9.476995107667989e-09	0.16352783946496374
isoExpr.M22_darkgreen	9.19878797174806e-09	9.499538342138753e-09	0.16643716529422942
isoExpr.M47_bisque4	1.3339643539665851e-08	1.612054196238921e-08	0.20397870502025123
isoExpr.M43_ivory	9.780470438115245e-09	1.1970121195799929e-08	0.20694317437270804
isoExpr.M3_brown	3.6978699011837944e-09	4.657174964989549e-09	0.21359315441075827
isoExpr.M16_lightcyan	7.08214671555795e-09	1.0308656134946294e-08	0.24603830924718384
isoExpr.M7_black	3.6882894155708095e-09	5.420342046665461e-09	0.24810875369247432
isoExpr.M2_blue	4.7899309031339984e-09	7.0944407903699315e-09	0.249784897811284
isoExpr.M52_salmon4	6.973137932320133e-09	1.0424537301195356e-08	0.2517745885290165
isoExpr.M14_cyan	5.6084045223347264e-09	9.273025625383411e-09	0.27265312964500676
isoExpr.M31_paleturquoise	5.733218300957498e-09	9.860897227507403e-09	0.28048228317663343
isoExpr.M28_skyblue	5.904412297257067e-09	1.0379351939851699e-08	0.2847251136010586
isoExpr.M35_sienna3	8.590963635810826e-09	1.6790901148859932e-08	0.30445009665498657
isoExpr.M18_lightgreen	4.458774516889441e-09	8.738770442058598e-09	0.3049455021886808
isoExpr.M41_lightsteelblue1	5.720816380842834e-09	1.5431371408323002e-08	0.35542067186269544
isoExpr.M30_steelblue	3.581118355998752e-09	9.700416748951317e-09	0.3559999121038311
isoExpr.M13_salmon	2.6972855871613096e-09	7.956815177437349e-09	0.3673084040307756
isoExpr.M4_yellow	1.7178582893835436e-09	5.119070459476508e-09	0.3685937579604887
isoExpr.M46_brown4	3.1879547323827998e-09	1.1080792871919005e-08	0.38678782805109513
isoExpr.M15_midnightblue	2.263533568616147e-09	9.208488603439894e-09	0.4029148686271152
isoExpr.M26_darkorange	2.298190665324632e-09	9.5046644096147e-09	0.4044690854268164
isoExpr.M50_thistle2	2.9883883254151675e-09	1.3365007839750581e-08	0.41153508032701674
isoExpr.M24_darkgrey	2.165184568391755e-09	9.796910608163063e-09	0.4125435411136834
isoExpr.M9_magenta	1.3252978507089316e-10	6.54817468878473e-09	0.4919262805569204
isoExpr.M34_darkmagenta	-1.2026385987131041e-09	9.073416754686424e-09	0.5527234961648197
isoExpr.M11_greenyellow	-1.2477123315146602e-09	7.633018183636676e-09	0.5649228566607043
isoExpr.M42_lightcyan1	-2.1360243809469195e-09	9.228826714710746e-09	0.5915179109129622
isoExpr.M49_plum2	-8.382771493314074e-09	1.4529352028290408e-08	0.7180148213694957
isoExpr.M36_yellowgreen	-5.756119880205711e-09	8.481108601091458e-09	0.7513356983138986
isoExpr.M44_floralwhite	-9.99171523319154e-09	1.0191550718842088e-08	0.8365536820807633
isoExpr.M32_violet	-9.297966653988203e-09	8.532185082751611e-09	0.8620888215226624
isoExpr.M38_plum1	-9.520687212895032e-09	8.319419428650704e-09	0.8737697012436101
isoExpr.M33_darkolivegreen	-9.900094813559864e-09	8.561663417942961e-09	0.8762265780040895
isoExpr.M21_darkred	-9.560865703289992e-09	8.171572488139047e-09	0.879002615469575
isoExpr.M48_darkslateblue	-1.4249408635335116e-08	9.186216722064452e-09	0.9395698492115739
isoExpr.M53_palevioletred3	-1.289692748132073e-08	7.852019353391373e-09	0.9497565982760959
