Name	Coefficient	Coefficient_std_error	Coefficient_P_value
isoExpr.M15_midnightblue	4.9494957906205074e-09	2.7393711181934304e-09	0.03539673281657794
isoExpr.M48_darkslateblue	7.46667771948743e-09	4.160277874187991e-09	0.0363464060932172
isoExpr.M7_black	3.164090182613458e-09	1.851636609700375e-09	0.04374332368616283
isoExpr.M1_turquoise	1.6335848648172794e-09	9.744720784025864e-10	0.04683195601149725
isoExpr.M31_paleturquoise	4.1955482454595336e-09	2.778196877871812e-09	0.06550008699793093
isoExpr.M21_darkred	4.988223609297969e-09	3.4324608296645585e-09	0.07307718081728226
isoExpr.M36_yellowgreen	6.569954697070201e-09	4.614581205543768e-09	0.07726116206847905
isoExpr.M26_darkorange	5.357273248276226e-09	3.9588553404492025e-09	0.08798981400606093
isoExpr.M43_ivory	5.791458454977304e-09	4.360814397514609e-09	0.09207780671020255
isoExpr.M51_thistle1	7.790928242881341e-09	6.923230186493195e-09	0.1302243166120668
isoExpr.M37_skyblue3	4.099285717568361e-09	3.830468584206779e-09	0.14226945011027214
isoExpr.M20_royalblue	2.546162383809038e-09	2.39522102963919e-09	0.1438869590867723
isoExpr.M2_blue	1.3119500341625852e-09	1.2860507792409192e-09	0.15383136755343424
isoExpr.M10_purple	2.0730609636946853e-09	2.035508017655538e-09	0.1542323294593726
isoExpr.M4_yellow	1.5669005510618334e-09	1.5523622549003072e-09	0.156399743331832
isoExpr.M19_lightyellow	3.2159475838219684e-09	3.296693449490785e-09	0.1646544120333699
isoExpr.M47_bisque4	5.107006889836009e-09	5.241222056825404e-09	0.1649308731162032
isoExpr.M13_salmon	2.3043744583453575e-09	2.50197902559809e-09	0.17851981149840035
isoExpr.M24_darkgrey	3.3533848730780415e-09	3.690339551893731e-09	0.1817561605735145
isoExpr.M30_steelblue	2.7450157846992068e-09	3.4442170160703547e-09	0.21272763838055042
isoExpr.M49_plum2	5.757580231439116e-09	7.3381641429258045e-09	0.2163418013932727
isoExpr.M5_green	1.0407699778437195e-09	1.355479987820042e-09	0.2212958963624695
isoExpr.M17_grey60	2.3421367141043564e-09	3.092453196114751e-09	0.22441358553530644
isoExpr.M34_darkmagenta	1.7625936098000187e-09	2.4773452647757185e-09	0.23839191963177564
isoExpr.M44_floralwhite	2.3403710232587196e-09	3.918133336382336e-09	0.27514759094772623
isoExpr.M3_brown	7.952665822423385e-10	1.3698659543437989e-09	0.2807741280835303
isoExpr.M41_lightsteelblue1	1.5928354466340822e-09	3.3635779468662315e-09	0.3179090289124784
isoExpr.M16_lightcyan	1.3466198580577092e-09	3.248525221744117e-09	0.3392420203120915
isoExpr.M6_red	6.78200817753493e-10	1.7380499251746116e-09	0.3481914088431984
isoExpr.M11_greenyellow	6.622454637276478e-10	2.849063913603311e-09	0.40809690887473216
isoExpr.M12_tan	5.721401315506681e-10	2.5089961089819067e-09	0.4098093290818025
isoExpr.M14_cyan	3.653808083307694e-10	2.746848587595118e-09	0.4470895001324594
isoExpr.M40_mediumpurple3	3.9003198274837844e-10	3.696427284275721e-09	0.45798321295399314
isoExpr.M32_violet	1.3234164874528242e-10	3.270301073945025e-09	0.4838601183224029
isoExpr.M45_darkorange2	8.826798387331562e-11	3.2951244499994134e-09	0.48931463124477753
isoExpr.M29_saddlebrown	-2.5051873061558712e-11	4.015167703577412e-09	0.502489108117363
isoExpr.M25_orange	-5.0020278477781504e-11	2.624183310950695e-09	0.5076038878649141
isoExpr.M38_plum1	-2.52506843623439e-10	2.5783897460172297e-09	0.5390068518762068
isoExpr.M9_magenta	-4.819856523434596e-10	2.3236387600258687e-09	0.5821618404534021
isoExpr.M42_lightcyan1	-9.627426218885e-10	3.565751313153127e-09	0.6064187693283355
isoExpr.M33_darkolivegreen	-1.180585920312881e-09	2.9440447126055405e-09	0.6557929378140517
isoExpr.M18_lightgreen	-1.107234730134205e-09	2.5153080804941103e-09	0.6701033105716463
isoExpr.M0_grey	-6.871846596448459e-10	1.524277774082562e-09	0.6739426633317772
isoExpr.M46_brown4	-1.782787016397056e-09	2.991959412976111e-09	0.7243654072195921
isoExpr.M50_thistle2	-3.47154220103556e-09	4.858091649095435e-09	0.7625686910639751
isoExpr.M27_white	-1.7377347876000395e-09	2.3279615204898237e-09	0.7723058075820672
isoExpr.M23_darkturquoise	-2.0353872627714696e-09	2.3327497354494606e-09	0.8085395430813772
isoExpr.M8_pink	-1.8080913477198662e-09	1.7821132348018375e-09	0.8448462793989419
isoExpr.M52_salmon4	-5.411516002123678e-09	4.2652776770726856e-09	0.8977325759763053
isoExpr.M22_darkgreen	-3.982634005041768e-09	2.521089153039622e-09	0.9429153638493502
isoExpr.M39_orangered4	-5.120708041670199e-09	3.000861793437527e-09	0.9560343465110582
isoExpr.M35_sienna3	-3.8053845031832864e-09	1.910724984692452e-09	0.9767920764730731
isoExpr.M53_palevioletred3	-5.7057338559317025e-09	2.241645564425661e-09	0.9945413174618872
isoExpr.M28_skyblue	-9.393279510111155e-09	1.9402319028720884e-09	0.9999993550959176
