Name	Coefficient	Coefficient_std_error	Coefficient_P_value
isoExpr.M1_turquoise	1.6903864056174953e-09	6.477417545131334e-10	0.004531599122373614
isoExpr.M29_saddlebrown	6.005151872690696e-09	2.463825470879713e-09	0.007398116860479336
isoExpr.M48_darkslateblue	6.859816884695821e-09	3.314106924282955e-09	0.019231604477282
isoExpr.M31_paleturquoise	3.3378222643708526e-09	1.997541390188843e-09	0.04736427013984492
isoExpr.M25_orange	3.084482246830096e-09	1.897408078555135e-09	0.05201426465337695
isoExpr.M8_pink	2.129221280388307e-09	1.5047752789719335e-09	0.07853772990519466
isoExpr.M34_darkmagenta	2.2971327658467613e-09	1.672118324989294e-09	0.08475406243060324
isoExpr.M30_steelblue	4.15499557181441e-09	3.0615819730100114e-09	0.08736835438855467
isoExpr.M2_blue	1.040768259018601e-09	8.692304586487268e-10	0.11558616433743246
isoExpr.M6_red	1.4745004921959593e-09	1.2340189450905788e-09	0.11606760259922572
isoExpr.M15_midnightblue	1.7051537852096798e-09	1.4276872337877778e-09	0.11617115440803433
isoExpr.M9_magenta	2.0064149527259276e-09	1.735280212885348e-09	0.12378978588385592
isoExpr.M50_thistle2	3.248304870421496e-09	2.9902397964983717e-09	0.1386725977775335
isoExpr.M7_black	1.3237430528893662e-09	1.2320102712489171e-09	0.14130877309352513
isoExpr.M41_lightsteelblue1	2.937752230046313e-09	2.954617896511291e-09	0.1600404229345671
isoExpr.M4_yellow	9.815306213605596e-10	1.153718433025371e-09	0.19745299774955044
isoExpr.M12_tan	1.3684337998890502e-09	1.6324995198334267e-09	0.20094668995384501
isoExpr.M24_darkgrey	1.26932356450373e-09	1.6145961786339068e-09	0.21588821484946835
isoExpr.M46_brown4	2.0425655205738766e-09	2.9860747492611086e-09	0.2469780254566587
isoExpr.M26_darkorange	1.48630058296848e-09	2.198789155201074e-09	0.24953200067395054
isoExpr.M20_royalblue	1.0636537998228826e-09	1.6732408427344016e-09	0.2624909370277714
isoExpr.M37_skyblue3	1.0929748914010414e-09	1.9226545264551835e-09	0.2848573222894617
isoExpr.M38_plum1	1.192173511111399e-09	2.227058123263294e-09	0.2962166655207593
isoExpr.M17_grey60	1.248382471594777e-09	2.8102600261592318e-09	0.3284406398175632
isoExpr.M39_orangered4	8.465198143837744e-10	2.471283768909849e-09	0.3659713186247014
isoExpr.M32_violet	8.506537764854267e-10	2.905513768488585e-09	0.3848481238332573
isoExpr.M47_bisque4	7.187017770311055e-10	2.602442590315772e-09	0.39121093189075623
isoExpr.M23_darkturquoise	4.6287443182032463e-10	1.9887920671768574e-09	0.40798107415235985
isoExpr.M10_purple	2.973214928053335e-10	1.486216423056893e-09	0.4207197130854812
isoExpr.M3_brown	1.282062388502815e-10	9.112885874899078e-10	0.4440587025017412
isoExpr.M14_cyan	2.2485583107120336e-10	1.8663114271017112e-09	0.45205090276679877
isoExpr.M53_palevioletred3	1.9278597521696241e-10	2.729518413334725e-09	0.471846103666089
isoExpr.M0_grey	3.705841049013747e-11	1.14954443112656e-09	0.4871413352671773
isoExpr.M21_darkred	1.5131464088006985e-11	1.791657971193788e-09	0.4966307693067467
isoExpr.M16_lightcyan	-2.0464294444517992e-11	1.6536155384542097e-09	0.5049369782249359
isoExpr.M27_white	-6.521472956575725e-11	1.5108961540314283e-09	0.5172141789439131
isoExpr.M40_mediumpurple3	-2.797479332896874e-10	2.400544217891586e-09	0.5463858101227459
isoExpr.M45_darkorange2	-5.877366115015084e-10	2.0312366037981043e-09	0.6138429031487428
isoExpr.M18_lightgreen	-5.436809673874704e-10	1.485750889529296e-09	0.6427913813393115
isoExpr.M13_salmon	-6.397352064520136e-10	1.4013937660770381e-09	0.6759844958247546
isoExpr.M42_lightcyan1	-1.1054428730760914e-09	2.0417963322975803e-09	0.7058864660875981
isoExpr.M11_greenyellow	-1.3099885459136228e-09	1.90980931308289e-09	0.7536202259109701
isoExpr.M36_yellowgreen	-1.383000216360261e-09	1.9700669745881913e-09	0.7586625075603619
isoExpr.M51_thistle1	-1.7156693986775497e-09	2.1781400153287487e-09	0.7845569816182083
isoExpr.M33_darkolivegreen	-1.8769751398267968e-09	1.8129212052714357e-09	0.8497430293753416
isoExpr.M19_lightyellow	-1.6263610564379127e-09	1.5336929799469098e-09	0.8555235642024872
isoExpr.M28_skyblue	-1.6587699543897985e-09	1.5161841079629788e-09	0.8630318453548295
isoExpr.M43_ivory	-1.921622922527849e-09	1.5870826595089007e-09	0.8870119430608077
isoExpr.M5_green	-1.0530475354577387e-09	8.634014185701657e-10	0.8887012072500249
isoExpr.M22_darkgreen	-1.9857163167836118e-09	1.5638450872730562e-09	0.8979158880214355
isoExpr.M35_sienna3	-2.0932577109584275e-09	1.5180681257239618e-09	0.9160365530881345
isoExpr.M49_plum2	-4.201581198663484e-09	2.245531669169655e-09	0.9693333675822141
isoExpr.M52_salmon4	-4.667948414452603e-09	2.3969938292096847e-09	0.9742576662444026
isoExpr.M44_floralwhite	-2.8543331912885935e-09	1.4088915133055858e-09	0.978614661205491
