Name	Coefficient	Coefficient_std_error	Coefficient_P_value
isoExpr.M1_turquoise	6.596905311883815e-09	1.6237524205035035e-09	2.4248650547630653e-05
isoExpr.M29_saddlebrown	1.51683433069262e-08	6.978868918933886e-09	0.014872582606443202
isoExpr.M48_darkslateblue	1.639403271787383e-08	8.163671449444535e-09	0.02231266288224575
isoExpr.M49_plum2	1.062186422680655e-08	5.545185141822798e-09	0.02771367130711837
isoExpr.M7_black	4.97468945098133e-09	2.714999337864585e-09	0.033453473741904716
isoExpr.M2_blue	2.8555473310569784e-09	2.0783642493068726e-09	0.08473018840887464
isoExpr.M16_lightcyan	4.9290204286615424e-09	3.849917996011633e-09	0.10022117450118428
isoExpr.M13_salmon	4.3824787932925185e-09	3.5253470746927106e-09	0.10690923021245402
isoExpr.M8_pink	3.828876826976071e-09	3.2014839219181087e-09	0.11585424895379642
isoExpr.M31_paleturquoise	8.069942656298235e-09	6.754917844864769e-09	0.11610669341224022
isoExpr.M41_lightsteelblue1	8.910949421834913e-09	7.513188511051439e-09	0.11780305931084117
isoExpr.M50_thistle2	8.94962185029346e-09	7.568561746107495e-09	0.11850898557967149
isoExpr.M30_steelblue	6.644753850852014e-09	5.703130269470198e-09	0.12198795357418973
isoExpr.M6_red	2.4628713294089386e-09	2.9787006546228976e-09	0.20416744760524125
isoExpr.M43_ivory	3.1191212283271072e-09	4.449554759887491e-09	0.24165267581207928
isoExpr.M10_purple	2.2172652578159286e-09	3.2138838923885703e-09	0.24512787646751222
isoExpr.M34_darkmagenta	3.87652039167936e-09	5.717958433020984e-09	0.24890000850674887
isoExpr.M47_bisque4	4.711091897213282e-09	7.0029151250743285e-09	0.25055859389096297
isoExpr.M27_white	2.2248808003015753e-09	4.1798151838690035e-09	0.2972620006886174
isoExpr.M26_darkorange	2.1397844248581844e-09	4.71821920415521e-09	0.325088877541467
isoExpr.M23_darkturquoise	1.81923443455466e-09	4.466845686435868e-09	0.34190302281182383
isoExpr.M17_grey60	1.87408600213377e-09	5.214505002826716e-09	0.3596484462892567
isoExpr.M53_palevioletred3	1.2205659829334822e-09	5.451265531587772e-09	0.4114155858327561
isoExpr.M14_cyan	6.025206359073433e-10	3.753957753672142e-09	0.43624251799911706
isoExpr.M33_darkolivegreen	6.169089854717367e-10	4.710196001668693e-09	0.447898292444637
isoExpr.M40_mediumpurple3	2.691441986947932e-10	8.09455913052774e-09	0.4867376076542358
isoExpr.M21_darkred	2.9253063808104447e-12	3.623362991880796e-09	0.49967791571689923
isoExpr.M36_yellowgreen	-1.5553629739822834e-10	5.213155682190215e-09	0.5119008148936761
isoExpr.M38_plum1	-1.9470201092082063e-10	5.308590379450701e-09	0.5146286391811133
isoExpr.M25_orange	-3.5327015645986297e-10	4.153742210018541e-09	0.5338886421118025
isoExpr.M19_lightyellow	-5.150394414686517e-10	3.936788908094094e-09	0.5520440346226962
isoExpr.M15_midnightblue	-5.328214818328482e-10	3.923143541310325e-09	0.5540162076540686
isoExpr.M11_greenyellow	-5.809560153426796e-10	3.1652505067022935e-09	0.5728135676625734
isoExpr.M20_royalblue	-7.657757498671299e-10	4.11365370562053e-09	0.573838255321957
isoExpr.M42_lightcyan1	-1.0275019971944381e-09	4.980377105890242e-09	0.5817256472449783
isoExpr.M37_skyblue3	-1.0891939710540187e-09	4.409414484988435e-09	0.5975519074826109
isoExpr.M12_tan	-1.0479865050524017e-09	3.3343851279534395e-09	0.6233521777520792
isoExpr.M39_orangered4	-1.3940287082550172e-09	4.2729349332636865e-09	0.6278809485604412
isoExpr.M44_floralwhite	-1.9506424413566245e-09	5.14080023487137e-09	0.6478206662267951
isoExpr.M35_sienna3	-1.6783105698655027e-09	3.927379532755437e-09	0.6654326839843898
isoExpr.M46_brown4	-1.7705651451836304e-09	4.037647688159449e-09	0.6694931477279962
isoExpr.M24_darkgrey	-1.5745011082656852e-09	3.421922690383691e-09	0.677285588830596
isoExpr.M9_magenta	-1.964215742224124e-09	3.971331694985231e-09	0.6895583120837655
isoExpr.M45_darkorange2	-3.5663531402054437e-09	4.395056866113633e-09	0.7914453234338165
isoExpr.M5_green	-1.7762897317198242e-09	2.080706122421238e-09	0.8033631729747701
isoExpr.M0_grey	-2.9927352023786673e-09	3.117926064817492e-09	0.8314341482714782
isoExpr.M22_darkgreen	-3.858485380724198e-09	3.9574904389409835e-09	0.8352156210830222
isoExpr.M4_yellow	-2.498588762403692e-09	2.047017719590093e-09	0.8888811481810122
isoExpr.M51_thistle1	-7.297113848269367e-09	4.755638487557698e-09	0.9375359678029554
isoExpr.M28_skyblue	-4.82168110159072e-09	3.0943644855288286e-09	0.9404086995426986
isoExpr.M32_violet	-8.19057354044175e-09	5.000570333854099e-09	0.9492816298451258
isoExpr.M3_brown	-3.6522092517356478e-09	2.026948520697658e-09	0.9642136345653789
isoExpr.M52_salmon4	-1.33741564962996e-08	5.111569920548827e-09	0.9955575041586392
isoExpr.M18_lightgreen	-9.328911682442744e-09	3.1896768315350212e-09	0.9982761686884144
