Name	Coefficient	Coefficient_std_error	Coefficient_P_value
isoExpr.M50_thistle2	3.4752946251899545e-07	1.5079567659145437e-07	0.010593424972939842
isoExpr.M24_darkgrey	3.6423858390568964e-07	1.6067433017406472e-07	0.011697037298224291
isoExpr.M3_brown	1.0576338336950455e-07	5.402053559509325e-08	0.025124592847546437
isoExpr.M52_salmon4	3.63449476734747e-07	2.0304243589148295e-07	0.03672556361836534
isoExpr.M51_thistle1	2.9060871944807375e-07	1.6381530052643412e-07	0.038031385167264266
isoExpr.M21_darkred	2.180087178788455e-07	1.3485120926433022e-07	0.05297571669712125
isoExpr.M40_mediumpurple3	2.2189390665536767e-07	1.5879656120881203e-07	0.08115461653897921
isoExpr.M13_salmon	1.131790412575258e-07	8.172659157369944e-08	0.08304922365117323
isoExpr.M29_saddlebrown	1.5530212849955977e-07	1.1510867471555478e-07	0.08863984813326803
isoExpr.M30_steelblue	1.4606694298725468e-07	1.141876530122489e-07	0.10041625117069441
isoExpr.M27_white	1.3601754297620195e-07	1.164695072135148e-07	0.12143601234033086
isoExpr.M15_midnightblue	1.5082272177169982e-07	1.3055107889369327e-07	0.12398840695538588
isoExpr.M22_darkgreen	1.0971944224734882e-07	1.0721059715137528e-07	0.15305912154837975
isoExpr.M45_darkorange2	9.513251744936751e-08	1.0756053102740566e-07	0.18822515152784686
isoExpr.M4_yellow	5.141661470157799e-08	5.8679778479944533e-08	0.19045420773787458
isoExpr.M26_darkorange	8.33431886155679e-08	1.1097344118329683e-07	0.22632054068086166
isoExpr.M41_lightsteelblue1	1.0526908233290724e-07	1.4159219920747587e-07	0.22859959344809655
isoExpr.M12_tan	6.925250666856878e-08	9.807730282241684e-08	0.24006258547400305
isoExpr.M25_orange	7.325372781235603e-08	1.0449113937992196e-07	0.24163526544036973
isoExpr.M7_black	4.716857835268635e-08	7.08138315073682e-08	0.2526759155306799
isoExpr.M31_paleturquoise	5.7736621162448066e-08	9.114907398153777e-08	0.26322621322299755
isoExpr.M37_skyblue3	6.994787258521997e-08	1.1684363113301229e-07	0.27470477194660936
isoExpr.M49_plum2	8.292086767226226e-08	1.441114913180398e-07	0.28251247690151965
isoExpr.M9_magenta	3.1263044730871406e-08	6.981667700547653e-08	0.3271532337776934
isoExpr.M16_lightcyan	4.5196104711224174e-08	1.0131488193810258e-07	0.32776416086463517
isoExpr.M6_red	2.6722034298567557e-08	6.483477015786979e-08	0.3401125720911969
isoExpr.M43_ivory	5.77598810067486e-08	1.519477493833363e-07	0.3519245002040491
isoExpr.M35_sienna3	4.866553952550217e-08	1.346835077781006e-07	0.358925420142012
isoExpr.M10_purple	2.5056184038843073e-08	8.168684979605916e-08	0.37952269181560006
isoExpr.M5_green	1.4019341511918855e-08	5.3088142836102825e-08	0.39586040916232
isoExpr.M39_orangered4	2.2433112746928826e-08	1.1132087456140761e-07	0.4201469440164616
isoExpr.M11_greenyellow	1.546521121979813e-08	7.826670252600742e-08	0.4216804630139955
isoExpr.M17_grey60	1.6354336644707216e-08	1.0445218883054911e-07	0.43779090243222457
isoExpr.M36_yellowgreen	1.5579534329921995e-08	1.478872370675052e-07	0.45805008047915363
isoExpr.M48_darkslateblue	-3.4831573252328863e-09	1.2055151691927654e-07	0.5115252419972566
isoExpr.M2_blue	-4.231176165491098e-09	4.534667694720781e-08	0.537170285125501
isoExpr.M18_lightgreen	-1.5442988141112487e-08	1.0221424087001166e-07	0.5600454728968153
isoExpr.M19_lightyellow	-1.9151889093259058e-08	8.065005716806098e-08	0.5938535202762637
isoExpr.M1_turquoise	-7.538568438957987e-09	3.04224568418234e-08	0.5978539427120245
isoExpr.M46_brown4	-4.579215338729144e-08	1.453997533632636e-07	0.6235962775586208
isoExpr.M38_plum1	-3.9805027260478556e-08	1.1660650828423085e-07	0.6335844490810136
isoExpr.M23_darkturquoise	-4.254467120743762e-08	1.1186192929276969e-07	0.6481505074574592
isoExpr.M8_pink	-3.30665035948814e-08	8.27016682414748e-08	0.6553586685530524
isoExpr.M14_cyan	-3.773203132271573e-08	9.409985381404924e-08	0.6557820745829993
isoExpr.M20_royalblue	-4.43300926861815e-08	1.0406699080009936e-07	0.664937515666164
isoExpr.M53_palevioletred3	-5.927468201821184e-08	1.2080395460759806e-07	0.6881694968020874
isoExpr.M42_lightcyan1	-6.550529396567536e-08	1.0299399748675655e-07	0.7376153061760982
isoExpr.M0_grey	-6.461006489109289e-08	8.200452229055158e-08	0.7846177689786096
isoExpr.M32_violet	-9.223268063289213e-08	1.0081235877935973e-07	0.8198765121184246
isoExpr.M28_skyblue	-8.609426750693636e-08	8.061509687477772e-08	0.857232313247891
isoExpr.M47_bisque4	-1.5751226119152477e-07	1.2544082785554925e-07	0.8953821463747792
isoExpr.M44_floralwhite	-1.6753643346827863e-07	9.802836123115485e-08	0.9562801598800135
isoExpr.M34_darkmagenta	-2.1380460412381218e-07	1.0274542726043447e-07	0.9812792025833402
isoExpr.M33_darkolivegreen	-2.202180179737396e-07	1.0229446466753e-07	0.9843322213135715
