Name	Coefficient	Coefficient_std_error	Coefficient_P_value
isoExpr.M21_darkred	8.700671209493452e-09	4.1533634985782594e-09	0.01809218917021288
isoExpr.M6_red	4.880363943240545e-09	2.409767808656327e-09	0.021421239864432035
isoExpr.M53_palevioletred3	1.1535552976093934e-08	6.3985410964148686e-09	0.035706585369836535
isoExpr.M31_paleturquoise	6.816496045287995e-09	3.934552910957118e-09	0.04159493071224265
isoExpr.M9_magenta	6.145868448822544e-09	3.564464386696637e-09	0.042335392286206294
isoExpr.M5_green	3.1160252580008525e-09	1.9279832961758026e-09	0.05302449376117214
isoExpr.M39_orangered4	8.142288480344351e-09	5.19321397171842e-09	0.05845564524643629
isoExpr.M4_yellow	3.1407123339732742e-09	2.0236745109018584e-09	0.06033291536075907
isoExpr.M51_thistle1	1.4361127823180583e-08	1.0585891364044397e-08	0.08744955209158467
isoExpr.M29_saddlebrown	5.437264141888711e-09	4.088365724368401e-09	0.09176970426911268
isoExpr.M23_darkturquoise	4.49468594692548e-09	3.3823754613713833e-09	0.09194793539273816
isoExpr.M14_cyan	6.1608451102800625e-09	4.740908211090016e-09	0.09688493475745502
isoExpr.M52_salmon4	9.99998448693855e-09	7.96087320518537e-09	0.10453230696017662
isoExpr.M11_greenyellow	4.26135772673807e-09	3.3943368301059732e-09	0.1046610615008976
isoExpr.M48_darkslateblue	4.47395941514428e-09	3.9384337701538085e-09	0.12798366707239228
isoExpr.M12_tan	4.480851589584611e-09	4.146478335870427e-09	0.1399285745189971
isoExpr.M1_turquoise	1.3607494273906886e-09	1.2844129706608372e-09	0.1447013242228971
isoExpr.M32_violet	5.608159188887769e-09	5.488339554498245e-09	0.15343028791984903
isoExpr.M34_darkmagenta	4.9187813361535514e-09	4.9330878016098516e-09	0.15935801164727548
isoExpr.M3_brown	1.7490252040943238e-09	1.9289304697625017e-09	0.18227396392204936
isoExpr.M0_grey	2.0077056489317377e-09	2.305176045764826e-09	0.19188923820247916
isoExpr.M27_white	3.928397286141795e-09	4.6529017891156304e-09	0.19925375633329184
isoExpr.M13_salmon	2.5800166200047817e-09	3.075099000547858e-09	0.20073387390105618
isoExpr.M19_lightyellow	3.978013389282461e-09	4.950142324389275e-09	0.2108094006740333
isoExpr.M30_steelblue	3.197040934338565e-09	4.147259320558951e-09	0.22038891209899725
isoExpr.M41_lightsteelblue1	3.203842178519994e-09	5.431476132925956e-09	0.2776403020115593
isoExpr.M46_brown4	1.8466889726913226e-09	4.131455313608339e-09	0.3274437823286196
isoExpr.M43_ivory	1.7303224808808638e-09	4.27473874212267e-09	0.34282015449767766
isoExpr.M20_royalblue	1.0256401962071249e-09	2.924162697505105e-09	0.3628892217438817
isoExpr.M40_mediumpurple3	1.6268351190893692e-09	4.942103715115287e-09	0.3710103227865168
isoExpr.M7_black	4.987162443479158e-10	1.9175232091513357e-09	0.3973996631208653
isoExpr.M10_purple	5.988305562058776e-10	2.79685786297727e-09	0.4152312914167783
isoExpr.M36_yellowgreen	1.1145030480741825e-09	7.039796805877524e-09	0.43710442782991965
isoExpr.M15_midnightblue	2.6164539305572247e-11	3.5044431251838973e-09	0.4970214828350452
isoExpr.M38_plum1	-9.953887133739554e-10	5.142793959599443e-09	0.5767359457885313
isoExpr.M49_plum2	-9.455152691652437e-10	4.859865995671365e-09	0.577129658167875
isoExpr.M44_floralwhite	-1.7439540578410578e-09	4.929137714287627e-09	0.6382575241103066
isoExpr.M17_grey60	-1.4352497604103982e-09	3.6348207550506646e-09	0.6535273446638639
isoExpr.M22_darkgreen	-1.5167295055727355e-09	3.776206039686672e-09	0.6560307800205084
isoExpr.M42_lightcyan1	-2.154832317067505e-09	4.277481602477987e-09	0.6927856526376974
isoExpr.M35_sienna3	-1.578723000093773e-09	2.992432498416637e-09	0.701101715038939
isoExpr.M45_darkorange2	-2.2531191188462017e-09	3.675264211317853e-09	0.7300782158128708
isoExpr.M50_thistle2	-3.193232266179478e-09	4.521496331095831e-09	0.759978535674896
isoExpr.M2_blue	-1.252680939080329e-09	1.7472689524812403e-09	0.763293369621267
isoExpr.M18_lightgreen	-2.600363437047973e-09	3.4480065369149086e-09	0.7746247144138743
isoExpr.M28_skyblue	-3.2788662571503985e-09	4.161946163542724e-09	0.7845991282939635
isoExpr.M24_darkgrey	-2.9878102251924724e-09	3.6369231943935614e-09	0.7943253294561617
isoExpr.M26_darkorange	-3.2441332375829754e-09	3.793277199874477e-09	0.8037887248554711
isoExpr.M25_orange	-3.2238158762519135e-09	3.3456081033465645e-09	0.8323758401985146
isoExpr.M37_skyblue3	-4.942990581492238e-09	4.395196326145533e-09	0.86962808191361
isoExpr.M47_bisque4	-7.1715524087231e-09	5.815646724898485e-09	0.8912397009960883
isoExpr.M33_darkolivegreen	-7.08616548077862e-09	4.147652340147264e-09	0.9562259944251097
isoExpr.M8_pink	-5.866969404602155e-09	2.388840910295292e-09	0.9929751467925001
isoExpr.M16_lightcyan	-1.0169684158690678e-08	2.5086130692251323e-09	0.9999748153796331
