Name	Coefficient	Coefficient_std_error	Coefficient_P_value
isoExpr.M1_turquoise	2.067143439702707e-08	5.10526575677577e-09	2.5713881011587325e-05
isoExpr.M7_black	2.0094462974148025e-08	9.629364911943256e-09	0.018453558063473374
isoExpr.M27_white	2.7093419956098836e-08	1.3233208756754154e-08	0.020310346030686103
isoExpr.M40_mediumpurple3	4.809597951309215e-08	2.4694684292036594e-08	0.02572993714584782
isoExpr.M53_palevioletred3	4.927404240912838e-08	2.7535083230051146e-08	0.03676713169289673
isoExpr.M30_steelblue	3.65825998920117e-08	2.0596710002936074e-08	0.0378550848133986
isoExpr.M43_ivory	3.5154534321153584e-08	2.1735403311265552e-08	0.052897506310076836
isoExpr.M17_grey60	2.8486896161134504e-08	1.781825864914209e-08	0.054938361232371835
isoExpr.M50_thistle2	7.190282918967185e-08	4.504414450459852e-08	0.055213735737095454
isoExpr.M5_green	1.233811816883662e-08	7.766905223601111e-09	0.05608099935103131
isoExpr.M25_orange	3.595125765313151e-08	2.3892726798210024e-08	0.0662013024686254
isoExpr.M3_brown	1.0536416559625201e-08	7.820218510879008e-09	0.08893695513259292
isoExpr.M20_royalblue	2.115263868054574e-08	1.5835273723953766e-08	0.09080856487474298
isoExpr.M33_darkolivegreen	2.5241183715388092e-08	1.9667058408697214e-08	0.09967170539926407
isoExpr.M6_red	1.1137842153548445e-08	8.68059736920389e-09	0.09973320976263766
isoExpr.M16_lightcyan	2.4899704435040935e-08	2.073393515962987e-08	0.11489198748212254
isoExpr.M29_saddlebrown	2.5656373502850438e-08	2.198877322141778e-08	0.1216467408563246
isoExpr.M49_plum2	3.9668361833759856e-08	3.587678008542802e-08	0.13443177878944196
isoExpr.M9_magenta	1.523343512685005e-08	1.424306747657693e-08	0.1424147134217122
isoExpr.M32_violet	2.377475580995149e-08	2.3152611487481038e-08	0.15224049891528907
isoExpr.M23_darkturquoise	1.2238931271582702e-08	1.2044740736185267e-08	0.15478554365378117
isoExpr.M26_darkorange	1.3701990979723705e-08	1.4184441040415745e-08	0.16702524900913518
isoExpr.M47_bisque4	2.317903645378157e-08	2.5612810621058452e-08	0.1827384557739245
isoExpr.M39_orangered4	2.149762330552686e-08	2.6077372463557477e-08	0.20486228421938646
isoExpr.M15_midnightblue	1.4512086560088568e-08	2.0030768169880347e-08	0.23438255368007865
isoExpr.M37_skyblue3	1.1618583936409486e-08	1.7402617741678484e-08	0.2521835393345682
isoExpr.M45_darkorange2	1.0938937480797816e-08	1.901585499906229e-08	0.28255992646992123
isoExpr.M31_paleturquoise	7.618455353261978e-09	1.3389751938640632e-08	0.28468601460627424
isoExpr.M19_lightyellow	7.398978836137568e-09	1.42679962776258e-08	0.30202973021332336
isoExpr.M8_pink	6.786023472172304e-09	1.3245242909789651e-08	0.30420770722272206
isoExpr.M0_grey	3.3753273203072465e-09	8.449992016568605e-09	0.34478178785573854
isoExpr.M51_thistle1	7.522945884226124e-09	2.116515408886252e-08	0.36112993128654913
isoExpr.M24_darkgrey	3.9465370446265415e-09	1.4547954086026353e-08	0.39308868803060004
isoExpr.M12_tan	3.725462956287365e-09	1.4690264269629534e-08	0.39990198438869246
isoExpr.M10_purple	2.1885523758762004e-09	1.2003479485881634e-08	0.4276632524857042
isoExpr.M52_salmon4	2.743267500781091e-09	2.4405424978165296e-08	0.4552515401321693
isoExpr.M14_cyan	1.171978862408127e-09	1.218631876009934e-08	0.4616921075886535
isoExpr.M42_lightcyan1	1.4949915205081749e-09	1.908857583079585e-08	0.46878729059064184
isoExpr.M36_yellowgreen	7.158334067576653e-10	2.193980313725174e-08	0.48698595650520654
isoExpr.M34_darkmagenta	-1.6089695573656785e-09	1.3514193929576218e-08	0.5473851994235008
isoExpr.M11_greenyellow	-1.7808007561341325e-09	1.3427350903486372e-08	0.5527549712198568
isoExpr.M48_darkslateblue	-2.9324455924253355e-09	2.1614776358437334e-08	0.5539583484891915
isoExpr.M2_blue	-9.91464976264233e-10	7.1550340277081065e-09	0.5551045777509668
isoExpr.M46_brown4	-2.385951217999748e-09	1.599410852294759e-08	0.5592929687847051
isoExpr.M38_plum1	-5.178927946984102e-09	1.4518714802809793e-08	0.6393444369301343
isoExpr.M18_lightgreen	-5.806076725692189e-09	1.333231079276524e-08	0.6683962944241513
isoExpr.M41_lightsteelblue1	-9.027217351741337e-09	1.848393288741052e-08	0.6873603025583539
isoExpr.M4_yellow	-6.786832776459977e-09	8.880251083602165e-09	0.7776442466970639
isoExpr.M44_floralwhite	-1.2558673944019108e-08	1.4357368681997583e-08	0.8091367943833205
isoExpr.M28_skyblue	-1.1135901749231027e-08	1.1755866249415077e-08	0.828247710184922
isoExpr.M35_sienna3	-1.4504703793607017e-08	1.3847205459575496e-08	0.8525614237559986
isoExpr.M21_darkred	-1.6603308947934148e-08	1.3473754136753393e-08	0.8910759610895429
isoExpr.M13_salmon	-1.6097501479473e-08	9.67825672747907e-09	0.9518702558870179
isoExpr.M22_darkgreen	-3.0960731172173746e-08	1.0589747247576103e-08	0.9982702412443237
