Name	Coefficient	Coefficient_std_error	Coefficient_P_value
isoExpr.M1_turquoise	6.625974702021958e-08	1.74332835620372e-08	7.212614724958845e-05
isoExpr.M7_black	7.425724250718356e-08	3.4254187420641757e-08	0.015085825699582018
isoExpr.M50_thistle2	2.8075479287316893e-07	1.525821233582143e-07	0.03288234542574069
isoExpr.M29_saddlebrown	1.389237724962478e-07	7.593668994327195e-08	0.03366473662641078
isoExpr.M5_green	4.0808351065937485e-08	2.385288356417184e-08	0.043555776583754036
isoExpr.M30_steelblue	1.1798329451304922e-07	6.995035046011204e-08	0.045833223592301915
isoExpr.M3_brown	4.3663558623739926e-08	2.6178047841053235e-08	0.047663267306303644
isoExpr.M27_white	7.585516370534508e-08	4.6416941317635664e-08	0.05110707870293983
isoExpr.M43_ivory	1.294515345418434e-07	7.971093955182599e-08	0.05218660744625459
isoExpr.M20_royalblue	7.795330044532643e-08	5.2742748779843816e-08	0.06970511280450428
isoExpr.M53_palevioletred3	1.4966283937666404e-07	1.0654844549256409e-07	0.08006329707645315
isoExpr.M16_lightcyan	8.426128963358891e-08	6.171921397299341e-08	0.08608945153310144
isoExpr.M23_darkturquoise	6.651407889866767e-08	5.046571077045836e-08	0.09375092148305153
isoExpr.M26_darkorange	6.966614770092491e-08	5.6547096961598244e-08	0.10897413168216052
isoExpr.M49_plum2	1.1284694696338444e-07	1.0236664799641753e-07	0.1351482480831156
isoExpr.M11_greenyellow	5.303786355961357e-08	4.9767596746293164e-08	0.14327720511015185
isoExpr.M40_mediumpurple3	8.672013392886974e-08	8.546991566038848e-08	0.15514169297787705
isoExpr.M33_darkolivegreen	6.846335985372047e-08	6.779812639559494e-08	0.15629269111627403
isoExpr.M39_orangered4	6.839739281489719e-08	7.856277014855628e-08	0.19198405565165327
isoExpr.M47_bisque4	7.558430367092865e-08	8.997266865212722e-08	0.20043156651557148
isoExpr.M17_grey60	5.049504000610229e-08	6.768496928883807e-08	0.2278245466152608
isoExpr.M32_violet	7.127734643165774e-08	9.575341467310434e-08	0.2283219823254849
isoExpr.M9_magenta	3.005515952287481e-08	4.5691692078502224e-08	0.255339203120393
isoExpr.M8_pink	3.12060082883839e-08	5.030768112939777e-08	0.26752914203714595
isoExpr.M12_tan	2.6455207491797534e-08	4.890011496849204e-08	0.29425206260907555
isoExpr.M6_red	1.6555854871936523e-08	3.2960814221193985e-08	0.30773211800165273
isoExpr.M25_orange	3.125109776741644e-08	6.551726398839506e-08	0.3166845233460104
isoExpr.M46_brown4	3.022305568865951e-08	6.396163471215887e-08	0.31827837002695986
isoExpr.M4_yellow	1.4818427957932514e-08	3.372564096575409e-08	0.330192508249344
isoExpr.M37_skyblue3	3.167521303804079e-08	7.280985084940857e-08	0.3317666193464103
isoExpr.M51_thistle1	2.8657146524987007e-08	8.219522226668138e-08	0.3636770372399043
isoExpr.M31_paleturquoise	1.6183409957302808e-08	4.7736882499244304e-08	0.3673000772512317
isoExpr.M34_darkmagenta	1.3831570436379868e-08	4.61775174240833e-08	0.38226768872367894
isoExpr.M2_blue	5.161567992860283e-09	2.4327920631998862e-08	0.4159885989872306
isoExpr.M10_purple	7.440530962684146e-09	3.9765766805890365e-08	0.4257876046166029
isoExpr.M15_midnightblue	4.582379190163642e-09	5.9151441689672076e-08	0.46912538612477545
isoExpr.M48_darkslateblue	4.793346933475644e-09	8.239264708220666e-08	0.4768038693145924
isoExpr.M45_darkorange2	1.7853927243725674e-09	5.658172219226867e-08	0.4874137718405782
isoExpr.M41_lightsteelblue1	-2.5540052401997673e-09	8.968765006979615e-08	0.5113590107749696
isoExpr.M19_lightyellow	-3.0343005230543656e-09	5.1028756200486466e-08	0.5237081576180143
isoExpr.M14_cyan	-3.7120875166281648e-09	4.261419545664914e-08	0.5347076347413877
isoExpr.M36_yellowgreen	-2.021541189100291e-08	8.0517818337826e-08	0.599119060520092
isoExpr.M28_skyblue	-1.2921115845078519e-08	4.3513873298583764e-08	0.6167447740691097
isoExpr.M24_darkgrey	-1.6772686660553363e-08	4.592340950268651e-08	0.6425307855477348
isoExpr.M38_plum1	-2.441682941459999e-08	5.294275514584672e-08	0.6776699373879275
isoExpr.M52_salmon4	-3.9277355828145984e-08	7.02241208450193e-08	0.7120263852218611
isoExpr.M42_lightcyan1	-4.992598379213948e-08	5.3680021279732517e-08	0.8238316451975974
isoExpr.M0_grey	-3.4092099123704484e-08	3.2717287169841266e-08	0.8512990202724078
isoExpr.M18_lightgreen	-5.414025298592037e-08	4.036470347557431e-08	0.9100847512827501
isoExpr.M13_salmon	-4.9581273869581934e-08	3.4314044313995715e-08	0.9257607418979322
isoExpr.M21_darkred	-8.940634645478951e-08	5.1491262993466e-08	0.9587481445439641
isoExpr.M35_sienna3	-8.909079396463555e-08	4.893638081190989e-08	0.9656618360334336
isoExpr.M44_floralwhite	-1.0161285247015444e-07	5.376957555522143e-08	0.970606534160619
isoExpr.M22_darkgreen	-9.144269366609044e-08	3.426056086479874e-08	0.9961965428912157
