Name	Coefficient	Coefficient_std_error	Coefficient_P_value
isoUsage.M1_turquoise	1.735623110692435e-08	7.72722941149129e-09	0.012348382652058978
isoUsage.M24_darkgrey	4.707306807502277e-08	2.6412824019403867e-08	0.037357900650584315
isoUsage.M3_brown	1.0249202202136094e-08	7.55583723192415e-09	0.08747619069934087
isoUsage.M20_royalblue	2.8585101182986192e-08	2.1272719464219885e-08	0.08951550034393696
isoUsage.M15_midnightblue	2.4968421571207588e-08	1.8807919542410134e-08	0.09216368720478485
isoUsage.M2_blue	9.580943700605215e-09	7.296812854449829e-09	0.09458619994117934
isoUsage.M18_lightgreen	2.50048454505004e-08	2.071947345538769e-08	0.11374915117539608
isoUsage.M4_yellow	1.0640696365055335e-08	9.799766404675554e-09	0.13878125957197301
isoUsage.M29_saddlebrown	1.529290311416811e-08	1.9917809497785324e-08	0.2213028732901659
isoUsage.M21_darkred	1.3988074649394202e-08	1.9271911633566146e-08	0.23397240291286053
isoUsage.M14_cyan	7.827558009807704e-09	1.3313503186946191e-08	0.2782858560727972
isoUsage.M0_grey	2.17065423888374e-08	3.955918483466326e-08	0.29160204968161774
isoUsage.M23_darkturquoise	9.653097856177043e-09	2.4962716382770022e-08	0.3494889292330897
isoUsage.M11_greenyellow	5.445698578970243e-09	1.5952642326393845e-08	0.3664138243171937
isoUsage.M13_salmon	4.589638851606265e-09	1.4529081565392222e-08	0.3760417662851484
isoUsage.M12_tan	5.549154840983202e-09	1.7967518357351985e-08	0.3787202127974707
isoUsage.M5_green	1.812692535846931e-09	8.533816528690417e-09	0.41589246960290155
isoUsage.M6_red	3.908797659381905e-10	9.41572970155304e-09	0.48344327080641525
isoUsage.M25_orange	-2.090601296606966e-09	1.8890918873830192e-08	0.5440597918392722
isoUsage.M19_lightyellow	-3.367057145618964e-09	1.4020660764012435e-08	0.5948928877213506
isoUsage.M28_skyblue	-4.9700300379127866e-09	1.8633268425412727e-08	0.605161025783244
isoUsage.M16_lightcyan	-3.485690868950455e-09	1.2403069257926139e-08	0.6106580462340232
isoUsage.M17_grey60	-4.682399484640466e-09	1.542293589365838e-08	0.6192835790424311
isoUsage.M27_white	-4.872904738498189e-09	1.5428353623118412e-08	0.6239383551624131
isoUsage.M9_magenta	-5.121730315249024e-09	1.310432990076121e-08	0.6520432063294161
isoUsage.M7_black	-5.9289012196516884e-09	1.0525062813739872e-08	0.7133890034569984
isoUsage.M22_darkgreen	-1.0247115458558668e-08	1.5871884217127662e-08	0.7407354138093669
isoUsage.M26_darkorange	-1.4659006516159815e-08	1.942258458517727e-08	0.7747975771899149
isoUsage.M8_pink	-1.0736184594541895e-08	1.2900763356917014e-08	0.797355671763621
isoUsage.M10_purple	-1.6974561710084995e-08	1.3378586892384764e-08	0.8977412729686657
