Name	Coefficient	Coefficient_std_error	Coefficient_P_value
isoUsage.M1_turquoise	1.2036281855484044e-09	4.477410738678669e-10	0.003591662336264724
isoUsage.M2_blue	1.0504723479001695e-09	6.21324190081276e-10	0.045447127938549645
isoUsage.M13_salmon	2.8530640076891472e-09	3.289970530689377e-09	0.19291608796987286
isoUsage.M16_lightcyan	5.915272161318799e-09	7.307863662559858e-09	0.2091312477216387
isoUsage.M15_midnightblue	4.831805409920962e-11	1.8756135609844773e-09	0.48972390516080977
isoUsage.M10_purple	-3.6071107650040567e-10	1.1636212615541057e-09	0.6217157592970814
isoUsage.M5_green	-1.7143060972899082e-10	4.377351608961057e-10	0.6523345189546321
isoUsage.M17_grey60	-7.62056736664235e-10	1.3256192191846984e-09	0.7173098836081739
isoUsage.M25_orange	-8.262149568464682e-10	1.223702549674046e-09	0.7502181181564764
isoUsage.M8_pink	-7.551665133112037e-10	1.1015350756881729e-09	0.7535041573388153
isoUsage.M24_darkgrey	-9.997332549040044e-10	1.351381846139841e-09	0.7702850464482406
isoUsage.M29_saddlebrown	-1.223348640157009e-09	1.6303782475914519e-09	0.7734769834285935
isoUsage.M20_royalblue	-9.85872655115987e-10	1.313400088897527e-09	0.7735612070633882
isoUsage.M14_cyan	-1.081420144453377e-09	1.1250477354510991e-09	0.8317796120870145
isoUsage.M28_skyblue	-1.5806699831093674e-09	1.543795102018826e-09	0.8470554062849562
isoUsage.M12_tan	-8.294814505036202e-10	7.70094387865883e-10	0.8592859115627764
isoUsage.M26_darkorange	-1.5311040412187367e-09	1.4108038476531028e-09	0.8610991045456404
isoUsage.M4_yellow	-1.2674658723383945e-09	1.1329517270548292e-09	0.8683721001743194
isoUsage.M3_brown	-1.5035478694270119e-09	1.333936015526845e-09	0.8701607662309867
isoUsage.M23_darkturquoise	-1.7837470430641421e-09	1.5788345176035441e-09	0.870717050373693
isoUsage.M0_grey	-6.100609829771369e-09	5.192885378333641e-09	0.8799629415316351
isoUsage.M11_greenyellow	-2.156650395684313e-09	1.7732503733208237e-09	0.8880481293168957
isoUsage.M6_red	-1.4593013890550707e-09	1.1803701485112742e-09	0.8918280028975718
isoUsage.M19_lightyellow	-1.3881360790287037e-09	1.1160420459863454e-09	0.8932139016512881
isoUsage.M27_white	-1.2843980791160776e-09	9.188971680594806e-10	0.9189074861316826
isoUsage.M9_magenta	-1.5357063798242809e-09	1.0850570630262962e-09	0.921513114700951
isoUsage.M7_black	-1.7464933799169147e-09	1.1595490793794076e-09	0.9339899286245908
isoUsage.M22_darkgreen	-2.1169305144369902e-09	1.2461696095857812e-09	0.9553168426201148
isoUsage.M18_lightgreen	-1.1508734093415008e-09	6.726642418728805e-10	0.9564518812208731
isoUsage.M21_darkred	-1.8727827071393415e-09	9.099418584781804e-10	0.9802113866714485
