Name	Coefficient	Coefficient_std_error	Coefficient_P_value
isoUsage.M11_greenyellow	4.8968520281012775e-08	1.664506223787716e-08	0.0016308959805452063
isoUsage.M23_darkturquoise	2.934662717789202e-08	1.5536693294586452e-08	0.029455344072909066
isoUsage.M19_lightyellow	1.9425289163725112e-08	1.5158948360478638e-08	0.10001950713209479
isoUsage.M21_darkred	2.2446159865584685e-08	1.8054878850356052e-08	0.10689365889741553
isoUsage.M12_tan	1.8159662422821596e-08	1.4845038066658749e-08	0.110611670770909
isoUsage.M25_orange	1.9472207321546783e-08	1.827965513792903e-08	0.1433838232619103
isoUsage.M0_grey	2.342401414311963e-08	2.2808547976613342e-08	0.1522139959191104
isoUsage.M2_blue	5.9853813551457776e-09	6.293292995106626e-09	0.17078364752896963
isoUsage.M15_midnightblue	1.5787157698507746e-08	1.661189654356929e-08	0.1709665810741705
isoUsage.M24_darkgrey	1.4817503941980896e-08	1.5945151068986833e-08	0.17637209682603827
isoUsage.M3_brown	5.673461483217013e-09	7.296165336432919e-09	0.21840391294461525
isoUsage.M18_lightgreen	6.889296540202184e-09	1.5298755288694148e-08	0.32624077752055747
isoUsage.M27_white	5.622311731493794e-09	1.269998723282924e-08	0.32899059132753805
isoUsage.M4_yellow	3.029208449373171e-09	8.417088425504708e-09	0.3594654753742422
isoUsage.M29_saddlebrown	5.598447261090783e-09	1.957056561540378e-08	0.3874142978853644
isoUsage.M9_magenta	1.9390572108613915e-09	9.707762915588232e-09	0.4208408103377506
isoUsage.M28_skyblue	3.3108660133687e-09	1.707638597786781e-08	0.4231327142289655
isoUsage.M16_lightcyan	-1.8841188290400316e-10	1.2991783632914645e-08	0.5057854128144821
isoUsage.M8_pink	-2.797474761540227e-09	1.0352831523810499e-08	0.6065019933579217
isoUsage.M14_cyan	-4.185352345351514e-09	1.2601064658128762e-08	0.6301092668785137
isoUsage.M20_royalblue	-4.689150096739487e-09	1.3305474682740062e-08	0.637739325496177
isoUsage.M17_grey60	-4.749623129974383e-09	1.2943020481813679e-08	0.6431770805260515
isoUsage.M26_darkorange	-6.84710461486852e-09	1.2624458729047794e-08	0.7062175497623768
isoUsage.M1_turquoise	-4.94308025348881e-09	6.833801064365903e-09	0.7652608296783623
isoUsage.M10_purple	-8.377793059742082e-09	1.1525060176103703e-08	0.7663624198279706
isoUsage.M5_green	-5.596060481590489e-09	7.501462215228854e-09	0.7721650712293933
isoUsage.M22_darkgreen	-9.600615895468611e-09	1.2692702939371477e-08	0.775291881627604
isoUsage.M13_salmon	-9.675985836852212e-09	1.2305895552595339e-08	0.7841507959127083
isoUsage.M7_black	-7.2364465831690876e-09	7.897435394498383e-09	0.8202460967584482
isoUsage.M6_red	-1.1668330561005278e-08	7.256374067986251e-09	0.9460836338780387
