Name	Coefficient	Coefficient_std_error	Coefficient_P_value
isoUsage.M2_blue	1.007105340056676e-08	2.4898231310910745e-09	2.6174175483794576e-05
isoUsage.M27_white	9.55053992618697e-09	5.874470570612609e-09	0.051999261723760334
isoUsage.M3_brown	5.8797165147319736e-09	3.6406849683097204e-09	0.053155041372827304
isoUsage.M9_magenta	1.1146207856632912e-08	7.513322130795694e-09	0.06896737230316077
isoUsage.M12_tan	7.505522290181806e-09	5.950497769844633e-09	0.10359556527462849
isoUsage.M15_midnightblue	1.5987518770099197e-08	1.2966049076960696e-08	0.10878241133947603
isoUsage.M13_salmon	7.419636828493478e-09	6.479354680624522e-09	0.12607978348811805
isoUsage.M4_yellow	3.672267247503253e-09	4.9242949939507e-09	0.2279108038688531
isoUsage.M20_royalblue	3.933455412058581e-09	5.8831462447552844e-09	0.25187621301934315
isoUsage.M21_darkred	5.1977648243199e-09	8.011652276504258e-09	0.258241702893236
isoUsage.M6_red	2.6498527155406255e-09	4.230195792441988e-09	0.2655218038282299
isoUsage.M1_turquoise	2.217859385409831e-09	3.596813313188431e-09	0.26874340043787587
isoUsage.M26_darkorange	5.348863096634281e-09	8.866144126299876e-09	0.27315762930890164
isoUsage.M8_pink	3.931880940833799e-09	7.053309671112534e-09	0.2886093539245995
isoUsage.M28_skyblue	3.667791861738092e-09	8.344855049206119e-09	0.33013974163166265
isoUsage.M24_darkgrey	1.4916247921777805e-09	5.5111260683573225e-09	0.39332742978097396
isoUsage.M11_greenyellow	1.18855507570812e-09	7.789831259450283e-09	0.43936562867186696
isoUsage.M7_black	3.853649165828282e-10	3.3907631775436583e-09	0.4547570776585974
isoUsage.M25_orange	5.938680791381827e-10	7.317316534668787e-09	0.46765764463649867
isoUsage.M5_green	9.790990067370252e-11	3.3124395673418586e-09	0.488209683159216
isoUsage.M10_purple	1.1268075869563898e-10	4.2959560707384835e-09	0.48953714514285734
isoUsage.M19_lightyellow	-7.484409796918318e-10	4.665478144020313e-09	0.5637253020806647
isoUsage.M23_darkturquoise	-1.0097218954973793e-09	6.127509429391935e-09	0.5654434108752966
isoUsage.M14_cyan	-2.764054343179348e-09	4.940668740248328e-09	0.7120724848841469
isoUsage.M18_lightgreen	-3.464611339649588e-09	6.045913835883369e-09	0.7166946032308085
isoUsage.M0_grey	-9.253764859622885e-09	1.1602080267471631e-08	0.7874473145205284
isoUsage.M17_grey60	-6.728094307798727e-09	6.381839780572226e-09	0.8541171874470608
isoUsage.M29_saddlebrown	-6.494577940501688e-09	5.5506604040929365e-09	0.879010581293212
isoUsage.M16_lightcyan	-5.842406682082294e-09	4.595018510159075e-09	0.8982184213286775
isoUsage.M22_darkgreen	-1.2058084422073961e-08	4.859353462321678e-09	0.9934569489239959
