Name	Coefficient	Coefficient_std_error	Coefficient_P_value
isoUsage.M19_lightyellow	6.053232392185727e-08	1.657866226755374e-08	0.00013049936415319055
isoUsage.M15_midnightblue	2.548753577790156e-08	1.2054594471883985e-08	0.01724303239704227
isoUsage.M1_turquoise	1.0328975869119369e-08	5.247529045066407e-09	0.02451386761098155
isoUsage.M2_blue	9.866529797352968e-09	5.2644310489865525e-09	0.03045230719404714
isoUsage.M3_brown	1.0204568022688369e-08	5.783866366724664e-09	0.03883939509958385
isoUsage.M28_skyblue	2.307490201416015e-08	1.6775172066016386e-08	0.08448221457285027
isoUsage.M16_lightcyan	1.115762008344868e-08	1.097804632358604e-08	0.1547295801946948
isoUsage.M24_darkgrey	1.3623504277657968e-08	1.4412808000416037e-08	0.17226921455960614
isoUsage.M9_magenta	1.0360063238531842e-08	1.1170155912188586e-08	0.1768394514218657
isoUsage.M20_royalblue	1.0804589737162783e-08	1.3070567546089079e-08	0.20422196203077392
isoUsage.M4_yellow	4.3877292334969815e-09	6.6835707284824235e-09	0.25575291551405577
isoUsage.M21_darkred	1.1061747051083141e-08	1.7851463627950675e-08	0.2677425043893173
isoUsage.M8_pink	6.076754076535193e-09	9.997523971261693e-09	0.27165147240405374
isoUsage.M29_saddlebrown	6.621575500439136e-09	1.53981634210439e-08	0.3335891937082487
isoUsage.M12_tan	3.0638037412566807e-09	9.920550476143116e-09	0.3787238846777379
isoUsage.M6_red	1.589096048042668e-09	6.436946552090272e-09	0.40250399319980823
isoUsage.M13_salmon	1.7537709824766413e-09	1.0683075473864413e-08	0.4348012198841642
isoUsage.M25_orange	1.8363455968371428e-09	1.2984187183570351e-08	0.44376537119279846
isoUsage.M10_purple	7.700019675318395e-10	9.036547970347137e-09	0.4660473208364515
isoUsage.M7_black	-2.494783001266655e-11	8.547061062557944e-09	0.5011644622626239
isoUsage.M27_white	-7.958786968943378e-10	1.202588028543284e-08	0.5263829368325562
isoUsage.M18_lightgreen	-2.452890639729084e-09	1.1817988146135216e-08	0.582212045987924
isoUsage.M17_grey60	-8.666833000129673e-09	9.924880827200582e-09	0.8087346871549372
isoUsage.M26_darkorange	-1.143188098235802e-08	1.2462584293903979e-08	0.8205062710629699
isoUsage.M23_darkturquoise	-1.4577001832544487e-08	1.1012918298808825e-08	0.9071866110840832
isoUsage.M0_grey	-5.0910771586804774e-08	3.431866948807178e-08	0.93102542193481
isoUsage.M14_cyan	-1.4486126412293349e-08	9.32958732589245e-09	0.9397535645427043
isoUsage.M5_green	-1.1231358314375547e-08	6.785753410619922e-09	0.9510517456710866
isoUsage.M11_greenyellow	-1.6002649635260306e-08	9.641918256666168e-09	0.9515121509411683
isoUsage.M22_darkgreen	-1.9337202087283193e-08	9.854151988782804e-09	0.9751385757299044
