Name	Coefficient	Coefficient_std_error	Coefficient_P_value
isoUsage.M0_grey	4.2871112243981014e-08	2.5394946432628552e-08	0.04568882584717644
isoUsage.M11_greenyellow	2.3604787496868733e-08	1.5482575516518386e-08	0.06367902262467949
isoUsage.M13_salmon	2.8340654547780946e-08	1.960935251572434e-08	0.07419213563863505
isoUsage.M6_red	1.6428436983329336e-08	1.1599408025634242e-08	0.07834137896758864
isoUsage.M17_grey60	1.9920102766875505e-08	1.937269231671874e-08	0.15191452123380028
isoUsage.M15_midnightblue	2.333736623801354e-08	2.4402126385492727e-08	0.1694436548479773
isoUsage.M26_darkorange	1.5638227997850595e-08	1.840412745004719e-08	0.19774230958927796
isoUsage.M14_cyan	1.2545325449706364e-08	1.530655105192409e-08	0.20622066723820154
isoUsage.M27_white	1.1147590816047979e-08	1.67315527179847e-08	0.25262195787960945
isoUsage.M9_magenta	5.72120013908373e-09	1.3356895722201164e-08	0.33420432307210224
isoUsage.M19_lightyellow	7.054296993802608e-09	1.7450883254962338e-08	0.3430191333926024
isoUsage.M10_purple	5.368560074433869e-09	1.3520184044178003e-08	0.345655177628641
isoUsage.M3_brown	2.5415200231346624e-09	7.812461653028875e-09	0.3724709008768222
isoUsage.M12_tan	3.983868206575972e-09	1.3067347993006203e-08	0.3802318300269348
isoUsage.M8_pink	1.8560952740644295e-09	1.1163973730630455e-08	0.43397712316421305
isoUsage.M1_turquoise	7.842307175013615e-10	8.360407684048653e-09	0.46263285298820145
isoUsage.M24_darkgrey	1.9781097547441313e-09	2.4668016510042247e-08	0.4680433697524147
isoUsage.M16_lightcyan	-2.1245761834044057e-10	1.3340830764316321e-08	0.5063530334569653
isoUsage.M4_yellow	-6.291945068099667e-10	1.0593719139720803e-08	0.5236805214287771
isoUsage.M2_blue	-6.371553154565757e-10	7.888528897946818e-09	0.5321875080300662
isoUsage.M18_lightgreen	-2.1400294417957443e-09	1.720825355715739e-08	0.5494851323217922
isoUsage.M20_royalblue	-2.3597680605087273e-09	1.8879145528160224e-08	0.5497356012265922
isoUsage.M22_darkgreen	-2.673207387232848e-09	1.5333228166658873e-08	0.5692011849135504
isoUsage.M5_green	-2.2113276529376245e-09	8.867913552975938e-09	0.5984599167545019
isoUsage.M29_saddlebrown	-8.255623829752362e-09	2.2078854050657446e-08	0.645766375503374
isoUsage.M23_darkturquoise	-8.358080279594505e-09	1.6810725770197734e-08	0.6904715311426846
isoUsage.M21_darkred	-1.1887390839783218e-08	1.689760193339045e-08	0.7591265671622507
isoUsage.M25_orange	-1.7432406690894517e-08	1.6846205144530466e-08	0.8496181953499857
isoUsage.M7_black	-1.607753490415899e-08	1.2293378408788717e-08	0.9045329363194707
isoUsage.M28_skyblue	-4.611267790452953e-08	1.748573426276416e-08	0.9958198298511642
