Name	Coefficient	Coefficient_std_error	Coefficient_P_value
isoUsage.M16_lightcyan	3.5371794578287215e-08	2.0766721100901536e-08	0.044256697497796295
isoUsage.M3_brown	1.6436578444638783e-08	1.1196243333162413e-08	0.07104612848057175
isoUsage.M25_orange	2.8344573594790416e-08	1.95303085325748e-08	0.07334648314130197
isoUsage.M13_salmon	2.4848687087056232e-08	1.7336404947956817e-08	0.07588261833960191
isoUsage.M14_cyan	2.6830271995926218e-08	1.881901557636032e-08	0.07697746684655207
isoUsage.M29_saddlebrown	3.2542847780078265e-08	2.392026770532101e-08	0.08684034787556616
isoUsage.M1_turquoise	7.7664638859846e-09	9.088610542397757e-09	0.1964065040107471
isoUsage.M2_blue	6.110880819355727e-09	8.475924355939882e-09	0.23546421732259815
isoUsage.M24_darkgrey	1.6033619451013245e-08	2.47503156323809e-08	0.258552388157979
isoUsage.M19_lightyellow	1.3596132575658912e-08	2.3231939941893255e-08	0.2791950276541627
isoUsage.M15_midnightblue	1.078534433667306e-08	2.145698789072015e-08	0.3076053586520159
isoUsage.M18_lightgreen	9.452372759595014e-09	1.9650990405625283e-08	0.3152537940232105
isoUsage.M17_grey60	8.596644505665555e-09	1.8391447043569382e-08	0.3200974847766377
isoUsage.M12_tan	8.647259607097846e-09	2.0947706156525457e-08	0.33987576237567724
isoUsage.M11_greenyellow	6.13014131239467e-09	1.8231573939798864e-08	0.3683458371722864
isoUsage.M8_pink	3.7155866514361466e-09	1.4089353059282898e-08	0.3959994150899374
isoUsage.M26_darkorange	5.0948829303237665e-09	2.55898313720662e-08	0.4210930629569095
isoUsage.M28_skyblue	1.6244749374162205e-09	2.4590983018632137e-08	0.4736651157423317
isoUsage.M20_royalblue	-1.6866929791850273e-09	2.612334455839379e-08	0.5257404217245477
isoUsage.M9_magenta	-2.6448257839671054e-09	1.309696057763286e-08	0.5800189476431828
isoUsage.M21_darkred	-9.253018557485237e-09	2.395025732380507e-08	0.6503787371096809
isoUsage.M10_purple	-6.958160530557124e-09	1.5657879495934566e-08	0.6716186508693596
isoUsage.M6_red	-4.9327535335387165e-09	1.0532389362468976e-08	0.6802297514351192
isoUsage.M0_grey	-2.3887370830077276e-08	3.9381298474493043e-08	0.7279306343116
isoUsage.M22_darkgreen	-1.2515321737959859e-08	1.6364205856809474e-08	0.7778042593702855
isoUsage.M7_black	-1.0763917108589964e-08	1.3315174540856616e-08	0.7905683115230185
isoUsage.M27_white	-1.4888622687596365e-08	1.785619346229881e-08	0.797805181522322
isoUsage.M23_darkturquoise	-1.8653331458927882e-08	2.179120608256034e-08	0.8040018597454748
isoUsage.M4_yellow	-1.2642977910077557e-08	1.0866877727907993e-08	0.877674815793829
isoUsage.M5_green	-1.551070161853279e-08	1.0041704532024984e-08	0.9387819090223728
