Name	Coefficient	Coefficient_std_error	Coefficient_P_value
isoUsage.M2_blue	3.7326250767113096e-09	1.1010830906627063e-09	0.000349517073767849
isoUsage.M20_royalblue	7.94907968865932e-09	3.679793574791847e-09	0.015378704344547226
isoUsage.M15_midnightblue	4.7333744899537446e-09	2.962295429938964e-09	0.055035524195467825
isoUsage.M12_tan	3.035003513044987e-09	2.067137352591067e-09	0.07102282060825388
isoUsage.M25_orange	3.595573080054653e-09	2.45385470756359e-09	0.07142288978450503
isoUsage.M19_lightyellow	3.820916258336211e-09	2.719490787149788e-09	0.08000890590343074
isoUsage.M1_turquoise	1.565412045568291e-09	1.2172588130421383e-09	0.09921906345301779
isoUsage.M24_darkgrey	4.147304767872202e-09	3.313590878059512e-09	0.10535703377304578
isoUsage.M3_brown	1.337303563574672e-09	1.1596381793061554e-09	0.12441259206898858
isoUsage.M23_darkturquoise	3.125953270429896e-09	2.8181532258695182e-09	0.13366754012196314
isoUsage.M8_pink	1.760033619640645e-09	1.751368291629067e-09	0.15746100562887977
isoUsage.M21_darkred	5.928766592147278e-09	6.2850296964077275e-09	0.17275974808595806
isoUsage.M4_yellow	1.5366692438316643e-09	1.994022909979733e-09	0.22046085211782468
isoUsage.M28_skyblue	2.7129916963291787e-09	4.135308360552032e-09	0.25589421517020683
isoUsage.M9_magenta	7.863816801638907e-10	2.138062340138115e-09	0.3565107744460295
isoUsage.M14_cyan	6.896008479285125e-10	1.9713601348177063e-09	0.3632407688483823
isoUsage.M11_greenyellow	-2.5532399393358584e-12	2.08758029475002e-09	0.5004879309851807
isoUsage.M26_darkorange	-6.572602360229019e-10	2.554067260653753e-09	0.6015413230653965
isoUsage.M18_lightgreen	-1.018199111522165e-09	2.433673909649107e-09	0.6621651394503658
isoUsage.M6_red	-7.319314460295335e-10	1.2998924394604661e-09	0.7133066551539029
isoUsage.M13_salmon	-1.1552157979955046e-09	1.9914925364148614e-09	0.7190681085527512
isoUsage.M17_grey60	-1.142450918279794e-09	1.8498409718871742e-09	0.7315785411994724
isoUsage.M29_saddlebrown	-1.573227010874592e-09	2.492357000391512e-09	0.7360518435868396
isoUsage.M0_grey	-8.398331704375387e-09	9.557938832666991e-09	0.8102115193127002
isoUsage.M10_purple	-1.478855810590801e-09	1.596036808249662e-09	0.8229276825506435
isoUsage.M27_white	-3.0327100328684675e-09	2.405723511451079e-09	0.8962776192446659
isoUsage.M22_darkgreen	-2.6009804057863323e-09	2.062810827947775e-09	0.8963260090951564
isoUsage.M16_lightcyan	-1.9545094112539183e-09	1.3288514406266096e-09	0.9293309269469257
isoUsage.M7_black	-1.901085396287134e-09	1.2324663335506103e-09	0.9385245296454527
isoUsage.M5_green	-1.9599016700608363e-09	1.1261417290429635e-09	0.959102839602949
