Name	Coefficient	Coefficient_std_error	Coefficient_P_value
isoUsage.M2_blue	1.840403565114218e-09	4.972891661480152e-10	0.00010742990992690831
isoUsage.M20_royalblue	3.5324268759813797e-09	1.727225160111953e-09	0.020420254625267895
isoUsage.M24_darkgrey	2.397565229254987e-09	1.4162010214061056e-09	0.0452319742569797
isoUsage.M15_midnightblue	2.1308120580700744e-09	1.2606013970055276e-09	0.04548395904509484
isoUsage.M1_turquoise	8.898371740127675e-10	5.61271170201315e-10	0.0564381733047033
isoUsage.M23_darkturquoise	1.632806999773119e-09	1.3129584057010228e-09	0.10682173569442815
isoUsage.M12_tan	1.0371004154921021e-09	8.783595759701316e-10	0.11885615054032023
isoUsage.M3_brown	5.429445940393691e-10	5.15809714627823e-10	0.14626071703840438
isoUsage.M19_lightyellow	1.0752140104966842e-09	1.1156509151432106e-09	0.16758441710900535
isoUsage.M25_orange	8.777521138369572e-10	9.805662707814336e-10	0.1853539404483978
isoUsage.M8_pink	7.045277129342995e-10	7.97944474176006e-10	0.18863752130975503
isoUsage.M21_darkred	3.2592855592198983e-09	3.694027885689691e-09	0.18880402318708134
isoUsage.M4_yellow	7.931396757748278e-10	1.0625417483961275e-09	0.22769628143711845
isoUsage.M9_magenta	4.1597337045289067e-10	9.829035304046427e-10	0.3360714831561873
isoUsage.M28_skyblue	6.279049253745627e-10	1.5853128568761149e-09	0.34602435337990445
isoUsage.M14_cyan	1.2059802686129826e-10	8.527981301899296e-10	0.44377124738851215
isoUsage.M11_greenyellow	9.836383059362124e-11	9.440040574171988e-10	0.4585059021496501
isoUsage.M26_darkorange	-2.3872277938933924e-10	1.0130074047602451e-09	0.5931507693905285
isoUsage.M6_red	-1.943276631173534e-10	5.493308807805535e-10	0.638238147763668
isoUsage.M10_purple	-3.9621404823482756e-10	7.767288979992534e-10	0.6950113886622532
isoUsage.M29_saddlebrown	-5.599537917374797e-10	1.0144680152085805e-09	0.7095148308674633
isoUsage.M18_lightgreen	-6.792761015646765e-10	1.0407630148592754e-09	0.743015880672503
isoUsage.M27_white	-9.16475120515529e-10	1.017691723918485e-09	0.8160843138072826
isoUsage.M0_grey	-4.0987935030320665e-09	4.005154550797765e-09	0.8469358019405903
isoUsage.M13_salmon	-9.152133276827251e-10	8.449445593436082e-10	0.8606321293562145
isoUsage.M22_darkgreen	-1.0574091996708637e-09	9.24349285935029e-10	0.8736777760482733
isoUsage.M7_black	-8.374668134609246e-10	5.449528157140824e-10	0.9378251057423651
isoUsage.M17_grey60	-1.218994380970184e-09	7.665304770601013e-10	0.9441136029626341
isoUsage.M16_lightcyan	-1.0482404613708627e-09	5.556231198266774e-10	0.9703931547566605
isoUsage.M5_green	-9.861055215020356e-10	5.026468565661929e-10	0.9751086097847494
