Name	Coefficient	Coefficient_std_error	Coefficient_P_value
isoUsage.M25_orange	7.31110543470849e-08	3.483066731726145e-08	0.017906572986325784
isoUsage.M4_yellow	2.0436179866891128e-08	1.5726635035050606e-08	0.09689254683065152
isoUsage.M23_darkturquoise	2.4321231918002722e-08	3.1994389576711035e-08	0.22357595694925592
isoUsage.M26_darkorange	2.425829490615199e-08	3.4454471190478314e-08	0.2406951748687421
isoUsage.M0_grey	1.583206705793991e-08	2.791344533270719e-08	0.28529449765739656
isoUsage.M7_black	8.314901234167724e-09	1.572755900940927e-08	0.2985125061661381
isoUsage.M6_red	5.63549102129497e-09	1.346236944920346e-08	0.33775035801978687
isoUsage.M10_purple	6.3387436601738996e-09	2.1372104774498294e-08	0.3833899320806594
isoUsage.M22_darkgreen	2.5258790282743416e-09	2.1433504211350416e-08	0.4530943543988568
isoUsage.M16_lightcyan	9.98300109161847e-10	1.4368310683262185e-08	0.4723040561606977
isoUsage.M15_midnightblue	2.1973430779636255e-09	4.67398416063919e-08	0.4812517495163362
isoUsage.M11_greenyellow	6.210383661046281e-10	1.6780990188279307e-08	0.485239135784274
isoUsage.M17_grey60	-2.296611300149223e-09	1.7455483566080058e-08	0.5523376409465192
isoUsage.M12_tan	-4.316793302068494e-09	1.960485613982269e-08	0.5871384083845073
isoUsage.M2_blue	-2.7020807351017514e-09	1.0403622210258526e-08	0.6024620448735515
isoUsage.M1_turquoise	-2.910539607854458e-09	1.0338753971400558e-08	0.6108432253351417
isoUsage.M13_salmon	-8.5401453006501e-09	2.4704896415926812e-08	0.6352107755955099
isoUsage.M28_skyblue	-1.0552001681715098e-08	2.181852273771566e-08	0.6856742883968436
isoUsage.M5_green	-8.551621569737268e-09	1.0021848361639507e-08	0.8032529214708806
isoUsage.M27_white	-1.7201764064552098e-08	1.4773673186329691e-08	0.8778594159766924
isoUsage.M20_royalblue	-2.32445704234305e-08	1.9708422098745687e-08	0.8808851509235869
isoUsage.M18_lightgreen	-2.0782750199913855e-08	1.724139694428663e-08	0.8859752071720952
isoUsage.M9_magenta	-1.9103761961653456e-08	1.4721252377656491e-08	0.9028046935269473
isoUsage.M8_pink	-2.064656404567003e-08	1.4350042288478446e-08	0.924893668411482
isoUsage.M29_saddlebrown	-2.648717788078696e-08	1.8146622989389333e-08	0.9278027608196232
isoUsage.M21_darkred	-3.091685770234367e-08	2.102785584674471e-08	0.9292571726469816
isoUsage.M24_darkgrey	-3.167104131361482e-08	1.988132116103679e-08	0.944420450064529
isoUsage.M3_brown	-1.8167787460800885e-08	1.0570943687482024e-08	0.9571612416796262
isoUsage.M19_lightyellow	-2.8379848816593407e-08	1.596609603544393e-08	0.9622575768804202
isoUsage.M14_cyan	-4.3979704571626635e-08	1.2751335428106072e-08	0.9997186951371071
