Name	Coefficient	Coefficient_std_error	Coefficient_P_value
isoUsage.M1_turquoise	2.121129451527611e-08	1.1585325183349534e-08	0.03355952223830144
isoUsage.M15_midnightblue	4.820086500272411e-08	2.8382217878517958e-08	0.04472775619868888
isoUsage.M12_tan	2.959532617236616e-08	2.46680310653356e-08	0.11511935869952505
isoUsage.M19_lightyellow	3.323395013055591e-08	2.788657789126676e-08	0.11667879274994275
isoUsage.M13_salmon	2.8511486454114727e-08	2.447804171599185e-08	0.12205441677876455
isoUsage.M4_yellow	1.548096081176291e-08	1.576839913544921e-08	0.16310627928704546
isoUsage.M10_purple	1.7418270293667508e-08	2.1016270783604524e-08	0.20360899517015302
isoUsage.M28_skyblue	2.0404302866597902e-08	2.7130080423514863e-08	0.22599801777853784
isoUsage.M16_lightcyan	1.3526113234084587e-08	2.0536939595149378e-08	0.25506874986222505
isoUsage.M17_grey60	1.6530476712386895e-08	2.851258948951439e-08	0.28103802683678547
isoUsage.M27_white	1.5020711903652874e-08	2.8523230281362114e-08	0.29923108338906335
isoUsage.M8_pink	8.508697709006953e-09	1.6216144191651346e-08	0.299894016755329
isoUsage.M24_darkgrey	1.890891752154063e-08	3.7183736068928424e-08	0.3055420575205038
isoUsage.M2_blue	5.8332347201692594e-09	1.239381982520859e-08	0.318942944154012
isoUsage.M20_royalblue	1.081604966569994e-08	2.7183969116712356e-08	0.34535807376351674
isoUsage.M9_magenta	5.1699248618987435e-09	1.8792683416128235e-08	0.39161852732246843
isoUsage.M18_lightgreen	4.750167501879027e-09	2.606693595037755e-08	0.42770126935825653
isoUsage.M21_darkred	7.400956917354186e-10	2.5316314649574586e-08	0.4883390052192966
isoUsage.M14_cyan	-1.9944285459014536e-10	2.408609199549508e-08	0.5033033701771886
isoUsage.M6_red	-3.008400959807969e-10	1.5495540836845577e-08	0.5077448277503791
isoUsage.M11_greenyellow	-4.381968721077421e-09	2.102538876361501e-08	0.5825468278581576
isoUsage.M25_orange	-8.236349469156916e-09	2.91373596955136e-08	0.6112863027420931
isoUsage.M0_grey	-1.829189626242235e-08	4.2386867801030755e-08	0.6669644051100093
isoUsage.M22_darkgreen	-9.800357556351535e-09	2.218717103805058e-08	0.670651478839841
isoUsage.M3_brown	-4.9740782843595934e-09	1.041613035252538e-08	0.6835097902011399
isoUsage.M23_darkturquoise	-1.4204119166180829e-08	2.5723407879160006e-08	0.7095897166679914
isoUsage.M5_green	-1.1620841874794011e-08	1.3865122076134156e-08	0.7990225111942024
isoUsage.M26_darkorange	-2.51597312563706e-08	2.2576208836746563e-08	0.8674538249929805
isoUsage.M29_saddlebrown	-4.7695319653192995e-08	2.87973683717509e-08	0.9511632685389044
isoUsage.M7_black	-3.531640967299451e-08	1.588235683185853e-08	0.9869131658541385
