Name	Coefficient	Coefficient_std_error	Coefficient_P_value
isoUsage.M2_blue	1.0993851288402815e-08	3.5628580659656132e-09	0.0010154253566677272
isoUsage.M19_lightyellow	2.4598031985093113e-08	9.467114151840769e-09	0.0046848644346069775
isoUsage.M9_magenta	1.3229080770785673e-08	6.041274773606299e-09	0.01426998926706362
isoUsage.M15_midnightblue	1.8445569658907294e-08	8.856881042738741e-09	0.01864266925062665
isoUsage.M4_yellow	1.3714127807577164e-08	7.408481731888973e-09	0.03207479542553184
isoUsage.M24_darkgrey	1.7465758425854345e-08	1.0682435581528959e-08	0.05102475684548871
isoUsage.M1_turquoise	4.874408275316881e-09	3.831679261447663e-09	0.10166281151507078
isoUsage.M25_orange	1.3050912780967506e-08	1.1099004930346387e-08	0.11982474930443404
isoUsage.M20_royalblue	9.59445467132475e-09	8.182095881642537e-09	0.12047496103402044
isoUsage.M0_grey	1.472029924331264e-08	1.323923280902121e-08	0.1330971307957114
isoUsage.M23_darkturquoise	8.495220922877104e-09	8.897142154748837e-09	0.169832897615306
isoUsage.M14_cyan	5.33571831296009e-09	6.905074657537789e-09	0.21984280978871173
isoUsage.M12_tan	5.624239467096502e-09	7.616172315890846e-09	0.2301174485544486
isoUsage.M3_brown	2.104539075491316e-09	3.955414024978607e-09	0.29734033874983273
isoUsage.M21_darkred	1.2684384230533984e-08	2.5747587040506827e-08	0.3111322141009977
isoUsage.M16_lightcyan	1.012838825356851e-09	5.5892958694457726e-09	0.4281011958413531
isoUsage.M28_skyblue	1.5479788609966353e-09	9.382709949605476e-09	0.4344790494052641
isoUsage.M18_lightgreen	1.7406915091212302e-11	6.936036042665368e-09	0.49899880175521455
isoUsage.M17_grey60	-7.733525475861651e-10	5.434469701649729e-09	0.5565804758213021
isoUsage.M27_white	-1.8353425550763654e-09	7.574463888781063e-09	0.5957286980883845
isoUsage.M13_salmon	-2.0631777721909555e-09	5.747367115043025e-09	0.6401941885898731
isoUsage.M26_darkorange	-4.82747798380819e-09	8.860766044876428e-09	0.7070596090183342
isoUsage.M11_greenyellow	-3.6537462230631634e-09	6.1976004898834235e-09	0.7222511503990484
isoUsage.M10_purple	-3.768856405334269e-09	5.046788989789539e-09	0.772402731506683
isoUsage.M6_red	-3.997822915468015e-09	4.046300568415049e-09	0.8384283934730701
isoUsage.M29_saddlebrown	-8.045057941180497e-09	6.559432499320107e-09	0.8899922463717975
isoUsage.M5_green	-5.635497063666195e-09	4.320093673867134e-09	0.9039658515937345
isoUsage.M8_pink	-7.70837864845102e-09	4.422900765460456e-09	0.9593186293929294
isoUsage.M22_darkgreen	-1.3397947388155778e-08	6.336973373340003e-09	0.9827530494545058
isoUsage.M7_black	-1.0682320709612673e-08	3.959654766237091e-09	0.9965099368392456
