Name	Coefficient	Coefficient_std_error	Coefficient_P_value
isoUsage.M2_blue	2.278406055541475e-09	9.793665224482936e-10	0.009998399183250723
isoUsage.M1_turquoise	1.6134476772777429e-09	9.967704213934435e-10	0.05275857024716611
isoUsage.M3_brown	1.8071493502115104e-09	1.1801876291216025e-09	0.06285516502228625
isoUsage.M25_orange	2.8683978543309124e-09	2.606563232451892e-09	0.13556760520983763
isoUsage.M13_salmon	1.6508691081057581e-09	1.9943674143519174e-09	0.20390157756586624
isoUsage.M28_skyblue	2.107140622072225e-09	2.64673932347149e-09	0.21297911279696158
isoUsage.M8_pink	1.00233283273413e-09	2.1258254148518663e-09	0.3186408271754428
isoUsage.M14_cyan	8.994195724614689e-10	1.9271623545151142e-09	0.32035486969855287
isoUsage.M12_tan	8.17805596834423e-10	2.1036559122374383e-09	0.34872889958639963
isoUsage.M6_red	3.920630090210721e-10	1.2484324035959815e-09	0.37674371815726637
isoUsage.M23_darkturquoise	7.080608650305127e-10	2.7899376370939427e-09	0.39982854080055663
isoUsage.M19_lightyellow	4.753143703003177e-10	2.177259431106191e-09	0.4135943528468574
isoUsage.M26_darkorange	6.112603568256043e-10	2.862718056890798e-09	0.4154589523075743
isoUsage.M7_black	2.180076060348129e-10	1.3190800336430801e-09	0.4343647660477177
isoUsage.M21_darkred	-4.817413387954461e-10	2.019641596387467e-09	0.5942642509201246
isoUsage.M11_greenyellow	-6.048791133548718e-10	2.235990283041556e-09	0.606619715505501
isoUsage.M4_yellow	-3.590672150294185e-10	1.1190596686221878e-09	0.625843696244286
isoUsage.M22_darkgreen	-7.218854934391086e-10	2.2119795859766358e-09	0.6279212371292419
isoUsage.M0_grey	-2.0355296195292232e-09	5.512745133045525e-09	0.6440258220931007
isoUsage.M29_saddlebrown	-1.1720402701517225e-09	3.072570166463161e-09	0.6485663288503409
isoUsage.M5_green	-5.069342115027047e-10	1.183090585598727e-09	0.6658502485841575
isoUsage.M15_midnightblue	-9.724653117187701e-10	2.2049956716005962e-09	0.6704037156575979
isoUsage.M10_purple	-7.892598365789152e-10	1.7888469025013912e-09	0.6704700580470992
isoUsage.M24_darkgrey	-1.5317961864416289e-09	2.2513460115678827e-09	0.751871628400112
isoUsage.M9_magenta	-1.2285260900395629e-09	1.6368262114637146e-09	0.773539375003482
isoUsage.M27_white	-3.13765031613391e-09	2.7002764464765222e-09	0.8773769336590702
isoUsage.M17_grey60	-2.20602249017079e-09	1.8721799409654267e-09	0.8806649840662009
isoUsage.M18_lightgreen	-2.8817032053777554e-09	2.3318224415352803e-09	0.8917364948060637
isoUsage.M20_royalblue	-2.6458260996029766e-09	2.1254873568258235e-09	0.893399043129118
isoUsage.M16_lightcyan	-5.194975263635045e-09	1.5745300437409765e-09	0.9995155093236399
