Name	Coefficient	Coefficient_std_error	Coefficient_P_value
isoUsage.M2_blue	3.493862246362563e-09	1.4520838449816724e-09	0.00806187496764901
isoUsage.M20_royalblue	8.10007269570459e-09	5.4347535492855645e-09	0.06805674176227512
isoUsage.M1_turquoise	2.08473453986549e-09	1.5713182206370362e-09	0.09229695159754697
isoUsage.M15_midnightblue	4.627134435905195e-09	3.7013664326132935e-09	0.10562873411937695
isoUsage.M8_pink	2.7136031633780334e-09	2.805019297887138e-09	0.16666960597282804
isoUsage.M25_orange	2.1134109550599924e-09	2.932626311646842e-09	0.235560992947298
isoUsage.M29_saddlebrown	3.320432070798033e-09	4.693821844005448e-09	0.23965747954752437
isoUsage.M28_skyblue	2.566648713624863e-09	4.077328623314876e-09	0.26451326438201644
isoUsage.M10_purple	1.2058691647332866e-09	2.7907375148107043e-09	0.3328354761479385
isoUsage.M6_red	6.228231456065975e-10	1.6153172626310384e-09	0.34990636944262865
isoUsage.M4_yellow	3.3628871418731955e-10	1.866884497452137e-09	0.42852382383680965
isoUsage.M24_darkgrey	6.368536178194026e-10	4.413786126113207e-09	0.44263677329273254
isoUsage.M26_darkorange	3.908316313550657e-10	3.3922596906854537e-09	0.45413823902922446
isoUsage.M3_brown	-4.95596983012174e-10	1.7847300711078389e-09	0.6093738180690813
isoUsage.M14_cyan	-7.117006057548582e-10	2.4668804588704833e-09	0.6135188524290038
isoUsage.M23_darkturquoise	-1.4394488786311995e-09	4.25299419869782e-09	0.6324899865183905
isoUsage.M9_magenta	-1.0018814044835117e-09	2.7086002996289173e-09	0.644267393970422
isoUsage.M13_salmon	-1.875027333045743e-09	3.136276479059769e-09	0.7250304599633433
isoUsage.M11_greenyellow	-2.1313996699978922e-09	3.2844577529542186e-09	0.7418098122972305
isoUsage.M22_darkgreen	-2.2568575979244108e-09	2.753641302707618e-09	0.7937751366905381
isoUsage.M0_grey	-8.263249215509163e-09	9.909548407344916e-09	0.7978221409978878
isoUsage.M21_darkred	-3.438784665013774e-09	3.89107839280806e-09	0.8115874707863346
isoUsage.M12_tan	-2.7818119954976524e-09	2.850219215605021e-09	0.8354675975380148
isoUsage.M27_white	-4.058816468140895e-09	3.233792619984495e-09	0.8952834474755493
isoUsage.M16_lightcyan	-4.132305348050373e-09	2.368481648081044e-09	0.9594820151500746
isoUsage.M17_grey60	-4.080541925604272e-09	2.2056790273720966e-09	0.967844392408034
isoUsage.M7_black	-4.205773041497441e-09	2.2093488350802037e-09	0.9715205200206576
isoUsage.M19_lightyellow	-5.312951714428777e-09	2.6574197459933522e-09	0.9772114866990849
isoUsage.M18_lightgreen	-6.209533697014642e-09	2.8715642617418653e-09	0.9847071678391588
isoUsage.M5_green	-5.104076158023396e-09	1.6536080511553811e-09	0.998987802849069
