Name	Coefficient	Coefficient_std_error	Coefficient_P_value
isoUsage.M15_midnightblue	2.2093220691056734e-07	8.782813141460922e-08	0.005943079754065522
isoUsage.M28_skyblue	2.0556640239638284e-07	1.1086364378691901e-07	0.03185331913065628
isoUsage.M17_grey60	1.164243444756838e-07	8.922065912144496e-08	0.0959628658799132
isoUsage.M25_orange	1.3705427777294674e-07	1.1358585151514228e-07	0.11379041777663346
isoUsage.M14_cyan	9.148726105688048e-08	7.835096336966902e-08	0.12147203274568658
isoUsage.M3_brown	3.1198477544426723e-08	4.493781711557564e-08	0.2437599439159771
isoUsage.M24_darkgrey	5.995581784687553e-08	1.0144705925811715e-07	0.2772582098248636
isoUsage.M19_lightyellow	4.1770894137672053e-08	8.442881525567045e-08	0.31038939752511385
isoUsage.M5_green	1.851371348286328e-08	4.40482759611405e-08	0.3371313051983287
isoUsage.M2_blue	1.4308298801850956e-08	3.621507684267694e-08	0.3463873775237105
isoUsage.M10_purple	1.7078948480214573e-08	6.159868964774029e-08	0.39078963868772437
isoUsage.M22_darkgreen	1.7954540802837488e-08	7.18669747375298e-08	0.40135933125297607
isoUsage.M23_darkturquoise	2.007645443327492e-08	9.681946121724293e-08	0.4178644766446542
isoUsage.M20_royalblue	1.0574049100395004e-08	8.04858657176263e-08	0.44773825848731885
isoUsage.M4_yellow	4.5352216433431955e-09	3.914819737002783e-08	0.4538866935921746
isoUsage.M0_grey	1.0282904891920362e-08	1.536417569580229e-07	0.47331959043930366
isoUsage.M27_white	-8.917973585451328e-09	1.1546081950623771e-07	0.5307829310867838
isoUsage.M9_magenta	-8.328065816748776e-09	5.833329880246214e-08	0.5567628710875617
isoUsage.M11_greenyellow	-1.0937449434224343e-08	6.59044520508694e-08	0.5659054665322721
isoUsage.M21_darkred	-1.8362428216704476e-08	8.416437732016602e-08	0.586352994545395
isoUsage.M29_saddlebrown	-3.289243664498144e-08	1.110787682722363e-07	0.6164300638778684
isoUsage.M12_tan	-1.987482072229488e-08	6.626103463189258e-08	0.617891336068977
isoUsage.M13_salmon	-2.1795330346329965e-08	6.262735679539732e-08	0.6360859651024198
isoUsage.M18_lightgreen	-5.2481558910699416e-08	8.63855886069412e-08	0.7282493136825553
isoUsage.M8_pink	-3.824228809292372e-08	5.746572524299136e-08	0.7471282190027049
isoUsage.M26_darkorange	-5.772821768088365e-08	8.414714519050891e-08	0.7536557210600989
isoUsage.M16_lightcyan	-4.808476056967912e-08	6.695891718942244e-08	0.763659376769014
isoUsage.M6_red	-3.0187319313403226e-08	4.173177336749988e-08	0.7652722767715101
isoUsage.M1_turquoise	-3.801357446223866e-08	4.030174809494747e-08	0.8272168199780137
isoUsage.M7_black	-1.0587572953840216e-07	5.044754818542735e-08	0.9820795991669694
