Name	Coefficient	Coefficient_std_error	Coefficient_P_value
isoUsage.M25_orange	7.51344277429009e-09	4.320938114887064e-09	0.04103099221496185
isoUsage.M24_darkgrey	6.379980781840385e-09	3.772295261185842e-09	0.045392345785635814
isoUsage.M19_lightyellow	4.754458751220391e-09	2.8744917526329264e-09	0.04906201073390692
isoUsage.M0_grey	7.403094315107253e-09	4.830932402725736e-09	0.06270745026597777
isoUsage.M20_royalblue	4.691944312464368e-09	3.291123434581264e-09	0.07698670797491054
isoUsage.M15_midnightblue	4.3146721510788485e-09	3.315677497179653e-09	0.09657887272977139
isoUsage.M26_darkorange	4.2875633033913775e-09	3.3237729436865614e-09	0.09853075036722903
isoUsage.M22_darkgreen	3.381608306211361e-09	2.7599630826574113e-09	0.11024300841814644
isoUsage.M28_skyblue	5.887556455897205e-09	4.860786369622522e-09	0.11290260217041187
isoUsage.M17_grey60	3.200216934207076e-09	2.65741258611539e-09	0.11424445981660969
isoUsage.M12_tan	3.299286694712078e-09	2.8554956628245683e-09	0.12395996200028342
isoUsage.M29_saddlebrown	3.880356757071391e-09	4.499540716124837e-09	0.19423660288399308
isoUsage.M11_greenyellow	1.768371839080078e-09	2.3845007532036044e-09	0.2291615473951486
isoUsage.M23_darkturquoise	2.2678593421285723e-09	3.314851577550806e-09	0.24693987954346336
isoUsage.M8_pink	1.486638997732465e-09	2.1826374806534216e-09	0.24789764276778287
isoUsage.M6_red	7.814858528966712e-10	1.529564041376875e-09	0.304703310731043
isoUsage.M18_lightgreen	9.920152825031436e-10	2.8881017078745445e-09	0.36561737592901966
isoUsage.M27_white	8.611403765965202e-10	2.83493576307421e-09	0.3806553326201971
isoUsage.M2_blue	2.321428274522998e-11	1.3236776929112613e-09	0.49300382243875374
isoUsage.M16_lightcyan	-8.59148619547292e-11	2.7912613497040746e-09	0.5122774815264157
isoUsage.M3_brown	-5.957385955800345e-11	1.4606103747871272e-09	0.5162671331558838
isoUsage.M5_green	-2.2726117719344766e-10	1.66255569379459e-09	0.5543636137240006
isoUsage.M7_black	-9.676599225124933e-10	1.8483150842105887e-09	0.6996994293732027
isoUsage.M10_purple	-1.6730559155846946e-09	1.971786591699998e-09	0.8019195069082947
isoUsage.M4_yellow	-1.6139833935300806e-09	1.5505033993158154e-09	0.8510486591010835
isoUsage.M9_magenta	-2.301460433417755e-09	2.130485527445364e-09	0.8599849254329781
isoUsage.M14_cyan	-2.7722143710593393e-09	2.136691121304665e-09	0.9027589422392962
isoUsage.M1_turquoise	-1.7521185207352938e-09	1.3063985049488317e-09	0.910069360339921
isoUsage.M21_darkred	-3.780556193498254e-09	2.67665702036997e-09	0.9210864104029233
isoUsage.M13_salmon	-5.656973310748304e-09	2.287967993618135e-09	0.9932911882878623
