Name	Coefficient	Coefficient_std_error	Coefficient_P_value
isoUsage.M2_blue	1.6497067508419523e-08	5.352749481837195e-09	0.0010281428378489782
isoUsage.M3_brown	1.4854588446389191e-08	6.440222117906135e-09	0.010540418582890355
isoUsage.M19_lightyellow	2.4059656023647126e-08	1.3112312523889073e-08	0.03326096715713354
isoUsage.M9_magenta	2.220080615871651e-08	1.3149376676226355e-08	0.04567162236736025
isoUsage.M8_pink	1.3848699697243332e-08	9.86429860589363e-09	0.08017113138799381
isoUsage.M12_tan	1.490468267832108e-08	1.1358839308085071e-08	0.09473206639743381
isoUsage.M1_turquoise	7.589950339291052e-09	5.787349756000056e-09	0.09484908099394568
isoUsage.M28_skyblue	2.0926947348745695e-08	1.7891296357266072e-08	0.12106650687354198
isoUsage.M20_royalblue	1.8406700660465782e-08	1.740400075514408e-08	0.14511591459816914
isoUsage.M11_greenyellow	1.1046034481624578e-08	1.126536789152624e-08	0.16341221194339522
isoUsage.M15_midnightblue	1.0209081983213414e-08	1.2338715379986996e-08	0.2040045272427664
isoUsage.M23_darkturquoise	5.355460338061931e-09	1.386068186014514e-08	0.34960842918620155
isoUsage.M24_darkgrey	3.872350437865466e-09	1.3448825871601072e-08	0.3866993071949628
isoUsage.M6_red	1.934242505219946e-09	7.0536969345104665e-09	0.39195899258187095
isoUsage.M16_lightcyan	2.5761934570583386e-09	1.0380356354096995e-08	0.40199769609540736
isoUsage.M29_saddlebrown	3.1440332912179473e-09	1.3860926244998057e-08	0.41027910662477945
isoUsage.M4_yellow	4.959095944399128e-10	7.214922069166889e-09	0.47260072444128365
isoUsage.M7_black	3.054846067101402e-10	7.217027467040255e-09	0.48311848699287463
isoUsage.M17_grey60	-2.055776006910308e-09	1.0610348029057833e-08	0.5768149581001618
isoUsage.M26_darkorange	-4.475829211852531e-09	1.2439223417191561e-08	0.6405075592050166
isoUsage.M27_white	-4.931469019697223e-09	1.3579495325116103e-08	0.6417556529173771
isoUsage.M0_grey	-1.720123258347578e-08	4.333286732378523e-08	0.6542999688718397
isoUsage.M10_purple	-4.993295527471311e-09	8.761191071695383e-09	0.7156385691784426
isoUsage.M22_darkgreen	-1.0106656693690945e-08	1.6172939053285882e-08	0.7339854500305539
isoUsage.M21_darkred	-1.0998059424636886e-08	1.3675966630449837e-08	0.7893560318280236
isoUsage.M25_orange	-1.4370295075070625e-08	1.3503992959393099e-08	0.8563699749587217
isoUsage.M13_salmon	-1.2792563906079765e-08	1.0149611094751655e-08	0.8962373440510041
isoUsage.M18_lightgreen	-1.7386008361791277e-08	1.0952482314913662e-08	0.9437893523219565
isoUsage.M5_green	-1.7700002536884085e-08	6.419437520509058e-09	0.9970855233575899
isoUsage.M14_cyan	-2.2865518023347923e-08	7.97834510831766e-09	0.99792118389368
