Name	Coefficient	Coefficient_std_error	Coefficient_P_value
isoUsage.M2_blue	6.691855023750766e-08	1.9021808071302107e-08	0.00021741352731911726
isoUsage.M3_brown	4.344917541106387e-08	2.1037770581130894e-08	0.019447608828771248
isoUsage.M9_magenta	7.865411628249005e-08	4.19969044194109e-08	0.03054419897725063
isoUsage.M20_royalblue	8.785720152324405e-08	5.126547394118844e-08	0.04328554088375566
isoUsage.M19_lightyellow	6.150852861551407e-08	3.8052496896561665e-08	0.053002587366587715
isoUsage.M28_skyblue	1.0864765365189745e-07	6.971943240638269e-08	0.0595745120307691
isoUsage.M8_pink	4.6325354990583346e-08	3.2727593391733944e-08	0.0784634516192038
isoUsage.M16_lightcyan	6.026354154400205e-08	5.010890021219528e-08	0.11455561426130262
isoUsage.M1_turquoise	2.214929482906813e-08	1.9422907394452968e-08	0.12706615807524752
isoUsage.M4_yellow	2.8600164057955924e-08	2.579948108197979e-08	0.13381093013407624
isoUsage.M12_tan	3.661488838069624e-08	3.4139339055510534e-08	0.1417448164766042
isoUsage.M11_greenyellow	3.069107294427406e-08	3.656649544490036e-08	0.2006442525620442
isoUsage.M15_midnightblue	3.470559794087623e-08	4.4748988248583605e-08	0.21900393370973603
isoUsage.M6_red	1.1533118611360013e-08	2.518995713215355e-08	0.32353157812863254
isoUsage.M29_saddlebrown	2.0809235919903466e-08	7.02233005374792e-08	0.38348922758194964
isoUsage.M21_darkred	-3.465610184412317e-09	4.675067781258845e-08	0.5295463783601578
isoUsage.M23_darkturquoise	-1.1778780396928746e-08	5.2643564379797085e-08	0.5885224763348569
isoUsage.M7_black	-8.00833751837079e-09	2.839432122889628e-08	0.6110436230467111
isoUsage.M24_darkgrey	-1.3905331582371771e-08	4.9125102143636384e-08	0.6114344235340352
isoUsage.M0_grey	-3.8646038388877206e-08	1.2596866729434034e-07	0.6204987250706949
isoUsage.M10_purple	-1.0148069974113912e-08	3.050825549853076e-08	0.6302945505035974
isoUsage.M26_darkorange	-2.0232181809128842e-08	3.791892467858618e-08	0.7031784688064678
isoUsage.M17_grey60	-2.429171746314555e-08	3.9326612305647797e-08	0.7316106697618652
isoUsage.M25_orange	-4.091374897592303e-08	4.451237701507477e-08	0.8209926012555636
isoUsage.M18_lightgreen	-4.159127919285208e-08	3.664054848882507e-08	0.8718366770649988
isoUsage.M27_white	-4.909748981778299e-08	4.118847506437977e-08	0.8833733163289699
isoUsage.M5_green	-3.2856345757768976e-08	2.4906347804421224e-08	0.9064481444183604
isoUsage.M13_salmon	-4.734560437863144e-08	3.4060442579137685e-08	0.917742645220788
isoUsage.M22_darkgreen	-5.668225432010868e-08	4.061312084782292e-08	0.9185920892823551
isoUsage.M14_cyan	-9.555709845109732e-08	3.058956747342994e-08	0.999107480764959
