Name	Coefficient	Coefficient_std_error	Coefficient_P_value
isoUsage.M4_yellow	1.456570622703825e-09	1.1225628800896615e-09	0.09722266700326021
isoUsage.M13_salmon	2.523044739282894e-09	1.988115564868091e-09	0.10220922268359528
isoUsage.M7_black	1.865996302844934e-09	1.5127592074989254e-09	0.10869367458898682
isoUsage.M16_lightcyan	1.8676358314128925e-09	1.9262372484769617e-09	0.16612862643132048
isoUsage.M6_red	1.1425819269641778e-09	1.2064770403634493e-09	0.1718092172061505
isoUsage.M15_midnightblue	1.939249817257858e-09	2.66168759427439e-09	0.23312959892046947
isoUsage.M28_skyblue	2.6236873140972174e-09	3.834400151162243e-09	0.24690873849164474
isoUsage.M22_darkgreen	1.5012552998108101e-09	2.281597954255167e-09	0.2552741567015357
isoUsage.M29_saddlebrown	1.7211890415171896e-09	2.8729490459728172e-09	0.27455248948292066
isoUsage.M24_darkgrey	5.201535656288336e-10	2.4009572864160465e-09	0.41424280309371175
isoUsage.M0_grey	9.143290922640844e-10	5.217591120426458e-09	0.43044564621334097
isoUsage.M9_magenta	2.2474419172016437e-10	1.7655652645476896e-09	0.4493542294825182
isoUsage.M23_darkturquoise	1.8593226963873903e-10	2.025161880808309e-09	0.46342407618793985
isoUsage.M21_darkred	9.185965706240435e-11	1.9364585044920685e-09	0.48108249595845426
isoUsage.M5_green	-2.1363349979774673e-10	1.1569024703986548e-09	0.5732521016237727
isoUsage.M20_royalblue	-4.806482764272633e-10	2.153455380342109e-09	0.5883095383528296
isoUsage.M3_brown	-2.88802117103918e-10	1.0823405322401905e-09	0.6052003969337326
isoUsage.M19_lightyellow	-7.879001503843406e-10	2.6469715363353933e-09	0.6170190374902776
isoUsage.M26_darkorange	-9.227703839594978e-10	2.2687713899696292e-09	0.6578957142360058
isoUsage.M18_lightgreen	-1.029625892086716e-09	2.2056414183899256e-09	0.6796837800725394
isoUsage.M8_pink	-1.5706142774922664e-09	1.7581989873949843e-09	0.814154033349731
isoUsage.M27_white	-2.666336428986354e-09	2.6439053148549693e-09	0.8433889375785868
isoUsage.M1_turquoise	-1.5482072508615972e-09	1.0656841048992438e-09	0.9268579281119034
isoUsage.M2_blue	-1.7158322865381488e-09	1.005568758005675e-09	0.9560266859049474
isoUsage.M14_cyan	-2.5980866277776376e-09	1.491481986729959e-09	0.9592413785528758
isoUsage.M12_tan	-2.7447534594835864e-09	1.5191788153335022e-09	0.9645981921517748
isoUsage.M10_purple	-2.676645289994848e-09	1.4570861531579392e-09	0.9668939391687498
isoUsage.M25_orange	-4.011558226235532e-09	1.9590548237785397e-09	0.9797053397007683
isoUsage.M11_greenyellow	-4.022399047716443e-09	1.8149489348330943e-09	0.9866631556629613
isoUsage.M17_grey60	-3.733651910789337e-09	1.6681565896374714e-09	0.9873956762812975
