Name	Coefficient	Coefficient_std_error	Coefficient_P_value
geneExpr.M10_purple	5.166422692541875e-08	2.380251360483597e-08	0.0149831095857012
geneExpr.M5_green	2.2435695484930143e-08	1.3672525470379784e-08	0.05040568285490428
geneExpr.M23_darkturquoise	3.058316411437969e-08	2.352777703411855e-08	0.09682194424578999
geneExpr.M11_greenyellow	2.9749138376971618e-08	2.358236547105546e-08	0.10356449957949287
geneExpr.M21_darkred	3.152644684900865e-08	2.553817228391586e-08	0.10851143547291736
geneExpr.M15_midnightblue	2.205063615117699e-08	1.9303589210428352e-08	0.12666309714816115
geneExpr.M8_pink	1.5481195053333377e-08	1.449083783797507e-08	0.14268275549089732
geneExpr.M18_lightgreen	1.55138013457889e-08	2.3101672204603596e-08	0.25093685439784164
geneExpr.M9_magenta	7.699368528537877e-09	1.4788563011621453e-08	0.3013122975527418
geneExpr.M4_yellow	8.441047379913943e-09	2.1323671310090084e-08	0.3461065971707275
geneExpr.M16_lightcyan	7.50039669679933e-09	2.566559786926431e-08	0.385053317026942
geneExpr.M19_lightyellow	3.749663996487167e-09	1.797109850144425e-08	0.4173608615140916
geneExpr.M13_salmon	-3.6345322586761167e-10	1.5509473488862447e-08	0.5093480664408901
geneExpr.M22_darkgreen	-5.9022265938835014e-09	2.6967280439021867e-08	0.5866228674681034
geneExpr.M6_red	-3.2269899226509665e-09	1.3287485354737207e-08	0.595942817652233
geneExpr.M1_turquoise	-2.6646057811369562e-09	1.0912792322170723e-08	0.596451458698993
geneExpr.M12_tan	-4.743506135739995e-09	1.679360436602898e-08	0.6112042426892664
geneExpr.M14_cyan	-7.191909802836515e-09	1.6398443164381882e-08	0.6695144158770845
geneExpr.M3_brown	-7.536094015571088e-09	1.4781105045433526e-08	0.694920481600252
geneExpr.M7_black	-9.040823978296375e-09	1.635336403667449e-08	0.7098141446022713
geneExpr.M2_blue	-7.332993307332912e-09	1.0130648925161189e-08	0.7654187545578716
geneExpr.M0_grey	-8.18285129250076e-09	7.992274581963566e-09	0.8470457814198534
geneExpr.M20_royalblue	-4.2467678272405396e-08	2.015808029522431e-08	0.9824296033624078
geneExpr.M17_grey60	-6.634747199395005e-08	1.3641751834128843e-08	0.9999994235333259
