Name	Coefficient	Coefficient_std_error	Coefficient_P_value
geneExpr.M5_green	1.0442622489183277e-09	6.72329017488111e-10	0.06018753521420735
geneExpr.M21_darkred	1.4040281929528608e-09	1.0919436596741027e-09	0.09925531054512587
geneExpr.M1_turquoise	3.227126352570089e-09	2.5120560107017047e-09	0.09945636271737757
geneExpr.M20_royalblue	1.1405881358005872e-08	1.2213055667250195e-08	0.17517544430269338
geneExpr.M23_darkturquoise	1.1109961521530773e-09	1.2321427077469204e-09	0.18361393273055449
geneExpr.M19_lightyellow	6.925769564298537e-10	9.493727922109963e-10	0.2328448730402377
geneExpr.M0_grey	1.7405820053669516e-10	2.7849539115734506e-10	0.2659872010345935
geneExpr.M17_grey60	5.28610315463388e-10	1.286332496634293e-09	0.3405568861583094
geneExpr.M8_pink	2.366989947041985e-10	8.952821093326325e-10	0.3957417056857552
geneExpr.M7_black	1.8951947183125987e-10	8.241400143872217e-10	0.4090613156981711
geneExpr.M11_greenyellow	-6.51893276286751e-10	2.890571624662064e-09	0.5892141716999058
geneExpr.M15_midnightblue	-6.556005184424993e-10	1.976161266085266e-09	0.6299627020501823
geneExpr.M18_lightgreen	-5.095081739650128e-10	1.163083130939329e-09	0.66933109118627
geneExpr.M13_salmon	-3.9847362026255154e-10	8.325331579699994e-10	0.6838983266829657
geneExpr.M2_blue	-5.091954559914122e-10	8.513631251987486e-10	0.7251115025594228
geneExpr.M9_magenta	-1.2309222986228882e-09	1.3774469432584436e-09	0.8142389646664521
geneExpr.M3_brown	-8.012206529544901e-10	7.489085669552163e-10	0.8576568311888377
geneExpr.M10_purple	-2.2583241059126566e-09	1.6944380609873615e-09	0.9086990549231597
geneExpr.M4_yellow	-2.5181184090635965e-09	1.8605120147987083e-09	0.9120447660798646
geneExpr.M16_lightcyan	-1.2425093013164396e-09	7.849836618492708e-10	0.9432718681702537
geneExpr.M12_tan	-1.2512343423786149e-09	6.838350555483701e-10	0.9663549290767919
geneExpr.M22_darkgreen	-3.978315886954178e-09	1.8549926181947955e-09	0.9840097080226285
geneExpr.M14_cyan	-1.951835462244266e-09	8.09352048269336e-10	0.9920587076584552
geneExpr.M6_red	-1.505145738363157e-09	6.180120365153352e-10	0.9925636368610552
