Name	Coefficient	Coefficient_std_error	Coefficient_P_value
geneExpr.M15_midnightblue	3.5996500665646355e-08	1.8185098750307398e-08	0.02388266042150953
geneExpr.M11_greenyellow	2.8409342238488558e-08	2.207852683767174e-08	0.09909231606063246
geneExpr.M18_lightgreen	2.696274656326792e-08	2.2148794207461426e-08	0.11173629513068783
geneExpr.M1_turquoise	1.0013648504223629e-08	9.216920498845395e-09	0.13864176901771535
geneExpr.M19_lightyellow	1.777144438689644e-08	1.8656114239307863e-08	0.17040141538807507
geneExpr.M21_darkred	1.437224075332843e-08	1.8880995942205067e-08	0.2232683877895531
geneExpr.M4_yellow	9.448999001342276e-09	1.3429683648027776e-08	0.2408438875160005
geneExpr.M23_darkturquoise	9.737009406629475e-09	2.1396038521686465e-08	0.3245241585219276
geneExpr.M22_darkgreen	1.7768030067175024e-08	4.224013763324613e-08	0.3370077922106173
geneExpr.M12_tan	5.0717760434707016e-09	1.2260451189524252e-08	0.33955804369369896
geneExpr.M10_purple	5.088228529051259e-09	1.6707612335640175e-08	0.3803561583507806
geneExpr.M17_grey60	1.4324640869514623e-09	1.6334218086341257e-08	0.4650586994094863
geneExpr.M5_green	5.032046868969523e-10	1.1813119344680718e-08	0.4830113515757894
geneExpr.M7_black	-3.1280724657063334e-10	1.3661143574231344e-08	0.5091340180796277
geneExpr.M20_royalblue	-1.940568607304103e-09	2.3554715835344402e-08	0.5328299433434881
geneExpr.M8_pink	-9.752860320299057e-10	1.0889569584986257e-08	0.5356821543893538
geneExpr.M16_lightcyan	-3.6139564137431082e-09	1.943346589377368e-08	0.5737641364498507
geneExpr.M9_magenta	-4.8030027992074734e-09	1.8226447528292925e-08	0.6039244467594488
geneExpr.M6_red	-5.397369560612553e-09	1.4870219558330011e-08	0.6416844930696689
geneExpr.M14_cyan	-5.608238707069789e-09	1.4603960734611504e-08	0.6495188402652431
geneExpr.M2_blue	-4.555643867350126e-09	7.171378953164407e-09	0.7373684652827448
geneExpr.M0_grey	-4.5292997846922775e-09	6.773676121756712e-09	0.748144441726116
geneExpr.M13_salmon	-2.2765081109877807e-08	1.1761926920656648e-08	0.9735348462682257
geneExpr.M3_brown	-2.1088841679364268e-08	1.075158950348183e-08	0.9750874634463862
