Name	Coefficient	Coefficient_std_error	Coefficient_P_value
geneExpr.M8_pink	1.4684255226021312e-08	5.785687877124613e-09	0.00557390536217373
geneExpr.M1_turquoise	3.82393576089222e-09	3.4096877170855737e-09	0.1310393557768556
geneExpr.M0_grey	1.969665556194061e-09	2.7738707731341265e-09	0.238827778393282
geneExpr.M16_lightcyan	5.298708914622453e-09	8.229549349641845e-09	0.25983187894109083
geneExpr.M11_greenyellow	4.487258568577795e-09	7.851829517952317e-09	0.28383305573332684
geneExpr.M5_green	1.9847825139167524e-09	3.7379608891943114e-09	0.29771631549816546
geneExpr.M17_grey60	7.4368269284794894e-09	1.6648351446466084e-08	0.327545660104955
geneExpr.M15_midnightblue	1.4850432279757569e-09	6.116663745971873e-09	0.40408540687203287
geneExpr.M7_black	1.0512216722621326e-09	6.002059873554521e-09	0.43048344584330894
geneExpr.M14_cyan	-3.925223934889292e-10	7.2606921056440195e-09	0.5215568340429662
geneExpr.M23_darkturquoise	-1.0890098130106966e-09	8.98381783906781e-09	0.5482412299284594
geneExpr.M12_tan	-7.906818380649421e-10	4.5746483475429775e-09	0.5686113697906701
geneExpr.M20_royalblue	-1.502137816376821e-09	5.183420162495599e-09	0.6140140958773408
geneExpr.M10_purple	-1.5944045066609422e-09	4.631927614305903e-09	0.6346597722137373
geneExpr.M4_yellow	-3.330472860191129e-09	5.085003805457964e-09	0.7437531679746138
geneExpr.M6_red	-2.543178755255285e-09	3.761071909257331e-09	0.7505382629801334
geneExpr.M19_lightyellow	-4.962559936274729e-09	6.542044970203643e-09	0.7759432988516657
geneExpr.M21_darkred	-7.3142652287847326e-09	7.0780663309468345e-09	0.8492847362738063
geneExpr.M22_darkgreen	-7.012908648615927e-09	6.007336234893343e-09	0.8784736940338504
geneExpr.M13_salmon	-5.747982473367329e-09	4.830152173547635e-09	0.8829809289700437
geneExpr.M18_lightgreen	-8.13635593278929e-09	5.357180014535323e-09	0.9355905437586666
geneExpr.M3_brown	-7.539204568169148e-09	3.830135748018582e-09	0.9754884641747685
geneExpr.M9_magenta	-8.476086251943311e-09	4.043638645863605e-09	0.9819657003160897
geneExpr.M2_blue	-6.609205576637442e-09	2.9292367106539017e-09	0.9879737418492054
