Name	Coefficient	Coefficient_std_error	Coefficient_P_value
geneExpr.M6_red	2.379456325288007e-08	9.993811390738073e-09	0.00863450150126312
geneExpr.M1_turquoise	1.697114378225793e-08	7.695713361075742e-09	0.013717494928420856
geneExpr.M20_royalblue	2.550599274323127e-08	1.2682531435246802e-08	0.02215680738321085
geneExpr.M16_lightcyan	3.8556474788304894e-08	1.9765785521921328e-08	0.02554830786699827
geneExpr.M5_green	1.887423396403826e-08	1.1145619481928887e-08	0.04518761301027345
geneExpr.M8_pink	1.4514262977429238e-08	9.66823358905609e-09	0.06664776519432969
geneExpr.M12_tan	1.603972112496861e-08	1.1362544468910575e-08	0.07902930539244496
geneExpr.M18_lightgreen	2.0418204339748846e-08	1.7881064407259817e-08	0.1267499228460407
geneExpr.M11_greenyellow	1.7534331585597475e-08	1.708689489625501e-08	0.15240196977992543
geneExpr.M10_purple	8.0468371697757e-09	1.282070046301708e-08	0.2651185519535993
geneExpr.M22_darkgreen	1.4287306200454714e-08	2.5075145489777007e-08	0.28441359899359386
geneExpr.M3_brown	1.9240687852929934e-09	9.06615505400405e-09	0.4159655785381565
geneExpr.M4_yellow	1.891348897986574e-09	1.2370987917861446e-08	0.4392441507446816
geneExpr.M7_black	3.1122323253420223e-10	9.831999195183337e-09	0.48737394375580295
geneExpr.M23_darkturquoise	2.683915248895697e-10	1.5285932475353196e-08	0.492995702034918
geneExpr.M15_midnightblue	-9.718959107967906e-11	1.2721250459239392e-08	0.503047865462253
geneExpr.M2_blue	-1.6899062585328583e-10	7.02634125614616e-09	0.5095940410702536
geneExpr.M13_salmon	-1.0374889535821815e-09	1.0216082137910781e-08	0.5404448455931303
geneExpr.M21_darkred	-2.67201667775236e-09	1.1815697447397964e-08	0.5894542215705166
geneExpr.M9_magenta	-6.666248195934092e-09	1.2036157878609685e-08	0.7101598767935385
geneExpr.M17_grey60	-9.543608708537055e-09	1.2934372971692356e-08	0.7696967651981685
geneExpr.M19_lightyellow	-1.4821353450393255e-08	1.4279734669330998e-08	0.8503484888734253
geneExpr.M14_cyan	-1.1650984967089673e-08	1.0660542996635266e-08	0.8627827425018164
geneExpr.M0_grey	-9.93947393522588e-09	4.88246835072952e-09	0.9791121539663543
