Name	Coefficient	Coefficient_std_error	Coefficient_P_value
geneExpr.M7_black	2.782113652445846e-08	1.535928408652861e-08	0.03504285527902078
geneExpr.M23_darkturquoise	4.0971262185922614e-08	2.420027802186966e-08	0.0452269805155706
geneExpr.M8_pink	2.1193485568357045e-08	1.2686602701867316e-08	0.04740622154093476
geneExpr.M2_blue	1.3842646183140137e-08	9.753861475424843e-09	0.07792086631305785
geneExpr.M11_greenyellow	3.652082216753132e-08	2.607359960566339e-08	0.08065459083384613
geneExpr.M15_midnightblue	3.1413635958450264e-08	2.529411984950226e-08	0.10713039500196608
geneExpr.M17_grey60	2.1759816628598816e-08	2.019256146721115e-08	0.14060269762211847
geneExpr.M9_magenta	1.3823244452794357e-08	1.4868829899103557e-08	0.17626855880124648
geneExpr.M20_royalblue	1.4087324079649188e-08	1.5820909658646306e-08	0.18661902123094448
geneExpr.M13_salmon	1.4435151297039094e-08	1.8137815587301223e-08	0.21305687657157996
geneExpr.M22_darkgreen	1.4108830062582013e-08	2.4595344339630556e-08	0.28310631425832944
geneExpr.M3_brown	6.018617004446741e-09	1.4116829035113796e-08	0.33492881589344237
geneExpr.M12_tan	4.192502035020809e-10	1.5329452270632618e-08	0.4890905571378054
geneExpr.M5_green	-1.8571489587502343e-10	1.0001532675547045e-08	0.5074073913547105
geneExpr.M19_lightyellow	-1.4357156642345367e-09	1.9479580251114658e-08	0.5293768925671896
geneExpr.M6_red	-9.38457522670924e-10	1.0739449686624416e-08	0.5348169102668473
geneExpr.M21_darkred	-7.323912850188438e-09	3.4660906193844e-08	0.5836741218320973
geneExpr.M16_lightcyan	-3.369829058462824e-09	1.4927548668672268e-08	0.5893003714902032
geneExpr.M18_lightgreen	-1.1008352183055792e-08	2.9376923567674812e-08	0.6460685709560112
geneExpr.M1_turquoise	-8.182685932880436e-09	1.0968236003082014e-08	0.7721768082849485
geneExpr.M0_grey	-5.26625761719202e-09	6.407023911822877e-09	0.7944475143837695
geneExpr.M14_cyan	-2.3445471225530182e-08	1.6963985540306343e-08	0.9165253998877971
geneExpr.M4_yellow	-2.3821021689058386e-08	1.501171670695392e-08	0.9437242674074269
geneExpr.M10_purple	-2.6211008217027055e-08	1.1755603027297956e-08	0.9871150176559772
