Name	Coefficient	Coefficient_std_error	Coefficient_P_value
geneExpr.M20_royalblue	5.5670948885827764e-08	2.458513113655612e-08	0.011774289676772735
geneExpr.M7_black	3.7079658937329024e-08	2.3064718721235642e-08	0.05395752420554368
geneExpr.M17_grey60	3.1597149077288805e-08	2.470369519083255e-08	0.10044052464471309
geneExpr.M15_midnightblue	2.8015974232473042e-08	2.3292850734478525e-08	0.1145324013550611
geneExpr.M11_greenyellow	2.9427875977935835e-08	3.4217657516974974e-08	0.19488895931571987
geneExpr.M16_lightcyan	2.354034341655276e-08	2.862573425290757e-08	0.2054391533917706
geneExpr.M1_turquoise	5.466026292896058e-09	1.421911671970797e-08	0.35033584521108263
geneExpr.M5_green	3.3299389085867207e-09	1.2676210956575564e-08	0.3963940008081768
geneExpr.M13_salmon	4.647206334249814e-09	1.9312295721342035e-08	0.40491916999558664
geneExpr.M8_pink	2.307017305956945e-09	1.4302904125507347e-08	0.43592969400319564
geneExpr.M22_darkgreen	3.1297221196121645e-09	3.035876896170307e-08	0.45894529202397516
geneExpr.M10_purple	2.287443845036039e-09	2.34778649605726e-08	0.4611925374966144
geneExpr.M9_magenta	-2.7492775168676146e-09	1.9308943915291732e-08	0.5566115038041981
geneExpr.M12_tan	-2.9292652950427094e-09	1.8756901230307238e-08	0.5620504890810363
geneExpr.M2_blue	-2.7926099193185624e-09	1.160872148042276e-08	0.5950524525680808
geneExpr.M18_lightgreen	-1.0186289978429873e-08	2.9456434168252238e-08	0.6352567411169192
geneExpr.M14_cyan	-8.01808496752669e-09	2.280654619499045e-08	0.637419411251375
geneExpr.M23_darkturquoise	-1.0148981209354712e-08	2.6084156688828505e-08	0.6513937497051423
geneExpr.M21_darkred	-1.4880491964221748e-08	3.194260441334234e-08	0.6793388964168793
geneExpr.M19_lightyellow	-1.5236488909683863e-08	2.4180480779250446e-08	0.7356903980170745
geneExpr.M6_red	-1.0889412465912737e-08	1.6575318460028302e-08	0.7443984516229094
geneExpr.M0_grey	-6.891243253794121e-09	8.281798868323433e-09	0.7973223320832838
geneExpr.M4_yellow	-1.8180393854132583e-08	2.0286308533896473e-08	0.8149244444381498
geneExpr.M3_brown	-2.1391108234106375e-08	1.5970058148674438e-08	0.9097880303531729
