Name	Coefficient	Coefficient_std_error	Coefficient_P_value
geneExpr.M5_green	6.315021373424095e-09	2.0739229945484715e-09	0.0011635398514784649
geneExpr.M8_pink	3.5532894678599255e-09	1.9365376905134453e-09	0.03326268517117271
geneExpr.M6_red	3.4798975818220278e-09	1.9322926160175805e-09	0.03585802394007823
geneExpr.M16_lightcyan	7.760372143372368e-09	7.251796228820354e-09	0.1422801675746892
geneExpr.M15_midnightblue	2.571388222372395e-09	3.175702206972494e-09	0.20905430460029623
geneExpr.M1_turquoise	5.175835960609731e-10	1.1364833221557633e-09	0.3244015416286739
geneExpr.M11_greenyellow	8.837415785293883e-10	2.5737060127278597e-09	0.365658872575765
geneExpr.M7_black	5.819542301675284e-10	1.8743529698966935e-09	0.3780969446229186
geneExpr.M17_grey60	2.819034076764801e-10	2.292577506114754e-09	0.45106799143489257
geneExpr.M12_tan	3.328616699517246e-11	1.6855301248673055e-09	0.49212212461253646
geneExpr.M23_darkturquoise	-3.871881036218821e-11	3.1887439045095417e-09	0.504843973491382
geneExpr.M14_cyan	-8.042807925795806e-10	1.822250227948654e-09	0.6705262714157787
geneExpr.M20_royalblue	-1.003761866484107e-09	2.1466765277297717e-09	0.6799606562519829
geneExpr.M22_darkgreen	-1.0714061992028166e-09	2.143309202925114e-09	0.6914216569157905
geneExpr.M10_purple	-1.1791302002991405e-09	1.874900654863388e-09	0.7352936411294893
geneExpr.M19_lightyellow	-1.7487417893756898e-09	2.1927395467589003e-09	0.7874238847621775
geneExpr.M21_darkred	-2.4291601750019964e-09	2.792404705989372e-09	0.8078271031481088
geneExpr.M13_salmon	-2.0618666610536052e-09	2.181058787327269e-09	0.8277602103041231
geneExpr.M0_grey	-1.2480522112263736e-09	1.1358034540772948e-09	0.8640783697775356
geneExpr.M4_yellow	-2.36067256222704e-09	2.092451822904521e-09	0.8703790813533783
geneExpr.M9_magenta	-1.980488296318284e-09	1.6806436026348308e-09	0.880683530185274
geneExpr.M2_blue	-1.6640574178917321e-09	1.178747010685498e-09	0.9209833751431251
geneExpr.M18_lightgreen	-2.9592982906110556e-09	2.0650550088005887e-09	0.9240762336045409
geneExpr.M3_brown	-3.3039646893347833e-09	1.4179855633362108e-09	0.9900980114035616
