Name	Coefficient	Coefficient_std_error	Coefficient_P_value
geneExpr.M5_green	2.2016602779903126e-09	8.110301472032885e-10	0.003317325835823009
geneExpr.M6_red	1.73272945518651e-09	8.690110034752641e-10	0.023080962739204364
geneExpr.M8_pink	1.5998047630051479e-09	8.439671448451391e-10	0.029007996219897806
geneExpr.M16_lightcyan	4.018596885704244e-09	4.172065825792613e-09	0.16771978937833232
geneExpr.M15_midnightblue	8.98015059490164e-10	1.3930692824355714e-09	0.25958330646919986
geneExpr.M1_turquoise	2.8093491680056086e-10	4.812776849912999e-10	0.2797019032462378
geneExpr.M7_black	4.0301725256606307e-10	7.755349023727156e-10	0.30164903370347507
geneExpr.M11_greenyellow	4.769089533138994e-10	9.482340648715709e-10	0.30750170381634734
geneExpr.M17_grey60	3.891242077963324e-10	9.011811844065455e-10	0.3329457399567922
geneExpr.M12_tan	2.5583818351915914e-10	7.306513235262468e-10	0.3631127445253706
geneExpr.M14_cyan	1.2802227524768604e-10	8.534722072768275e-10	0.4403816401332892
geneExpr.M23_darkturquoise	-2.498026888460385e-10	1.1893071649957214e-09	0.583181973873601
geneExpr.M22_darkgreen	-5.399521056004085e-10	9.28499560218116e-10	0.71955898462538
geneExpr.M19_lightyellow	-5.878152946536279e-10	9.556714155466014e-10	0.7307493732802912
geneExpr.M13_salmon	-7.736161883364108e-10	9.921307454114008e-10	0.7822316434664576
geneExpr.M20_royalblue	-7.305308972708304e-10	8.674921092618549e-10	0.8001391037724122
geneExpr.M21_darkred	-1.1174763872741603e-09	1.2674713511525076e-09	0.8110191379234698
geneExpr.M10_purple	-7.663890455555641e-10	7.791102864357431e-10	0.8373616170727105
geneExpr.M4_yellow	-9.010389405368388e-10	9.024862970634889e-10	0.8409563759201473
geneExpr.M18_lightgreen	-9.859548361549346e-10	8.58927517880064e-10	0.87449313836171
geneExpr.M9_magenta	-9.55585370903443e-10	6.79187799422693e-10	0.920279349857126
geneExpr.M0_grey	-8.075248839843478e-10	5.596305836244367e-10	0.925484215072058
geneExpr.M2_blue	-8.143816972335858e-10	5.156693358355319e-10	0.9428630601417712
geneExpr.M3_brown	-1.596508639277065e-09	6.679237049439449e-10	0.9915816836296062
