Name	Coefficient	Coefficient_std_error	Coefficient_P_value
geneExpr.M2_blue	2.3757845618831935e-08	1.5656392433312096e-08	0.06457612770765711
geneExpr.M23_darkturquoise	5.212485644465595e-08	3.6149620995863334e-08	0.0746624914386224
geneExpr.M9_magenta	2.886913461477985e-08	2.842563023941531e-08	0.1549094115851023
geneExpr.M7_black	1.9844922206636505e-08	2.1650029394333195e-08	0.17967002534149157
geneExpr.M0_grey	6.054674374057394e-09	8.057121596948539e-09	0.22618532736886748
geneExpr.M19_lightyellow	2.5998227764143357e-08	3.720626601661966e-08	0.2423512055797501
geneExpr.M21_darkred	8.187584866240007e-08	1.1730174085638666e-07	0.24259064017417875
geneExpr.M3_brown	1.8010828450734262e-08	2.9166066205085168e-08	0.26844364453912534
geneExpr.M10_purple	1.6897637301946427e-08	3.3741975582357334e-08	0.3082595314289095
geneExpr.M22_darkgreen	7.787057400812469e-09	2.6237179220567753e-08	0.38331160179467105
geneExpr.M16_lightcyan	1.154781421367709e-09	2.12707705629229e-08	0.4783522214901908
geneExpr.M14_cyan	-3.95853012045097e-09	3.706172768237699e-08	0.5425297896524827
geneExpr.M15_midnightblue	-6.544996989695725e-09	3.116668549444304e-08	0.5831660762836259
geneExpr.M5_green	-3.6620640916872415e-09	1.3628924024790543e-08	0.6059189393819486
geneExpr.M1_turquoise	-4.5584837316342575e-09	1.5867863208418806e-08	0.6130501636239293
geneExpr.M4_yellow	-8.713171056057694e-09	1.8219758186399926e-08	0.6837554958340386
geneExpr.M11_greenyellow	-2.2448699127209964e-08	2.6268712967216218e-08	0.8036079626763233
geneExpr.M13_salmon	-2.2171733005878785e-08	2.245449662057447e-08	0.8382784868992413
geneExpr.M18_lightgreen	-3.698812147533332e-08	2.0950552256158982e-08	0.9612598001651481
geneExpr.M20_royalblue	-4.8519086165821304e-08	2.1782156409617632e-08	0.9870420395751119
geneExpr.M8_pink	-2.8652480445092155e-08	1.247978496145104e-08	0.989159525833511
geneExpr.M17_grey60	-4.133935969534575e-08	1.7683594006425246e-08	0.9902992112809398
geneExpr.M12_tan	-3.10670500013889e-08	9.145240947387276e-09	0.9996594458780945
geneExpr.M6_red	-3.473312666311296e-08	8.8745306936633e-09	0.9999545723061637
