Name	Coefficient	Coefficient_std_error	Coefficient_P_value
geneExpr.M6_red	5.8677766311078186e-08	2.3126114104599435e-08	0.005585643784541195
geneExpr.M13_salmon	6.146504258499753e-08	2.7979333230800575e-08	0.014017311198442057
geneExpr.M18_lightgreen	8.507729582152612e-08	4.2096490802209e-08	0.021639528554739256
geneExpr.M9_magenta	4.740805056797048e-08	2.736093447822294e-08	0.041575284166293504
geneExpr.M7_black	2.514246529064059e-08	2.4610743150525913e-08	0.15348387745340786
geneExpr.M21_darkred	4.800659102427903e-08	4.8502381183382956e-08	0.16114131417694394
geneExpr.M1_turquoise	1.0309142000126445e-08	1.6998758174121715e-08	0.27210320136089605
geneExpr.M11_greenyellow	1.868763080244602e-08	3.942714495590741e-08	0.3177575130056328
geneExpr.M19_lightyellow	5.1264911660348566e-09	2.724652050613164e-08	0.4253786941828602
geneExpr.M0_grey	1.5415199744168615e-09	1.0049655293383169e-08	0.4390452338160385
geneExpr.M20_royalblue	3.2487653550522045e-10	2.7902064874676292e-08	0.49535503705218736
geneExpr.M3_brown	-1.6859960909118586e-09	2.323533176860687e-08	0.5289225630582505
geneExpr.M12_tan	-4.931059769211393e-09	2.2847181334348095e-08	0.5854390603714514
geneExpr.M17_grey60	-9.498692306006027e-09	2.638040286517574e-08	0.640601198446027
geneExpr.M5_green	-7.148583191257473e-09	1.7609578430829245e-08	0.6576098053915534
geneExpr.M8_pink	-9.666362632877564e-09	1.8517764374511712e-08	0.6991665197166312
geneExpr.M2_blue	-7.84793747234246e-09	1.3369787388008725e-08	0.7213949386115088
geneExpr.M10_purple	-1.304851610322509e-08	2.21279542179881e-08	0.7222989735825689
geneExpr.M14_cyan	-1.7809840422467153e-08	2.5617484521117244e-08	0.7565419259556159
geneExpr.M23_darkturquoise	-2.793555976084731e-08	3.4168048106098984e-08	0.7932052104941787
geneExpr.M16_lightcyan	-1.936357074569744e-08	2.2034630411949358e-08	0.8102394459382769
geneExpr.M22_darkgreen	-3.6172266704519515e-08	3.2944585648510856e-08	0.8638918680543715
geneExpr.M4_yellow	-3.6046115442540083e-08	2.315194632301539e-08	0.9402572452628261
geneExpr.M15_midnightblue	-4.3739103428310424e-08	2.7542863637456766e-08	0.9438610829576115
