Name	Coefficient	Coefficient_std_error	Coefficient_P_value
geneExpr.M12_tan	3.5720134525740527e-09	2.2048721297203545e-09	0.05261026380090178
geneExpr.M5_green	2.5773922374638067e-09	1.889557888712444e-09	0.08628084493074384
geneExpr.M16_lightcyan	4.228909774827747e-09	3.1900746313238294e-09	0.09247848571980966
geneExpr.M17_grey60	3.984625050410771e-09	3.033514656547296e-09	0.09450151320711109
geneExpr.M4_yellow	2.8014084742162713e-09	2.3492024091637108e-09	0.11653390971332417
geneExpr.M13_salmon	2.1156604521879463e-09	1.8789622858656342e-09	0.13008851337517086
geneExpr.M15_midnightblue	2.351428366365008e-09	2.5172800977357646e-09	0.17512236261306552
geneExpr.M18_lightgreen	2.882891263408697e-09	3.1257331819578218e-09	0.1781837589659203
geneExpr.M22_darkgreen	3.2240835475226236e-09	3.5086099673518193e-09	0.1790723112667547
geneExpr.M1_turquoise	1.1485219871943933e-09	1.4279236702855986e-09	0.210603179520104
geneExpr.M7_black	1.6419360212597668e-09	2.3661785996201435e-09	0.2438665390439544
geneExpr.M23_darkturquoise	2.2830543020489516e-09	4.122625395537085e-09	0.28986248309643037
geneExpr.M11_greenyellow	6.82361202524396e-10	2.4582591776366865e-09	0.3906677649983965
geneExpr.M2_blue	2.4570310784648355e-10	1.2546605783656454e-09	0.42237070108506475
geneExpr.M10_purple	2.1744483025861927e-10	1.9713509505080226e-09	0.4560847590407838
geneExpr.M3_brown	5.681235142934927e-11	1.8396272173781714e-09	0.48768160927344895
geneExpr.M19_lightyellow	-5.773626293980677e-10	2.7511129599567703e-09	0.5831135237810418
geneExpr.M8_pink	-5.079651434005751e-10	1.764564832441977e-09	0.6132768448263328
geneExpr.M14_cyan	-1.4109585473619194e-09	2.3562099392077498e-09	0.725355365376446
geneExpr.M9_magenta	-1.539989002662573e-09	1.9721742843796077e-09	0.7825571311032895
geneExpr.M6_red	-1.2160754415490404e-09	1.4190315517125022e-09	0.8042708202732157
geneExpr.M21_darkred	-2.7082600264521407e-09	2.451090307538111e-09	0.8654029893304567
geneExpr.M20_royalblue	-3.169829334725463e-09	2.4270141073483875e-09	0.9042341533111717
geneExpr.M0_grey	-1.7085721225930199e-09	8.838525752350198e-10	0.9733878306785549
