Name	Coefficient	Coefficient_std_error	Coefficient_P_value
geneExpr.M10_purple	1.6904410050257816e-09	1.323591996749334e-09	0.10077258273127254
geneExpr.M12_tan	2.2672424286525633e-09	1.8788078251966905e-09	0.11376513240693337
geneExpr.M23_darkturquoise	1.5760490464466472e-09	1.522018320207037e-09	0.1502178749243535
geneExpr.M6_red	1.5032387617928874e-09	1.52682288397263e-09	0.16242172845077674
geneExpr.M21_darkred	1.3340364874046618e-09	1.425702040371091e-09	0.17471255505435412
geneExpr.M5_green	1.1469832745899516e-09	1.2556786641624078e-09	0.1805063928877177
geneExpr.M2_blue	6.245030732053599e-10	7.566516003700688e-10	0.20458620329753857
geneExpr.M20_royalblue	1.3278050558494442e-09	1.8352694515859028e-09	0.23468845052626075
geneExpr.M15_midnightblue	9.154079999156242e-10	1.3389942453839203e-09	0.24709702060742794
geneExpr.M11_greenyellow	1.286729453986779e-09	1.9636917986420904e-09	0.2561500593033126
geneExpr.M8_pink	3.4800478376192357e-10	1.1515536729759698e-09	0.38124805993995065
geneExpr.M9_magenta	1.6974993547790776e-10	1.1057252784307126e-09	0.43899446964300565
geneExpr.M14_cyan	4.837475947995946e-11	1.3578094602819776e-09	0.48578986551864933
geneExpr.M22_darkgreen	-4.7316469932374245e-11	1.522615029373806e-09	0.5123954527550476
geneExpr.M0_grey	-2.534497065853737e-10	5.859710303089158e-10	0.6673216607094421
geneExpr.M13_salmon	-6.473178797641899e-10	1.3136383892858427e-09	0.6889114470770797
geneExpr.M7_black	-7.556297674263367e-10	1.0581024998025378e-09	0.7624286553662223
geneExpr.M19_lightyellow	-1.2095633760149795e-09	1.42829784488787e-09	0.8014624564682228
geneExpr.M16_lightcyan	-1.285336828717672e-09	1.3144147774120323e-09	0.8359325788924933
geneExpr.M17_grey60	-1.4344200756144237e-09	1.3430788342480698e-09	0.8572417391939164
geneExpr.M3_brown	-1.270182333514158e-09	1.0656539598337508e-09	0.8833551763997649
geneExpr.M1_turquoise	-9.54733165146316e-10	7.368152321805472e-10	0.9024703145293642
geneExpr.M4_yellow	-1.3681798195193553e-09	8.955558573110572e-10	0.936711907309799
geneExpr.M18_lightgreen	-3.256460557054603e-09	1.1372867058497668e-09	0.9979041258572412
