Name	Coefficient	Coefficient_std_error	Coefficient_P_value
geneExpr.M5_green	1.2282425657317853e-08	3.9394764493050726e-09	0.0009110900906418115
geneExpr.M12_tan	8.051399675484407e-09	3.88303412601517e-09	0.0190637425263902
geneExpr.M11_greenyellow	3.932671226361226e-09	4.428633182903808e-09	0.18726764520724665
geneExpr.M17_grey60	2.809193707603513e-09	3.934313718715055e-09	0.23760622538713522
geneExpr.M14_cyan	1.9953340666742936e-09	4.22208942715985e-09	0.3182514373835026
geneExpr.M6_red	8.370417513676983e-10	2.6033327964345116e-09	0.37390553202695037
geneExpr.M22_darkgreen	3.790266412646595e-10	3.932883113937466e-09	0.4616118750891156
geneExpr.M23_darkturquoise	-8.010212266441711e-11	4.9348568202187996e-09	0.5064753084899121
geneExpr.M10_purple	-7.529977649912367e-10	3.357030910429624e-09	0.5887398849841897
geneExpr.M16_lightcyan	-1.6419562298831983e-09	4.733649213806679e-09	0.6356551364107111
geneExpr.M9_magenta	-1.3335866735537025e-09	3.1192176626288944e-09	0.6655065458794891
geneExpr.M15_midnightblue	-1.4969328791879768e-09	3.1911348592469638e-09	0.6804977306009391
geneExpr.M18_lightgreen	-2.0254210885261183e-09	4.057815380605351e-09	0.6911598907910426
geneExpr.M4_yellow	-2.1472711735677568e-09	3.1261732877291524e-09	0.7539173232997245
geneExpr.M3_brown	-2.2279046978129394e-09	3.0239443960965863e-09	0.7693641769531931
geneExpr.M20_royalblue	-3.026716692515793e-09	3.510652972236432e-09	0.8056980767882516
geneExpr.M2_blue	-1.573065104639187e-09	1.6429925847391796e-09	0.8308271280461255
geneExpr.M7_black	-2.8354251750874087e-09	2.937098061876269e-09	0.8328235477317356
geneExpr.M13_salmon	-3.396223190046628e-09	2.969821093798806e-09	0.8736007335928242
geneExpr.M8_pink	-2.8111316483526654e-09	2.437979688822898e-09	0.8755566822087855
geneExpr.M0_grey	-1.6589114845731853e-09	1.4380726657743457e-09	0.8756608924189894
geneExpr.M21_darkred	-5.199473566765969e-09	3.852668062578168e-09	0.9114242037272997
geneExpr.M1_turquoise	-2.647388166228999e-09	1.6793298156463597e-09	0.9425395284915015
geneExpr.M19_lightyellow	-7.689151487149766e-09	3.5301637199912176e-09	0.9853017778216585
