Name	Coefficient	Coefficient_std_error	Coefficient_P_value
geneExpr.M1_turquoise	8.285023447011762e-08	5.318372671435448e-08	0.0596389397156959
geneExpr.M22_darkgreen	1.9065991833074763e-07	1.244618647878685e-07	0.06277674184328452
geneExpr.M4_yellow	1.2647268425653967e-07	8.419201227971996e-08	0.06652358583675255
geneExpr.M18_lightgreen	1.338768100432779e-07	1.2756931895189847e-07	0.14698699166479412
geneExpr.M21_darkred	1.5728322040227908e-07	1.6074436582931948e-07	0.16392145183032242
geneExpr.M5_green	5.896065464657538e-08	7.116476797770598e-08	0.20369113457182714
geneExpr.M15_midnightblue	8.306854382245742e-08	1.1135188675230044e-07	0.22783360904166494
geneExpr.M12_tan	4.5483706609964365e-08	7.153245932451733e-08	0.2624380434045024
geneExpr.M10_purple	4.814031650446873e-08	7.916834395779142e-08	0.27156875827302923
geneExpr.M9_magenta	4.8074432328165634e-08	8.050627623429131e-08	0.27520316512676996
geneExpr.M20_royalblue	6.333572481780798e-08	1.062525796338542e-07	0.27555873212403237
geneExpr.M16_lightcyan	6.176582420602635e-08	1.0877589877987814e-07	0.2850764346452491
geneExpr.M19_lightyellow	5.986612124708846e-08	1.0879093807639565e-07	0.2910616406222689
geneExpr.M7_black	3.0873953512947884e-08	6.705452026153619e-08	0.32260358463758787
geneExpr.M8_pink	2.4494309812681817e-08	7.879989850475929e-08	0.3779604091456576
geneExpr.M2_blue	1.2792335592572316e-08	4.4696805392901924e-08	0.38736153041260213
geneExpr.M11_greenyellow	-7.738495452387865e-09	8.23239886638095e-08	0.5374456171160293
geneExpr.M14_cyan	-9.858977388073513e-09	7.027888085704807e-08	0.555782055990308
geneExpr.M17_grey60	-2.119520253314167e-08	8.415704788276911e-08	0.5994226441216693
geneExpr.M23_darkturquoise	-2.8487434571706e-08	1.0914023250902163e-07	0.6029602253201021
geneExpr.M0_grey	-1.141473724176147e-08	3.5219738369412975e-08	0.6270690518791298
geneExpr.M3_brown	-2.642730499419573e-08	7.659383195845485e-08	0.6349647546370172
geneExpr.M6_red	-2.092298807403501e-08	5.524056647094497e-08	0.6475674313378939
geneExpr.M13_salmon	-9.743748906147912e-08	6.363451614310801e-08	0.9371406318248087
