Name	Coefficient	Coefficient_std_error	Coefficient_P_value
geneExpr.M6_red	3.849999028989678e-09	2.491543656108699e-09	0.061145755642098835
geneExpr.M5_green	3.6654782953335114e-09	2.395556114444805e-09	0.06299403220313993
geneExpr.M14_cyan	3.98744204794504e-09	2.712874402494273e-09	0.07080500613397483
geneExpr.M10_purple	3.441708945215694e-09	2.4896653925918634e-09	0.0834247349940232
geneExpr.M11_greenyellow	4.794510991674769e-09	3.739940187423275e-09	0.09992565325239328
geneExpr.M7_black	2.2870288769102166e-09	2.469012246610471e-09	0.1771468541666868
geneExpr.M1_turquoise	1.5816833876467194e-09	1.8979269868514296e-09	0.20231685986790227
geneExpr.M23_darkturquoise	2.9941050608924915e-09	4.10818921486878e-09	0.23305777938971706
geneExpr.M13_salmon	1.735255289129556e-09	2.9067174683404906e-09	0.27526001137531236
geneExpr.M20_royalblue	2.14354785613744e-09	3.965942107824019e-09	0.29442994227902586
geneExpr.M0_grey	6.598343427511688e-10	1.26948197208928e-09	0.3016131266931241
geneExpr.M4_yellow	1.2089787040363102e-09	2.729333031195854e-09	0.32889821561427957
geneExpr.M18_lightgreen	1.4458084427370415e-09	3.5934496158369255e-09	0.34371487022282754
geneExpr.M9_magenta	7.8354303505115e-10	2.257075872201302e-09	0.3642394580388053
geneExpr.M22_darkgreen	8.275522804757004e-10	4.050430464212447e-09	0.41905477599924235
geneExpr.M8_pink	-5.141689242689825e-10	2.379880705618812e-09	0.585524908742475
geneExpr.M2_blue	-7.690623440552551e-10	1.663540272640596e-09	0.6780685544411443
geneExpr.M19_lightyellow	-2.89140441689553e-09	4.01957614745645e-09	0.7640313995378194
geneExpr.M12_tan	-2.020311674771446e-09	2.531436158977339e-09	0.7875906147240855
geneExpr.M15_midnightblue	-2.9626836541334404e-09	3.1867149284469364e-09	0.82373635899769
geneExpr.M16_lightcyan	-2.6874866947142873e-09	2.545558309407581e-09	0.8544599890920443
geneExpr.M17_grey60	-6.292312089094276e-09	3.1658499982657676e-09	0.9765697303023393
geneExpr.M21_darkred	-5.6347450386487074e-09	2.5985326938675395e-09	0.9849371359506367
geneExpr.M3_brown	-5.80128184221134e-09	2.103427345508676e-09	0.9970923136875152
