Name	Coefficient	Coefficient_std_error	Coefficient_P_value
geneExpr.M5_green	3.3056734149562934e-08	9.317465051348174e-09	0.00019421320668397066
geneExpr.M6_red	3.0776884929846e-08	9.282580259955483e-09	0.0004573103143372988
geneExpr.M8_pink	2.5542728387434907e-08	9.261498894107112e-09	0.002908276298168575
geneExpr.M12_tan	8.98125898123307e-09	8.379524255552922e-09	0.14190266111714078
geneExpr.M10_purple	1.1377583598421227e-08	1.3282568265515567e-08	0.1958384948800323
geneExpr.M18_lightgreen	1.1819512670671406e-08	1.617954629708187e-08	0.2325356201136437
geneExpr.M20_royalblue	8.220212818119694e-09	1.3718458098333097e-08	0.2745170219547655
geneExpr.M22_darkgreen	1.2982161086099101e-08	2.4895493214825053e-08	0.3010209829863062
geneExpr.M1_turquoise	2.5857922263913363e-09	7.491358665834977e-09	0.3649832876705043
geneExpr.M17_grey60	3.4050813937763547e-09	1.2422839706467848e-08	0.3920044736456971
geneExpr.M2_blue	6.060718559269035e-10	8.15250696034946e-09	0.4703692177985473
geneExpr.M23_darkturquoise	6.749899058436863e-10	1.3294848547578007e-08	0.4797540852590774
geneExpr.M15_midnightblue	4.4906017778582597e-10	2.0021522192705368e-08	0.4910529244238036
geneExpr.M4_yellow	2.4025373962659737e-10	1.262315780443772e-08	0.4924074791878328
geneExpr.M13_salmon	1.9604614890089857e-10	1.0441528813744452e-08	0.4925100524901881
geneExpr.M14_cyan	-1.3413665724388005e-09	1.496561857189538e-08	0.5357093297770987
geneExpr.M21_darkred	-4.835686298917909e-09	2.2032528213953992e-08	0.5868616914463408
geneExpr.M7_black	-3.5416556100701193e-09	9.771698225460238e-09	0.6414884235074907
geneExpr.M9_magenta	-5.295553690307907e-09	1.4324378911966112e-08	0.6441925832237421
geneExpr.M3_brown	-3.3986683747606947e-09	8.63581306579051e-09	0.6530452361456598
geneExpr.M11_greenyellow	-5.671390038376487e-09	1.2919929666403245e-08	0.6696563583033752
geneExpr.M16_lightcyan	-8.24055616063231e-09	1.2026833775188167e-08	0.7533850960126485
geneExpr.M0_grey	-3.78443012505386e-09	4.924416149157991e-09	0.7789058884093969
geneExpr.M19_lightyellow	-2.8701700631515633e-08	1.2989400857126005e-08	0.9864343892785337
