Name	Coefficient	Coefficient_std_error	Coefficient_P_value
geneExpr.M5_green	1.0649131616010744e-07	3.436774604141295e-08	0.0009722422349121592
geneExpr.M6_red	9.134352129819607e-08	3.79494662156661e-08	0.008042574624242748
geneExpr.M8_pink	7.042629699964254e-08	3.554427511505863e-08	0.023774997680889746
geneExpr.M1_turquoise	3.736073131716757e-08	2.793442921749581e-08	0.09053889512806812
geneExpr.M22_darkgreen	1.0074348109134422e-07	9.326978332559394e-08	0.14004217096796673
geneExpr.M20_royalblue	4.979441329019789e-08	5.232394962388907e-08	0.17063567396485274
geneExpr.M17_grey60	4.3551521555600946e-08	5.024540453134033e-08	0.19303231835719153
geneExpr.M12_tan	2.887516666783585e-08	3.339770075585295e-08	0.19363317629591575
geneExpr.M15_midnightblue	4.96180883057935e-08	6.350811055600304e-08	0.21731673155412679
geneExpr.M14_cyan	3.378501090178062e-08	5.2123322723309346e-08	0.2584360324498334
geneExpr.M18_lightgreen	3.04072731305844e-08	5.174062070303857e-08	0.27837131195319764
geneExpr.M2_blue	6.6027132799370304e-09	2.7740045187211937e-08	0.40593240349844495
geneExpr.M16_lightcyan	2.2505984811040544e-09	3.877684513797934e-08	0.47685848211974374
geneExpr.M13_salmon	-4.364978133405614e-10	3.520372423115749e-08	0.5049464360651683
geneExpr.M0_grey	-1.3512871553694133e-09	1.6773252980590583e-08	0.5321048644966346
geneExpr.M11_greenyellow	-9.16770453424819e-09	4.882714316490365e-08	0.5744669621570766
geneExpr.M23_darkturquoise	-2.2580456215983906e-08	6.012094250793943e-08	0.6463868576846027
geneExpr.M10_purple	-1.7049370156790737e-08	4.080996061922536e-08	0.6619440847116128
geneExpr.M9_magenta	-2.124163643415718e-08	4.551039678958123e-08	0.6796579410050341
geneExpr.M3_brown	-1.533527636422835e-08	3.2730460920950545e-08	0.6802979915747907
geneExpr.M7_black	-2.0852077792307705e-08	3.747772221455902e-08	0.7110264765913541
geneExpr.M4_yellow	-3.398236836173853e-08	4.0060258698017265e-08	0.8018593355747243
geneExpr.M21_darkred	-5.474643674343731e-08	5.905308365329932e-08	0.8230553197750371
geneExpr.M19_lightyellow	-8.978390390019763e-08	4.5727479236518684e-08	0.9752034070803975
