Name	Coefficient	Coefficient_std_error	Coefficient_P_value
geneExpr.M20_royalblue	4.779934414670665e-09	2.288995152615507e-09	0.01838882059024161
geneExpr.M12_tan	2.85212397049751e-09	2.0312933209254474e-09	0.08014563477628284
geneExpr.M10_purple	2.48245237943351e-09	2.1820151216674675e-09	0.12762539684122498
geneExpr.M16_lightcyan	1.8814104076103567e-09	2.00987761894577e-09	0.17461546622635238
geneExpr.M13_salmon	1.998276616269886e-09	2.4269360307467094e-09	0.20514760291084744
geneExpr.M17_grey60	1.8466480398484105e-09	2.452566969425371e-09	0.22574148223876972
geneExpr.M5_green	1.2042989352794884e-09	1.9291411314419934e-09	0.26622616210562977
geneExpr.M3_brown	1.0075963964595322e-09	1.78597351649169e-09	0.2863185129939081
geneExpr.M14_cyan	8.502692259444268e-10	2.191082530855555e-09	0.348986197943697
geneExpr.M1_turquoise	4.165578566239243e-12	1.4067272077108491e-09	0.49881866009653447
geneExpr.M7_black	-3.172005562000176e-10	1.7265651524221927e-09	0.5728825335557493
geneExpr.M18_lightgreen	-6.415801055612131e-10	2.646765351574355e-09	0.5957654952505955
geneExpr.M0_grey	-5.060479665066354e-10	9.801683776608655e-10	0.6971729327290396
geneExpr.M8_pink	-1.2268655730662876e-09	1.6834545899224832e-09	0.766931428718794
geneExpr.M11_greenyellow	-1.8449525849250816e-09	2.31105688083851e-09	0.7876562942497668
geneExpr.M6_red	-2.046400181338466e-09	1.7167011441378101e-09	0.8833799314133846
geneExpr.M2_blue	-1.6776304437571886e-09	1.1928143242480486e-09	0.920204323192854
geneExpr.M4_yellow	-2.5372682657166067e-09	1.6891668505252581e-09	0.9334621210263518
geneExpr.M21_darkred	-4.470650761404773e-09	2.7698406621186445e-09	0.9467412958806009
geneExpr.M22_darkgreen	-4.97312041134559e-09	2.832185849109195e-09	0.9604498285751513
geneExpr.M23_darkturquoise	-4.3012661812952084e-09	2.2957017918277306e-09	0.9695083917223494
geneExpr.M9_magenta	-4.457694069843762e-09	2.062173524377825e-09	0.9846773555599206
geneExpr.M15_midnightblue	-5.071864516460378e-09	2.210840635326044e-09	0.9891072978141929
geneExpr.M19_lightyellow	-6.898315043526239e-09	1.936029576493536e-09	0.9998167668435729
