Name	Coefficient	Coefficient_std_error	Coefficient_P_value
isoExpr.M47_bisque4	7.578101763791931e-08	3.2041184561048315e-08	0.009012288604192592
isoExpr.M27_white	3.720000090758757e-08	1.849344428348882e-08	0.022135086389075832
isoExpr.M15_midnightblue	3.481298232458752e-08	1.782184261540021e-08	0.025386789229594673
isoExpr.M36_yellowgreen	3.1230485778426324e-08	1.6989074601694067e-08	0.03301140310024617
isoExpr.M10_purple	3.290413584304513e-08	2.1072863242346577e-08	0.059209289934595496
isoExpr.M14_cyan	2.6223142843325125e-08	1.756920407506949e-08	0.0677758155106968
isoExpr.M16_lightcyan	1.8615668887413115e-08	1.6392384815796214e-08	0.1280559165440015
isoExpr.M23_darkturquoise	2.1596063249264863e-08	2.025106146622864e-08	0.14311773477774453
isoExpr.M46_brown4	2.66744961459713e-08	2.5143614378034592e-08	0.14437096771107527
isoExpr.M42_lightcyan1	1.5601175756813375e-08	1.6730062023925165e-08	0.17553302751906047
isoExpr.M32_violet	3.0026283117034815e-08	3.246055421914304e-08	0.17748078668862882
isoExpr.M48_darkslateblue	2.0953890263910967e-08	2.4777281484734302e-08	0.19886295197739423
isoExpr.M2_blue	6.654232816231955e-09	7.92192359979364e-09	0.20046066966023507
isoExpr.M3_brown	6.8721127960068855e-09	8.500634587499144e-09	0.20942341309486512
isoExpr.M1_turquoise	4.281335533190699e-09	5.902876565374516e-09	0.23413508556765306
isoExpr.M33_darkolivegreen	1.4322236106931826e-08	2.1074484890922356e-08	0.24837864178050012
isoExpr.M39_orangered4	1.3920720330639861e-08	2.055314980110978e-08	0.24910670481622882
isoExpr.M30_steelblue	1.0826625338391505e-08	1.674584871135325e-08	0.2589694063545968
isoExpr.M17_grey60	9.131556663024527e-09	1.4340521056733485e-08	0.2621386280812821
isoExpr.M19_lightyellow	1.1511218758603473e-08	2.015295280104485e-08	0.28393452589201484
isoExpr.M21_darkred	1.0094539386937788e-08	2.0409643547374373e-08	0.31044246723385716
isoExpr.M37_skyblue3	9.229606530307576e-09	1.9348221005166656e-08	0.3166717658977813
isoExpr.M6_red	4.0141940278886626e-09	8.893682470496186e-09	0.32586742344168074
isoExpr.M38_plum1	9.661828892444776e-09	2.330599723278135e-08	0.33923053044662865
isoExpr.M34_darkmagenta	8.454841353920438e-09	2.1261999261667508e-08	0.3454439719215203
isoExpr.M20_royalblue	5.78800496797252e-09	1.5156913649660533e-08	0.35127805615907426
isoExpr.M8_pink	3.0481876223409817e-09	1.1547229465092197e-08	0.3958993336652049
isoExpr.M12_tan	2.325438988076716e-09	1.2733750119077109e-08	0.4275480477651561
isoExpr.M41_lightsteelblue1	1.7725197679433926e-09	2.112850089584631e-08	0.4665710076597887
isoExpr.M43_ivory	2.3792393631005134e-09	3.0460037504933054e-08	0.4688702001539534
isoExpr.M44_floralwhite	1.658942597800181e-09	2.1992475189104865e-08	0.46993538738827584
isoExpr.M49_plum2	1.28762179039873e-09	2.0286758456444142e-08	0.47469570712324133
isoExpr.M51_thistle1	-3.7045201054292765e-10	2.2558009535470885e-08	0.5065512130878269
isoExpr.M40_mediumpurple3	-3.6110917439088917e-10	1.3037471240853646e-08	0.5110484078581944
isoExpr.M50_thistle2	-4.7651151361341686e-09	2.2426736846401006e-08	0.5841316597452344
isoExpr.M52_salmon4	-6.084235548644935e-09	2.5176801088999728e-08	0.5954783376060935
isoExpr.M7_black	-2.511724723509431e-09	9.884105681878873e-09	0.6002976274602153
isoExpr.M53_palevioletred3	-7.124941157280413e-09	2.5420468665799242e-08	0.610370044329846
isoExpr.M45_darkorange2	-6.226505872843214e-09	1.9731147382995546e-08	0.623834538060969
isoExpr.M25_orange	-5.7699401562291395e-09	1.580106422658511e-08	0.6425045685713406
isoExpr.M22_darkgreen	-7.47522121574789e-09	1.79531656704531e-08	0.6614316170096424
isoExpr.M18_lightgreen	-5.898688399123973e-09	1.329570666103506e-08	0.6713534839434849
isoExpr.M0_grey	-8.277715106052692e-09	1.3301047550611224e-08	0.7331393840278961
isoExpr.M4_yellow	-5.570017750509274e-09	8.644354650502005e-09	0.7403267938674918
isoExpr.M9_magenta	-8.53394516239957e-09	1.3184103892780878e-08	0.7412780246660844
isoExpr.M29_saddlebrown	-1.3398336889156443e-08	2.0116680554524728e-08	0.7473044208924443
isoExpr.M35_sienna3	-1.1840458768751282e-08	1.4233048388293672e-08	0.7972670227637217
isoExpr.M28_skyblue	-1.5323822668801146e-08	1.5136116518997076e-08	0.8443268698192143
isoExpr.M11_greenyellow	-1.354466870945626e-08	1.2723314342456e-08	0.8564613380084221
isoExpr.M26_darkorange	-1.6741288523622407e-08	1.4439254043393132e-08	0.8768593001046452
isoExpr.M24_darkgrey	-1.6275960523477237e-08	1.3948074250382354e-08	0.8783739369351742
isoExpr.M13_salmon	-1.4953878760822473e-08	1.2033458038222246e-08	0.8930092733026627
isoExpr.M5_green	-1.0619693005667011e-08	7.816180902435306e-09	0.912876081763851
isoExpr.M31_paleturquoise	-2.6346785223826615e-08	1.5193724972931152e-08	0.958546015428283
